Income statement (EUR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","1 Jun 2020","25 Nov 2019","3 Jun 2019","19 Nov 2018","4 Jun 2018","27 Nov 2017","26 Jun 2017","28 Nov 2016","23 May 2016","23 Nov 2015","22 May 2015",
"Turnover",79288,150014,72190,140063,67759,123650,60141,68793,32636,55790,25869,45394,
"Admin & Collection Fees",11864,21175,10024,20931,9571,,,,,,,,
"Other Expenses",35377,64672,32647,64299,31664,60578,30105,32150,8900,15832,8329,15082,
"Net Rental / Investment Income",32047,64167,29519,54833,26524,63072,30036,36643,23736,39958,17540,30312,
"Interest Receivable",1317,1031,216,75,39,13,5,23,18,45,29,42,
"Total Income",33364,65198,29735,54908,26563,63085,30041,36666,23754,40003,17569,30354,
"Interest Payable",5036,18383,13862,9199,4536,10246,5481,10224,5147,18817,13866,12704,
"Income Before Exceptional Items",28328,46815,15873,45709,22027,52839,24560,26442,18607,21186,3703,17650,
"Exceptional Item 1",31767,61821,63467,99003,56193,36809,30189,49994,18902,35890,24571,15003,
"Income From Associates Before Tax",2096,2129,343,,,,,,,,,,
"Income Before Tax",62191,110765,79683,144712,78220,89648,54749,76436,37509,57076,28274,32653,
"Tax",5593,12620,9473,15990,7787,8285,3840,9500,4632,2388,185,5651,
"Profit For The Period",56598,98145,70210,128722,70433,81363,50909,66936,32877,54688,28089,27002,
"Income Attributable To Minority Interests",49,9,-6,65,24,91,24,25,15,17,10,17,
"Net Income Before Extraords",56549,98136,70216,128657,70409,81272,50885,66911,32862,54671,28079,26985,
"Income Attributable To Equity Holders",56549,98136,70216,128657,70409,81272,50885,66911,32862,54671,28079,26985,
"Total Comprehensive Income/Loss for the period",56598,98145,70216,128722,70433,81363,50909,66936,32877,54688,28089,27002,
"Headline Earnings (Cont Ops)",28246,46398,14817,43554,21412,27755,14085,26318,12270,13230,1561,5110,
"Enterprise Value (EV)",16533844,15188050,14645779,12612154,11941358,10647039,10622786,7728030,7352007,5914059,6313633,3355125,

Balance sheet (EUR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","1 Jun 2020","25 Nov 2019","3 Jun 2019","19 Nov 2018","4 Jun 2018","27 Nov 2017","26 Jun 2017","28 Nov 2016","23 May 2016","23 Nov 2015","22 May 2015",
"Treasury Shares",2903,1515,1109,,,,,,,,,,
"Distributable Reserves",459004,470151,305014,491010,502649,519320,488801,470318,460013,429094,431560,384937,
"Non-Distributable Reserves",389483,332934,480253,234798,176550,106141,75754,24869,-9180,-42042,-68634,-96713,
"Ordinary Unitholders Interest",845584,801570,784158,725808,679199,625461,564555,495187,450833,387052,362926,288224,
"Minority Interest",232,246,231,237,196,172,105,81,71,56,49,39,
"Total Stockholders' Interest",845816,801816,784389,726045,679395,625633,564660,495268,450904,387108,362975,288263,
"Interest Bearing Loans",463485,448202,326984,324053,354143,359234,286659,334724,308017,288348,251915,251480,
"Long-Term Liabilities",463485,448202,326984,324053,354143,359234,286659,334724,308017,288348,251915,251480,
"Deferred Tax Liability",46824,42151,39458,30878,33571,26485,22882,20993,16485,11747,9461,9020,
"Other Capital",13099,14544,17104,806,320,292,327,334,587,1875,1350,1784,
"Total Capital Employed",1369224,1306713,1167935,1081782,1067429,1011644,874528,851319,775993,689078,625701,550547,
"Investments",1243263,1193915,1054711,972868,1044953,913843,856417,727295,764990,687453,610120,545626,
"Investments In Associates",14402,12306,10521,,,,,,,,,,
"Fixed Assets / Property",2595,2374,4052,3438,2892,3126,2814,2564,1928,1943,1764,1678,
"Right-of-use Asset",2180,2440,,,,,,,,,,,
"Goodwill",,,,3738,3738,3738,3738,3738,3738,3738,3738,3738,
"Intangible Assets",5941,5724,3738,,,,,,,,,,
"Deferred Tax Asset",,,,,402,811,573,240,267,183,,,
"Other Assets",39014,39013,38715,1813,1750,1750,1750,,,,,,
"Debtors",17012,15048,18126,10828,20419,43313,16427,14290,8576,11936,8063,9448,
"Cash and Short Term Funds",128429,121263,80988,36342,39424,79605,33664,48695,24747,19874,14114,20137,
"Other Current Assets",46,10189,10157,164885,4653,17325,950,96000,5870,19,19373,73,
"Current Assets",145487,146500,109271,212055,64496,140243,51041,158985,39193,31829,41550,29658,
"Total Assets",1452882,1402272,1221008,1193912,1118231,1063511,916333,892822,810116,725146,657172,580700,
"Creditors",44100,56780,37781,40755,39600,40972,33047,33963,27763,29541,26584,25862,
"Receiver of Revenue",1470,779,796,579,3197,3045,2725,465,144,170,,451,
"Bank O/D & S/T Loans",31889,32026,8327,7408,7998,7844,6026,7068,6204,5642,,3302,
"Other Current Liabilities",6199,5974,6169,63388,7,6,7,7,12,715,4887,538,
"Current Liabilities",83658,95559,53073,112130,50802,51867,41805,41503,34123,36068,31471,30153,
"Net Current Assets",61829,50941,56198,99925,13694,88376,9236,117482,5070,-4239,10079,-495,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","1 Jun 2020","25 Nov 2019","3 Jun 2019","19 Nov 2018","4 Jun 2018","27 Nov 2017","26 Jun 2017","28 Nov 2016","23 May 2016","23 Nov 2015","22 May 2015",
"Exchange Rate (period end)",21.75,19.76,16.58,16.28,16.44,14.57,15.96,13.78,15.62,16.91,13.88,13.11,
"Exchange Rate (weighted average)",22.05,16.42,16.25,15.91,15.71,15.19,14.77,15.45,16.33,15.2,12.53,13.98,
"Number of Linked Units Issued (Actual)",1041666664,1036257101,1029415243,1022140875,1009421826,991329614,926153673,877786535,840769233,751984887,746410666,557221586,
"Weighted Ave Stock Units (Actual)",1037394967,1027881515,1023014308,1006966788,999625521,914479339,894104933,822957685,803512009,728152740,707075634,557221586,
"Fully Diluted Weighted Average Shares in Issue",1053039717,1039816265,1034854308,1011666788,1005446521,939394339,917954933,846807685,827362009,770534539,727908968,578054919,
"Market Capitalisation (R000)",16166667,14828839,14391225,12316798,11618445,10359394,10363660,7434852,7062462,5639887,6075783,3120441,

Share statistics,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","1 Jun 2020","25 Nov 2019","3 Jun 2019","19 Nov 2018","4 Jun 2018","27 Nov 2017","26 Jun 2017","28 Nov 2016","23 May 2016","23 Nov 2015","22 May 2015",
"Earnings Per Linked Unit (ZARc)",120.17,156.81,111.48,203.45,110.6,135.04,84.04,125.61,66.81,114.2,49.74,67.7,
"Diluted Earnings Per Linked Unit (ZARc)",118.41,155,110.18,202.49,109.98,85.82,81.83,122.01,64.85,108.42,48.49,65.88,
"Headline Earnings Per Linked Unit (CO) (ZARc)",59.98,74.05,23.56,68.93,33.62,46.18,23.34,19.54,24.99,28.42,3.13,12.87,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",59.09,73.23,23.24,68.61,33.46,44.81,22.6,48.05,24.18,27.36,3.61,13.01,
"Distributions Per Linked Unit (ZARc)",32.89,63.64,28.51,54.99,25.61,49.49,25.41,43.53,20.67,36.51,13.97,11.05,
"Net Asset Value Per Linked Unit (ZARc)",1766.1,1529.03,1263.06,1156.24,1106.29,919.22,972.92,797.04,838.02,870.57,712.46,599.52,
"3 Year Beta",0.41,0.41,0.15,0.33,-0.07,-0.13,,,,,,,
"Cash Generated Per Linked Unit",3.08,6.88,3,5.2,1.92,4.34,2.38,5.69,2.59,5.03,1.81,5.28,
"Number of Months",6,12,6,12,6,12,6,12,6,12,6,12,
"Earnings Per Linked Unit (Base Currency)",5.45,9.55,6.86,12.78,7.04,8.89,5.69,8.13,4.09,7.51,3.97,4.84,
"Diluted Earnings Per Share (Base Currency)",5.37,9.44,6.78,12.72,7,8.65,5.54,7.9,3.97,7.13,3.87,4.71,
"Headline Earnings Per LinkedUnit(Cont)BaseCurrency",2.72,4.51,1.45,4.33,2.14,3.04,1.58,3.2,1.53,1.87,0.25,0.92,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",2.68,4.46,1.43,4.31,2.13,2.95,1.53,3.11,1.48,1.8,0.26,0.93,
