Income statement (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"5 Nov 2020","20 May 2020","7 Nov 2019","16 May 2019","17 Oct 2018","4 May 2018","20 Oct 2017","17 May 2017",
"Turnover",12807.349,23984.296,11847.642,21420.023,10464.943,19479.553,9568.612,17897.313,
"Cost of Sales",9962.483,18428.773,9170.668,16197.19,7858.142,14710.016,7197.358,13059.154,
"Gross Profit",2844.866,5555.523,2676.974,5222.833,2606.801,4769.537,2371.254,4209.321,
"Operating Income",607.468,1248.401,589.478,1375.912,782.871,1125.08,650.974,1126.722,
"Profit Before Exceptional Items",607.468,1248.401,589.478,1375.912,782.871,1125.08,650.974,1126.722,
"Profit Before Interest And Tax",607.468,1248.401,589.478,1375.912,782.871,1125.08,650.974,1126.722,
"Interest Received",9.75,22.297,8.524,20.183,9.223,28.321,4.66,23.977,
"Interest Paid",176.297,402.049,210.189,364.97,176.369,188.403,90.232,249.217,
"Net Interest Paid/(Received)",166.547,379.752,201.665,344.787,167.146,160.082,85.572,225.24,
"Income From Associates Before Tax",1.9,0.195,0.281,,,,,0.501,
"Income Before Tax",442.821,868.844,388.094,1031.125,615.725,964.998,565.402,901.983,
"Taxation",121.333,240.647,105.762,284.185,165.046,266.696,155.999,246.871,
"Profit For The Period",321.488,628.197,282.332,746.94,450.679,698.302,409.403,655.112,
"Income Attributable To Minority Interests",12.11,29.972,15.879,28.217,14.207,14.048,6.526,42.766,
"Attributable Income Before Extraordinary Items",309.378,598.225,266.453,718.723,436.472,684.254,402.877,612.346,
"Income Attributable To Equity Holders",309.378,598.225,266.453,718.723,436.472,684.254,402.877,612.346,
"Total Comprehensive Income/Loss for the period",321.465,628.27,282.24,746.984,450.679,698.302,409.403,655.112,
"Headline Earnings (Cont Ops)",309.594,598.115,266.398,734.712,436.484,684.236,402.822,610.314,
"Enterprise Value (EV)",18914.372,21552.407,22639.997,25695.536,32204.097,31004.586,26772.517,21944.899,

Balance sheet (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"5 Nov 2020","20 May 2020","7 Nov 2019","16 May 2019","17 Oct 2018","4 May 2018","20 Oct 2017","17 May 2017",
"Fixed Assets",3166.647,3095.352,2992.284,2994.756,2881.144,1182.394,1098.357,995.401,
"Investments in Associates",15.602,13.703,15.589,,,,,,
"Intangible Assets",525.097,456.263,463.261,447.112,387.957,300.461,247.127,40.31,
"Deferred Tax Asset",194.137,189.307,225.127,230.511,211.537,181.845,151.056,156.433,
"Total Fixed Assets",3901.483,3754.625,3696.261,3672.379,3480.638,1664.7,1496.54,1192.144,
"Stock",4840.424,4506.76,4339.208,5115.579,4358.618,3947.937,3578.075,3233.911,
"Debtors",1841.227,1655.782,1366.541,1354.016,1211.878,1118.855,1074.026,1097.156,
"Cash",421.446,451.844,657.313,177.432,903.794,279.999,185.767,294.698,
