Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Sep 2020","9 Mar 2020","9 Sep 2019","27 Mar 2019","11 Sep 2018","19 Mar 2018","12 Sep 2017","13 Mar 2017","13 Sep 2016","11 Mar 2016",
"Turnover",421548,274795,514947,286249,538984,297358,525384,282811,313442,165269,
"Cost of Sales",246033,152265,283094,157366,293070,160187,274878,146768,156188,81753,
"Gross Profit",175615,122530,231853,128883,245914,137171,250506,136043,157254,83516,
"Operating Expenses",193990,83523,171134,83900,161409,81801,154917,81071,88227,,
"Operating Income",-8470,42180,69240,49782,91900,58845,102300,57352,75418,40848,
"Profit Before Exceptional Items",-8470,42180,69240,49782,91900,58845,102300,57352,75418,40848,
"Profit Before Interest And Tax",-8470,42180,69240,49782,91900,58845,102300,57352,75418,40848,
"Interest Received",1415,490,957,595,1302,879,3107,1486,2749,778,
"Interest Paid",10454,5033,8754,4655,9595,5034,12183,6515,2291,1333,
"Net Interest Paid/(Received)",9039,4543,7797,4060,8293,4155,9076,5029,-458,555,
"Income Before Tax",-17509,37637,61443,45722,83607,54690,93224,52323,75876,40293,
"Taxation",7030,10804,18401,13162,24029,15580,27234,14948,21685,11636,
"Profit For The Period",-24539,26833,43042,32560,59578,39110,65990,37375,54191,28657,
"Income Attributable To Minority Interests",-3269,572,172,473,815,1013,1725,1077,485,259,
"Attributable Income Before Extraordinary Items",-21270,26261,42870,32087,58763,38096,64265,36298,53706,28398,
"Income Attributable To Equity Holders",-21270,26261,42870,32087,58763,38096,64265,36298,53706,28398,
"Total Comprehensive Income/Loss for the period",-24920,25361,42778,32666,59470,38945,65942,37542,54938,28970,
"Headline Earnings (Cont Ops)",14179,26790,43037,32087,58663,38084,64179,36298,53164,27923,
"Enterprise Value (EV)",172740,351310,441551,481339,514781,580458,599764,612164,439549,454543,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Sep 2020","9 Mar 2020","9 Sep 2019","27 Mar 2019","11 Sep 2018","19 Mar 2018","12 Sep 2017","13 Mar 2017","13 Sep 2016","11 Mar 2016",
"Fixed Assets",56829,78205,64856,66144,61175,54558,51500,50742,42553,42143,
"Right-of-use Asset",19618,,,,,,,,,,
"Goodwill",39244,74797,74797,74797,74401,74401,74401,73536,2389,2388,
"Intangible Assets",43422,36937,38694,41610,42363,44359,46741,49302,1630,643,
"Deferred Tax Asset",3101,453,1647,2643,3443,2816,3687,2069,3707,2873,
"Other Assets",3281,750,780,,693,945,286,500,450,302,
"Total Fixed Assets",165495,191142,180774,185194,182075,177079,176616,176149,50729,48349,
"Stock",93079,93062,107111,110587,106374,95706,94724,74618,30796,28360,
"Debtors",52972,55303,58389,62140,61377,60764,61779,60433,44435,40325,
"Cash",23411,21805,12561,18130,27128,10394,55103,41029,89388,62260,
"Tax",3638,3884,2421,386,2202,27,,,,,
"Other Current Assets",3538,1895,1573,2264,1565,1173,794,1274,1546,821,
"Total Current Assets",176638,175949,182055,193507,198646,168064,212400,177354,166165,131766,
"Total Assets",342133,367091,362829,378701,380721,345143,389016,353503,216894,180115,
"Ordinary Share Capital & Premium",12143,12144,34056,40152,43188,43189,45759,45759,45759,45759,
"Distributable Reserves",139845,190578,180820,179749,165107,156309,139272,122681,103501,88161,
"Non-Distributable Reserves",6776,5412,6027,5440,4253,2931,2031,1207,582,138,
"Ordinary Shareholders' Interest",158764,208134,220903,225341,212548,202429,187063,169647,149842,134058,
"Minority Interest",2432,6110,5758,6115,5626,5816,4827,4236,-846,-1063,
"Total Shareholders' Interest",161196,214244,226661,231456,218174,208245,191890,173883,148996,132995,
"Deferred Tax Liability",260,1121,1027,2398,2610,4142,4439,7652,,,
"Other Long-Term Liabilities",90776,87725,29528,66440,71364,77694,86090,97391,23367,18676,
"Total Long-Term Liabilities",91036,88846,30555,68838,73974,81836,90529,105043,23367,18676,
"Creditors and Provisions",43177,34556,52244,55016,65992,34210,53064,27419,37990,22781,
"Dividends",8016,,,,,,,,,,
"Tax",1834,,174,,894,,3647,783,3563,1967,
"Bank Overdrafts/Short-Term Loans",7340,7273,4141,,,,,,,,
"Other Current Liabilities",29534,22172,49054,23391,21687,20852,49886,46375,2978,3696,
"Total Current Liabilities",89901,64001,105613,78407,88573,55062,106597,74577,44531,28444,
"Total Liabilities",180937,152847,136168,147245,162547,136898,197126,179620,67898,47120,
"Total Equity and Liabilities",342133,367091,362829,378701,380721,345143,389016,353503,216894,180115,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Sep 2020","9 Mar 2020","9 Sep 2019","27 Mar 2019","11 Sep 2018","19 Mar 2018","12 Sep 2017","13 Mar 2017","13 Sep 2016","11 Mar 2016",
"Number of Shares in Issue (Actual)",100204000,100204000,105765000,107250878,108340000,108340000,108340000,108340118,108340118,108340118,
"Weighted Average Shares in Issue (Actual)",102418000,104620000,107218000,107569000,108021000,108146000,108340000,108340118,105630646,102950625,
