Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jul 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"27 Aug 2020","27 Feb 2020","29 Aug 2019","28 Feb 2019","23 Aug 2018","22 Feb 2018","24 Aug 2017","23 Feb 2017","25 Aug 2016","25 Feb 2016","27 Aug 2015","26 Feb 2015","28 Aug 2014","27 Feb 2014","22 Aug 2013","28 Feb 2013","22 Aug 2012","22 Feb 2012","25 Aug 2011","24 Feb 2011","26 Aug 2010",
"Turnover",39599.2,93660,43832.4,90941.6,41558.4,93735.2,42506.3,91250,42310.9,84731.8,38917.4,78173.2,35659.8,72263.4,32369.4,36122.6,61209.1,31492.2,52950.1,27375.8,47451,
"Cost of Sales",31627.4,75946.8,35403.5,73250.4,33416.3,76084.6,34475.3,73924.7,34138.3,68689.6,31545.8,63610.8,29010.2,58926.4,26306.4,29523.2,49957.1,25917.3,43281.8,22431.5,38955.9,
"Gross Profit",7971.8,17713.2,8428.9,17691.2,8142.1,17650.6,8031,17325.3,8172.6,16042.2,7371.6,14562.4,6649.6,13337,6063,6599.4,11252,5574.9,9668.3,4944.3,8495.1,
"Operating Expenses",6826.1,13714.6,6638.2,,,,,,,,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",1055.6,3826.3,1672.3,3071.4,1134.3,3842,1365.8,3559,1349.5,3072.6,1139.6,2796.6,1099.9,2853.2,1211.1,1482.7,2569.8,1652,2040.7,1380.8,2213.5,
"Depreciation",1520.1,3067.1,1548.4,1134.6,546.7,1099.6,542,1036.5,536.6,946.2,461.7,846.6,409.2,731.1,357.4,342.6,594.2,275.6,476.3,221.5,382.8,
"Operating Income",-481.8,709,115.3,1891.8,571.1,2730,815.2,2507.6,819.1,2150.4,685.2,1966.1,695,2152.5,864.1,1330.3,1949.2,1408,1611.3,1185,1866.7,
