Income statement (ZAR million),"Dec 2019","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (4m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Feb 2020","2 Dec 2019","4 Jun 2019","28 Nov 2018","23 May 2018","30 Nov 2017","24 Apr 2017","9 Nov 2016","19 Apr 2016","11 Nov 2015","21 Apr 2015","29 Oct 2014","9 Apr 2014","29 Oct 2013","17 Apr 2013","30 Oct 2012","2 May 2012","27 Oct 2011","13 Apr 2011","28 Oct 2010","18 May 2010",
"Turnover",955.417,3168.574,1188.677,3136.518,1303.973,4368.875,2698.907,4531.64,2101.323,3603.953,1662.864,2635.713,1314.58,2037.402,969.671,1553.522,763.524,1445.556,680.034,1229.748,629.107,
"Cost of Sales",1167.81,4114.193,1515.753,3886.204,1500.531,3772.258,2059.097,3545.385,1616.534,2818.381,1277.753,2046.565,1000.008,1528.347,711.406,1116.409,560.696,1036.075,507.504,886.241,463.764,
"Gross Profit",212.393,945.619,-327.076,-749.686,-196.558,596.617,639.81,986.255,484.789,785.572,385.111,589.148,314.572,509.055,258.265,437.113,202.828,409.481,172.53,343.507,165.343,
"Operating Expenses",,,647.771,,513.158,628.335,347.999,660.791,268.336,495.347,204.261,371.301,181.328,290.359,145.516,241.734,111.183,216.87,92.011,192.698,86.39,
"EBITDA (ProfileData Calc)",,,-1991.789,,-1285.689,94.111,376.709,642.576,346.349,556.066,269.738,427.138,203.35,295.333,,243.504,,190.416,,156.525,,
"Depreciation",,,-985.67,,56.2,97.678,45.421,72.617,34.717,56.249,29.294,51.428,25.118,44.646,20.63,39.68,18.646,27.469,12.68,32.452,15.492,
"Operating Income",-186.401,-989.684,-1152.929,-1182.561,-1363.028,-92.996,283.047,402.488,239.6,358.024,177.188,265.31,143.384,233.621,103.234,185.379,78.766,159.32,63.814,116.774,63.594,
"Profit Before Exceptional Items",-186.401,-989.684,-1151.911,-1182.561,-1363.028,-92.996,283.047,402.488,239.6,358.024,177.188,265.31,143.384,233.621,103.234,185.379,78.766,159.32,63.814,116.774,63.594,
"Exceptional Item 1",,,,,,0.682,,0.427,,0.188,,0.418,,0.219,,,,,,,,
"Profit Before Interest And Tax",-186.401,-989.684,-1151.911,-1182.561,-1363.028,-92.314,283.047,402.915,239.6,358.212,177.188,265.728,143.384,233.84,103.234,185.379,78.766,159.32,63.814,116.774,63.594,
"Interest Received",16.703,36.066,18.083,26.212,10.939,34.52,14.971,29.117,9.896,33.268,12.999,28.233,9.514,17.641,,18.457,,3.627,,7.299,,
"Interest Paid",110.571,296.708,138.985,248.341,130.019,138.211,83.42,136.963,56.118,90.25,36.261,66.187,28.5,33.758,,15.786,,8.546,,14.529,,
"Net Interest Paid/(Received)",93.868,260.642,120.902,222.129,119.08,103.691,68.449,107.846,46.222,56.982,23.262,37.954,18.986,16.117,6.253,-2.671,1.612,4.919,-0.667,7.23,6.559,
"Income From Associates Before Tax",,-29.056,19.884,-85.421,10.419,50.558,33.389,135.789,62.318,109.517,50.42,82.644,26.493,,,,,,,,,
"Income Before Tax",-280.269,-1279.382,-1152.929,-1490.111,-1471.689,-145.447,247.987,430.858,255.696,410.747,204.346,310.418,150.891,217.723,96.981,188.05,77.154,154.401,64.481,109.544,57.035,
"Taxation",3.862,63.603,68,187.882,-268.992,5.009,44.805,37.973,47.015,79.341,40.701,52.31,30.932,46.097,26.497,51.146,21.603,43.313,17.942,32.889,15.897,
"Profit For The Period",-284.131,-1342.985,-1220.207,-1677.993,-1202.697,-150.456,203.182,392.885,208.68,331.406,163.645,258.108,119.959,171.626,70.484,136.904,55.551,111.088,46.539,76.655,41.138,
"Income Attributable To Minority Interests",-2.108,-11.757,-7.104,-5.585,0.219,-3.669,0.119,-2.138,0.181,1.18,0.163,0.895,1.159,0.794,0.349,0.012,,,,,,
"Attributable Income Before Extraordinary Items",-282.023,-1331.228,-1213.104,-1672.408,-1202.916,-146.787,203.063,395.023,208.499,330.226,163.482,257.213,118.8,170.832,70.135,136.892,55.551,111.088,46.539,76.655,41.138,
"Income Attributable To Equity Holders",-282.023,-1331.228,-1213.104,-1672.408,-1202.916,-146.787,203.063,395.023,208.499,330.226,163.482,257.213,118.8,170.832,70.135,136.892,55.551,111.088,46.539,76.655,41.138,
"Total Comprehensive Income/Loss for the period",-307.058,-1301.704,-1202.482,-1655.013,-1229.118,283.326,86.711,455.867,342.75,443.908,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-284.373,-1225.794,-1107.53,-1199.902,-670.686,-147.674,203.086,395.493,208.387,327.51,163.195,255.893,118.625,170.285,70.116,136.485,55.548,114.219,46.419,101.028,41.005,
"Enterprise Value (EV)",943.651,981.381,1162.36,1638.098,1192.644,2878.764,4956.304,4523.104,4437.039,5115.185,3977.753,4288.169,3278.181,2123.888,1678.34,1172.181,1225.622,820.185,834.109,445.697,345.277,

Balance sheet (ZAR million),"Dec 2019","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (4m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Feb 2020","2 Dec 2019","4 Jun 2019","28 Nov 2018","23 May 2018","30 Nov 2017","24 Apr 2017","9 Nov 2016","19 Apr 2016","11 Nov 2015","21 Apr 2015","29 Oct 2014","9 Apr 2014","29 Oct 2013","17 Apr 2013","30 Oct 2012","2 May 2012","27 Oct 2011","13 Apr 2011","28 Oct 2010","18 May 2010",
"Fixed Assets",505.873,521.068,503.685,526.984,495.582,513.66,482.151,466.802,460.751,450.076,432.692,387.517,375.354,364.368,316.096,313.704,312.95,307.528,276.247,277.971,278.519,
"Investments in Associates",484.603,562.184,714.579,599.655,521.036,724.783,706.146,782.854,779.556,584.17,457.797,372.638,,,,,,,,,,
"Goodwill",613.237,613.237,613.237,679.478,754.029,1151.969,1232.111,536.343,534.272,534.272,537.514,462.22,462.22,462.22,462.22,462.22,462.22,462.22,462.22,462.22,482.595,
"Intangible Assets",104.293,111.144,113.937,161.881,153.743,163.373,64.578,18.271,19.634,21.419,23.118,24.88,26.6,28.342,30.084,31.825,33.567,35.308,37.05,38.792,44.923,
"Deferred Tax Asset",9.443,3.444,15.131,32.374,385.928,140.293,44.127,66.768,72.159,75.07,63.238,64.739,4.559,6.316,6.805,8.25,8.124,10.118,7.04,7.522,4.476,
"Other Assets",142.991,7.9,7.29,7.393,11.14,14.007,18.493,13.271,11.449,11.507,8.948,8.153,7.118,6.472,3.152,3.152,2.557,2.25,1.857,1.578,1.007,
"Long-Term Receivables",,,,,,,,,,,,,312.588,,,,,,,,,
"Total Fixed Assets",1860.44,1818.977,1967.86,2007.765,2321.458,2708.085,2547.606,1884.309,1877.821,1676.514,1523.307,1320.147,1188.439,867.718,818.357,819.151,819.418,817.424,784.414,788.083,811.52,
"Stock",312.187,312.208,296.065,327.996,257.799,232.208,188.377,135.252,121.764,109.05,94.81,76.311,94.142,93.156,71.931,65.972,44.354,40.228,40.665,34.388,36.247,
"Debtors",460.106,527.839,468.49,617.067,447.251,522.958,536.036,381.452,278.742,245.101,274.829,196.471,118.428,94.786,55.701,57.086,46.485,51.103,25.682,59.952,65.747,
"Cash",481.545,765.668,1102.816,571.444,303.392,360.218,584.638,596.151,480.762,482.477,460.003,948.984,542.071,504.331,300.142,404.389,152.542,138.763,119.383,243.195,250.697,
"Tax",28.697,38.25,54.679,51.328,106.743,73.334,45.251,22.702,7.068,6.243,0.326,3.325,0.292,1.402,0.292,0.368,0.352,7.811,5.524,6.568,,
"Other Current Assets",869.395,1359.502,1589.814,1756.329,2344.43,3114.824,3958.189,3736.232,3271.418,2707.486,2192.323,1446.405,1587.446,1216.896,1048.962,635.412,611.151,569.624,381.429,328.683,342.511,
"Total Current Assets",2151.93,3003.467,3511.864,3324.164,3459.615,4303.542,5312.491,4871.789,4159.754,3550.357,3022.291,2671.496,2342.379,1910.571,1477.028,1163.277,854.884,807.529,572.683,672.786,695.202,
"Total Assets",4012.37,4822.444,5479.724,5331.929,5781.073,7011.627,7860.097,6756.098,6037.575,5226.871,4545.598,3991.643,3530.818,2778.289,2295.385,1982.378,1674.302,1624.953,1357.097,1460.869,1506.722,
"Ordinary Share Capital & Premium",3094.759,3094.759,3105.928,2328.926,2328.926,2328.926,2327.007,1606.059,1605.11,1356.13,1351.712,1310.139,983.414,982.585,726.903,726.903,726.903,676.015,676.164,676.164,536.396,
"Distributable Reserves",-2978.034,-2686.194,-1927.935,-1355.804,216.736,1418.64,1767.469,1564.406,1377.882,1169.383,1002.639,839.157,700.744,581.944,481.251,411.116,329.775,274.22,209.671,163.132,127.615,
