Income statement (GBP '000),"Sep 2020","Mar 2020",
,"Interim (6m)","Final (12m)",
,"17 Nov 2020","20 May 2020",
"Turnover",362200,761000,
"Cost of Sales",64900,151100,
"Gross Profit",297300,609900,
"Operating Expenses",208700,413400,
"Depreciation",,13200,
"Operating Income",88600,194600,
"Other Income",1200,,
"Profit Before Exceptional Items",89800,194600,
"Exceptional Item 1",5400,2200,
"Profit Before Interest And Tax",95200,196800,
"Interest Received",1100,1700,
"Interest Paid",1800,,
"Net Interest Paid/(Received)",700,-1700,
"Income From Associates Before Tax",300,,
"Income Before Tax",94800,198500,
"Taxation",22100,42500,
"Profit For The Period",72700,156000,
"Income Attributable To Minority Interests",,600,
"Attributable Income Before Extraordinary Items",72700,155400,
"Income Attributable To Equity Holders",72700,155400,
"Total Comprehensive Income/Loss for the period",73600,144500,
"Headline Earnings (Cont Ops)",72200,155200,
"Enterprise Value (EV)",40387519,31501129,

Balance sheet (GBP '000),"Sep 2020","Mar 2020",
,"Interim (6m)","Final (12m)",
,"17 Nov 2020","20 May 2020",
"Fixed Assets",31900,18000,
"Right-of-use Asset",93900,90700,
"Investments in Associates",600,300,
"Investments and Loans",5200,4800,
"Deferred Tax Asset",21100,25200,
"Long-Term Receivables",3500,6200,
"Total Fixed Assets",156200,145200,
"Debtors",307600,246400,
"Cash",212400,194500,
"Tax",9800,4400,
"Other Current Assets",8054000,7060800,
"Total Current Assets",8583800,7506100,
"Total Assets",8740000,7651300,
"Ordinary Share Capital & Premium",441200,441200,
"Treasury Shares",19500,9900,
"Distributable Reserves",141600,71000,
"Non-Distributable Reserves",-346200,-351600,
"Ordinary Shareholders' Interest",217100,150700,
"Minority Interest",500,400,
"Total Shareholders' Interest",217600,151100,
"Deferred Tax Liability",19000,5700,
"Retirement Obligation",2900,1800,
"Other Long-Term Liabilities",143200,138200,
"Total Long-Term Liabilities",165100,145700,
"Creditors and Provisions",328200,304300,
"Tax",8300,7100,
"Other Current Liabilities",8020800,7043100,
"Total Current Liabilities",8357300,7354500,
"Total Liabilities",8522400,7500200,
"Total Equity and Liabilities",8740000,7651300,

Share/unit data,"Sep 2020","Mar 2020",
,"Interim (6m)","Final (12m)",
,"17 Nov 2020","20 May 2020",
"Exchange Rate (period end)",21.75,22.25,
"Exchange Rate (weighted average)",21.84,18.77,
"Number of Shares in Issue (Actual)",922714076,922714076,
"Treasury Shares",9114944,262276,
"Weighted Average Shares in Issue (Actual)",913599132,922451800,
"Fully Diluted Weighted Average Shares in Issue",913599132,,
"Market Capitalisation (R'000)",40599419,31695229,
"Number of Months",6,12,
"Number of Employees",,1165,

Share statistics,"Sep 2020","Mar 2020",
,"Interim (6m)","Final (12m)",
,"17 Nov 2020","20 May 2020",
"Earnings Per Share (ZARc)",172.54,315.34,
"Diluted Earnings Per Share (ZARc)",172.54,315.34,
"Headline Earnings Per Share (Cont Ops) (ZARc)",172.54,315.34,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",172.54,315.34,
"Interim Dividend (ZARc)",119,,
"Dividend Per Share (ZARc)",119,,
"Distributions Per Share (ZARc)",119,,
"Net Asset Value Per Share (ZARc)",511.78,363.34,
"Cash Generated Per Share",29.23,88.17,
"Earnings Per Share (Base Currency)",7.9,16.8,
"Diluted Earnings Per Share (Base Currency)",7.9,16.8,
"Headline Earnings Per Share (Cont) (Base Currency)",7.9,16.8,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",7.9,16.8,
"Net Asset Value Per Share (Base Currency)",23.53,16.33,
"Price at Period End (Base Currency)",203,155,
"JSE Market Price High (ZARc)",4904,5000,
"JSE Market Price Low (ZARc)",3199,2010,
"JSE Market Price at Period End (ZARc)",4400,3435,
"JSE Volume Traded (Actual)",56080926,43530170,
"JSE Rand Value Traded (Actual)",2362344204,1283576899,
"12 Month HEPS",330.21,315.34,
"12 Month Dividend",119,,

Cash flow items,"Sep 2020","Mar 2020",
,"Interim (6m)","Final (12m)",
,"17 Nov 2020","20 May 2020",
"Cash generated by operations",291600,863900,
"Net Cash flow from operating activities",269700,813600,
"Net cash flow from investing activities",-256200,-672000,
"Net cash flow from financing activities",-13900,-199500,
"Dividends paid",,-183900,
"Net increase(decrease) in cash & cash equivalents",,-74700,
"Cash & Cash Equivalent beginning of period",194500,269200,
"Translation effects on cash & cash equivalents",18300,-16800,
"Cash & Cash Equivalent end of period",212400,194500,

Ratios,"Sep 2020","Mar 2020",
,"Interim (6m)","Final (12m)",
,"17 Nov 2020","20 May 2020",
"Return on Capital Employed",37.99,52.56,
"Return on Shareholder Funds",66.82,103.24,
"Return on Total Assets",2.05,2.57,
"Gross Profit Margin",82.08,80.14,
"Operating Profit Margin",24.46,25.57,
"Net Profit Margin",20.07,20.42,
"Debt:Equity (excl non-int debt)",0.76,0.96,
"Interest Cover",136,-115.76,
"Quick Ratio",1.03,1.02,
"Current Ratio",1.03,1.02,
"Dividend Cover",1.45,,
"Dividend Cover (HEPS)",1.45,,
"Debtors Collection Period",154.99,118.18,
"Price : Earnings",13.32,10.89,
"Sales Per Share (Base Currency)",79.29,82.5,
"Price/Sales Per Share",2.57,1.87,
"Price/Net Asset Value",8.65,9.47,
"Price/Cash Flow",13.92,1.75,
"NAV%Price",11.63,10.58,
"Liquidity%",6.33,10.85,
"Cash Flow:Attributable Profit",8.01,5.31,
"Cash/Equity (%)",97.61,128.72,
"PEG Ratio",0.81,0.66,

