Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Aug 2020","5 Mar 2020","26 Aug 2019","4 Mar 2019","3 Sep 2018","9 Mar 2018",
"Turnover",468241,815427,408858,632928,296775,122250,
"Operating Expenses",386185,608335,296359,492799,227736,124929,
"EBITDA (ProfileData Calc)",-325,194513,106381,140055,67403,,
"EBITDA (company calc)",45949,180314,103075,128812,,,
"Depreciation",33107,60890,29200,33995,16405,,
"Operating Income",-47033,119424,73875,94817,43454,-9600,
"Profit Before Exceptional Items",-47033,119424,73875,94817,43454,-9600,
"Profit Before Interest And Tax",-47033,119424,73875,94817,43454,-9600,
"Interest Received",6472,28047,13669,25264,14298,14914,
"Interest Paid",11033,19926,10168,6719,4249,7630,
"Net Interest Paid/(Received)",4561,-8121,-3501,-18545,-10049,-7284,
"Income Before Tax",-51594,127545,77376,113362,53503,-2316,
"Taxation",26488,43861,25149,36071,17990,2788,
"Profit For The Period",-78082,83684,52227,77291,35513,-5104,
"Income Attributable To Minority Interests",-7129,13848,10363,14021,6754,1933,
"Attributable Income Before Extraordinary Items",-70953,69836,41864,63270,28759,-7037,
"Income Attributable To Equity Holders",-70953,69836,41864,63270,28759,-7037,
"Total Comprehensive Income/Loss for the period",-78082,83864,52227,77291,35513,-5104,
"Headline Earnings (Cont Ops)",-12464,69662,41682,62838,28470,-7038,
"Enterprise Value (EV)",924766,1620190,2431034,2647785,3079437,5833277,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Aug 2020","5 Mar 2020","26 Aug 2019","4 Mar 2019","3 Sep 2018","9 Mar 2018",
"Fixed Assets",692260,663358,541460,531298,547303,453699,
"Right-of-use Asset",87533,91702,99637,,,,
"Investments and Loans",11394,5173,2037,6727,2555,1898,
