Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"9 Sep 2020","12 Mar 2020","12 Aug 2019","13 Mar 2019","20 Jul 2018","2 Mar 2018","31 Jul 2017","28 Feb 2017","29 Jul 2016","26 Feb 2016","29 Jul 2015",
"Turnover",-169939,234763,19664,364351,227247,570934,83508,,,,,
"Net Rental / Investment Income",-169939,234763,19664,364351,227247,570934,83508,,,,,
"Dividend Income",52394,115422,66478,53557,15271,94273,64329,,,,,
"Interest Receivable",9608,23609,9265,27758,15602,7117,3708,,,,,
"Depreciation",978,1969,409,572,231,366,180,,,,,
"Total Income",-107937,373794,95407,445666,258120,672324,151545,,,,,
"EBITDA (ProfileData Calc)",-133575,306356,66632,,,,,,,,,
"Interest Payable",15491,26634,9976,16752,8442,15839,7535,,,,,
"Expenses",25059,67893,28920,43281,186087,62474,13677,,,,,
"Income Before Exceptional Items",-148487,279267,56511,385633,63591,594011,130333,,,,,
"Exceptional Item 1",-1557,-1514,-264,-96248,130208,-103529,-68296,,,,,
"Income Before Tax",-150044,277753,56247,289385,193799,490482,62037,,,,,
"Tax",10808,-104133,3696,51302,33834,-197882,7722,,,,,
"Profit For The Period",-160852,381886,52551,238083,159965,688364,54315,,,,,
"Net Income Before Extraords",-160852,381886,52551,238083,159965,688364,54315,,,,,
"Income Attributable To Equity Holders",-160852,381886,52551,238083,159965,688364,54315,,,,,
"Total Comprehensive Income/Loss for the period",13768,361379,38600,339606,229498,676147,49326,,,,,
"Headline Earnings (Cont Ops)",-160808,381878,52551,237928,159810,668364,54315,,,,,
"Enterprise Value (EV)",1498868,346153,199416,-83397,-4067,180839,220368,1484522,1662550,1648527,1654855,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"9 Sep 2020","12 Mar 2020","12 Aug 2019","13 Mar 2019","20 Jul 2018","2 Mar 2018","31 Jul 2017","28 Feb 2017","29 Jul 2016","26 Feb 2016","29 Jul 2015",
"Ordinary Capital & Premium",1444577,1444577,,,,,,,,,,
"Distributable Reserves",2450798,2635294,,,,,,,,,,
"Non-Distributable Reserves",-1145795,-1320415,,,,,,,,,,
"Ordinary Unitholders Interest",2749580,2759456,2469699,2446148,2471137,2303945,1688906,,,,,
"Total Stockholders' Interest",2749580,2759456,2469699,2446148,2471137,2303945,1688906,,,,,
"Interest Bearing Loans",290000,300000,230000,100000,140000,110000,70000,,,,,
"Long-Term Liabilities",290000,300000,230000,100000,140000,110000,70000,,,,,
"Deferred Tax Liability",83785,72976,180805,177109,159641,125807,331411,,,,,
"Other Capital",2368,,,,,,,,,,,
"Total Capital Employed",3125733,3132432,2880504,2723257,2770778,2539752,2090317,,,,,
"Investments",2932800,2953065,2709284,2364372,2083651,1134835,2055050,,,,,
"Fixed Assets / Property",3193,3610,3995,2688,2972,1050,1216,,,,,
"Right-of-use Asset",3963,483,988,,,,,,,,,
"Debtors",131880,124614,112488,34987,28210,1388447,5320,,,,,
"Cash and Short Term Funds",55593,3125,77198,249573,184302,58,288,,,,,
"Other Current Assets",68377,139333,71761,167978,537242,126423,192507,,,,,
"Current Assets",255850,267072,261447,452538,749754,1514928,198115,,,,,
"Total Assets",3195806,3224230,2975714,2819598,2836377,2650813,2254381,,,,,
"Creditors",,42520,48596,30165,25364,40164,13408,,,,,
"Bank O/D & S/T Loans",39975,49278,46614,66176,40235,70897,150656,,,,,
