Income statement (ZAR '000),"Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Mar 2018","28 Aug 2017","10 Mar 2017","22 Aug 2016","30 Mar 2016","28 Aug 2015","27 Mar 2015","27 Aug 2014","26 Mar 2014","29 Aug 2013","27 Mar 2013","23 Aug 2012","22 Mar 2012","25 Aug 2011","24 Mar 2011","31 Aug 2010",
"Turnover",4581144,2276745,5126085,2501918,5519979,2853797,6261441,3293407,6304580,2988854,5493465,2709503,5320945,2944986,5389769,2621176,
"Operating Income",-743132,-458780,63737,73452,226197,93688,-978032,-295497,248533,80153,-170863,-14325,205181,150047,408798,202207,
"Profit Before Exceptional Items",-743132,-458780,63737,73452,226197,93688,-978032,-295497,248533,80153,-170863,-14325,205181,150047,408798,202207,
"Amortisation",,,,,,,,,,,,,,5393,39303,23498,
"Exceptional Item 1",12541,5333,-8906,,-9728,,,,,,,,-32403,,,,
"Profit Before Interest And Tax",-730591,-453447,54831,73452,216469,93688,-978032,-295497,248533,80153,-170863,-14325,172778,144654,369495,178709,
"Interest Received",14615,6951,8868,3747,21077,24629,,,,,20162,,23225,,,,
"Interest Paid",92245,25308,50117,41223,46740,21229,,,,,104845,,56265,,,,
"Net Interest Paid/(Received)",77630,18357,41249,37476,25663,-3400,24185,8658,19704,6157,84683,29019,33040,11915,-619,-547,
"Income From Associates Before Tax",33644,18992,-8981,13664,40536,2539,31736,33852,45166,16873,44812,13099,3751,-1002,1474,502,
"Income Before Tax",-774577,-452812,4601,49640,231342,99627,-794052,-270303,126390,90869,-210734,-30245,143489,131737,371588,179758,
"Taxation",236326,21246,25419,-18122,39704,33008,-147916,-72283,25899,18488,-14593,-9251,57537,38889,119370,52239,
"Profit For The Period",-1010903,-474058,-20818,67762,191638,66619,-646136,-198020,100491,72381,-196141,-20994,85952,92848,252218,127519,
"Income Attributable To Minority Interests",888,1196,10482,-4761,-9548,-2005,-30941,-6083,-29272,-1366,1283,-5103,-6272,-5415,-8535,-1110,
"Attributable Income Before Extraordinary Items",-1011791,-475254,-31300,72523,201186,68624,-615195,-191937,129763,73747,-197424,-15891,92224,98263,260753,128629,
"Extraordinary Profit",,,-32828,-33352,-20425,-25063,-174743,,180979,183403,27040,37447,48755,,,,
"Extraordinary Profit: Discontinued Operations",,,-32818,-33352,-20425,-25063,-78661,,180979,183403,27040,37447,48755,,,,
"Income Attributable To Equity Holders",-1011791,-475254,-64128,39171,180761,43561,-789938,-191937,310742,257150,-170384,21556,140979,98263,260753,128629,
"Total Comprehensive Income/Loss for the period",-1029673,-493426,-89459,16038,188000,49928,-808019,,289370,,,,,,,,
"Headline Earnings (Cont Ops)",-944654,-388680,-28700,70307,158392,62092,-476809,-191917,114558,57532,-163277,18258,172886,93106,259050,129165,
"Enterprise Value (EV)",760820,643128,265437,516136,312517,580939,124002,388656,342583,374652,1304589,1727426,2179905,1908502,1314578,1725113,

Balance sheet (ZAR '000),"Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Mar 2018","28 Aug 2017","10 Mar 2017","22 Aug 2016","30 Mar 2016","28 Aug 2015","27 Mar 2015","27 Aug 2014","26 Mar 2014","29 Aug 2013","27 Mar 2013","23 Aug 2012","22 Mar 2012","25 Aug 2011","24 Mar 2011","31 Aug 2010",
"Fixed Assets",961123,1104592,805204,950850,922446,981824,1086074,1114076,1143877,1168689,1272127,1222197,1166213,1041502,873390,976449,
"Investments in Associates",123946,216515,126234,144774,136399,97356,183089,184793,232041,140113,149569,91329,75093,44373,21836,24196,
"Investments and Loans",41814,,51290,,51290,,,,,,,,,,,,
"Intangible Assets",1003,1433,90782,91210,91640,92070,99938,411399,411829,412259,412689,413119,799995,837790,843183,754283,
"Deferred Tax Asset",136839,335008,317248,340169,298726,313869,600607,212545,120636,135025,125201,93881,68985,68297,79335,61730,
"Other Assets",,,,51289,,51289,,51384,51384,51295,56433,4759,42183,34930,36264,27661,
"Total Fixed Assets",1264725,1657548,1390758,1578292,1500501,1536408,1669708,1974197,1914321,1907381,2016019,1825285,2152469,2026892,1854008,1844319,
"Stock",39670,46603,35229,38121,25939,88482,33067,61200,41958,107436,81236,77513,42857,59065,47700,374582,
"Debtors",632859,834755,699900,861869,766701,1035174,905464,954010,944531,1085385,780354,908388,1125785,1193839,842692,1140269,
"Cash",177758,222862,517513,277508,506845,477941,910815,897333,1258125,1411748,1078687,886253,716037,630401,1011550,868647,
"Tax",24818,28721,28681,31477,19371,69103,57093,49915,66768,39990,53764,47081,58428,43105,26250,15264,
"Other Current Assets",609152,617705,549294,821003,761018,836549,699630,844628,492811,647005,1378376,1475539,804161,679140,595271,269962,
"Total Current Assets",1484257,1750646,1830617,2029978,2079874,2507249,2552957,2807086,2804193,3291564,3372417,3394774,2747268,2605550,2523463,2668724,
"Total Assets",2748982,3408194,3221375,3608270,3580375,4043657,4275777,4781283,4718514,5198945,5388436,5250059,4899737,4632442,4377471,4513043,
"Ordinary Share Capital & Premium",1048025,1048025,1048025,1048025,1048025,1048025,1048025,1048025,1048025,1048025,1048025,948675,948668,948667,948667,948667,
"Distributable Reserves",-920199,-383662,91592,194891,155720,18520,61513,659514,851451,777339,750654,882055,860499,820978,758472,626787,
"Non-Distributable Reserves",-16420,-17131,2361,18426,41983,33373,24006,11313,9989,5900,875,-3341,5653,-3131,1746,-355,
