Income statement (ZAR '000),"Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","28 Feb 2019","20 Feb 2019","30 Nov 2017","15 Sep 2017","12 Dec 2016","25 Nov 2016","23 Nov 2015","29 May 2015","9 Dec 2014","30 May 2014",
"Turnover",26,16,39,3022,11553,568,2793,2152,2771,1372,2768,
"Cost of Sales",,,22896,,7350,162,283,587,429,642,352,
"Gross Profit",26,16,22856,3022,4203,406,2510,1564,2343,730,2417,
"EBITDA (ProfileData Calc)",-4958,,-29130,,,,,,,,,
"Depreciation",178,,251,,,,,,,,,
"Operating Income",-8399,-3452,-33778,-1631,-8575,-5731,-10357,-2990,-7931,-4779,25019,
"Profit Before Exceptional Items",-8399,-3452,-33778,-1631,-8575,-5731,-10357,-2990,-7931,-4779,25019,
"Exceptional Item 1",,,,-4330,-3025,-18,,-457,641,175,-211,
"Profit Before Interest And Tax",-8399,-3452,-33778,-5961,-11600,-5749,-10357,-3447,-7290,-4604,24808,
"Interest Received",3230,1599,4091,1829,4055,1517,3003,1424,2975,1883,1629,
"Interest Paid",2406,1174,3657,1342,6556,3233,6280,2767,4642,2701,2995,
"Net Interest Paid/(Received)",-824,-425,-434,-487,2501,1716,3277,1343,1667,818,1366,
"Income From Associates Before Tax",,,,1260,,,-348,,,,,
"Income Before Tax",-7575,-3027,-33344,-4214,-14101,-7326,-13982,-4790,-8957,-5422,23442,
"Taxation",242,,-1057,-258,-5153,-35,-2137,-776,-1208,308,9979,
"Profit For The Period",-7817,-3027,-32287,-3956,-8948,-7291,-11845,-4014,-7749,-5730,13464,
"Income Attributable To Minority Interests",-33,-46,-306,-158,-708,-187,-111,-126,-30,-117,-144,
"Attributable Income Before Extraordinary Items",-7784,-2981,-31981,-3798,-8240,-7104,-11734,-3888,-7719,-5613,13608,
"Income Attributable To Equity Holders",-7784,-2981,-31981,-3798,-8240,-7104,-11734,-3888,-7719,-5612,13608,
"Total Comprehensive Income/Loss for the period",-7818,-3027,-32287,-3956,-8897,-7291,-11845,-4013,-7749,,,
"Headline Earnings (Cont Ops)",-7664,-2860,-30292,-3956,-4121,-7273,-10235,-3888,-8158,-5612,-13757,
"Enterprise Value (EV)",11087,10471,37720,53793,45486,50809,45278,55012,76467,92636,16943,

Balance sheet (ZAR '000),"Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","28 Feb 2019","20 Feb 2019","30 Nov 2017","15 Sep 2017","12 Dec 2016","25 Nov 2016","23 Nov 2015","29 May 2015","9 Dec 2014","30 May 2014",
"Fixed Assets",2027,2074,2256,2314,13544,17187,17930,41883,42828,42338,42423,
"Investments in Associates",,,,13780,,525,525,895,1352,886,711,
"Investments and Loans",37001,38429,37000,46763,44898,45539,43771,40962,42533,848,958,
"Intangible Assets",,,,,,,71,92,48,58,,
"Deferred Tax Asset",,1934,1706,,,,,,,,,
"Other Assets",,,,,,84,75,427,426,49329,44746,
"Long-Term Receivables",,2456,3053,3849,10649,5197,,,,,,
"Total Fixed Assets",39028,44893,44015,66706,69091,68532,62372,84259,87187,93459,88839,
"Stock",,,,,22896,30246,30246,40246,40246,40556,40246,
"Debtors",209,55,54,25,25,686,600,1378,444,371,295,
"Cash",284,443,246,336,355,155,4,1,878,838,258,
"Tax",2,2,2,2,2,,7,,256,,,
"Other Current Assets",13074,11202,11166,34965,3890,23038,32025,753,872,,1330,
"Total Current Assets",13569,11702,11468,35328,27168,54125,62882,42378,42696,41765,42129,
"Total Assets",52597,56595,55483,102034,96259,122657,125254,126637,129883,135224,130968,
"Ordinary Share Capital & Premium",73809,73809,73809,84495,70615,69365,68365,68365,68365,67276,,
"Distributable Reserves",-54446,-49642,-46660,-18728,-14679,-13478,-6374,1409,5360,7477,,
"Ordinary Shareholders' Interest",19363,24167,27149,65767,55936,55887,61991,69774,73725,74753,69354,
"Minority Interest",-1614,-1627,-1582,-1065,-1276,-754,-567,-582,-456,-544,-426,
"Total Shareholders' Interest",17749,22540,25567,64702,54660,55133,61424,69192,73269,74209,68928,
"Interest Bearing Loans",7582,7137,6723,17196,16162,17300,16716,15714,14354,17302,17168,
"Deferred Tax Liability",,1934,1706,824,6573,3494,3724,7794,8517,10019,10562,
"Other Long-Term Liabilities",10723,11280,8718,8815,8868,4862,7418,12524,20177,13012,12012,
"Total Long-Term Liabilities",18305,20351,17147,26835,31603,25656,27858,36032,43048,40333,39742,
"Creditors and Provisions",13195,12473,11000,8525,4996,8816,5547,3052,1115,1976,3358,
"Tax",,,,,,189,,400,1157,4069,4019,
"Bank Overdrafts/Short-Term Loans",38,39,633,778,834,968,1133,1112,986,78,459,
"Other Current Liabilities",3310,1192,1136,1194,4166,31895,29292,16849,10308,14559,14462,
"Total Current Liabilities",16543,13704,12769,10497,9996,41868,35972,21413,13566,20682,22298,
"Total Liabilities",34848,34055,29916,37332,41599,67524,63830,57445,56614,61015,62040,
"Total Equity and Liabilities",52597,56595,55483,102034,96259,122657,125254,126637,129883,135224,130968,

Share/unit data,"Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","28 Feb 2019","20 Feb 2019","30 Nov 2017","15 Sep 2017","12 Dec 2016","25 Nov 2016","23 Nov 2015","29 May 2015","9 Dec 2014","30 May 2014",
"Number of Shares in Issue (Actual)",268265547,268265547,268265547,338367112,231700445,223000126,215383400,215383400,215383400,212883400,189458775,
"Weighted Average Shares in Issue (Actual)",268265547,266207381,234994052,325088126,226665525,222834545,215383400,215383400,208237178,195845304,124816627,
"Fully Diluted Weighted Average Shares in Issue",,266207381,236994052,325088126,226665525,222834545,215383400,215383400,208237178,195845304,124816627,
"Market Capitalisation (R'000)",5365,5365,32192,37220,30121,33450,28000,38769,62461,76638,,
"Number of Months",12,6,12,6,12,6,12,6,12,6,12,

Share statistics,"Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014",
