Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"21 Sep 2020","27 Feb 2020","5 Sep 2019","1 Mar 2019","31 Aug 2018","2 Mar 2018","1 Sep 2017","3 Mar 2017","2 Sep 2016","3 Mar 2016","1 Sep 2015","23 Feb 2015","29 Aug 2014","21 Feb 2014","29 Aug 2013","28 Feb 2013","23 Aug 2012","29 Feb 2012","24 Aug 2011","2 Mar 2011","24 Aug 2010",
"Turnover",3102.342,1594.097,3217.848,1631.673,3113.713,1539.37,3167.649,1621.331,3078.221,1479.642,2703.034,1312.27,2514.779,1171.491,2223.991,2177.625,1066.395,1583.157,563.851,1119.048,527.77,
"Admin & Collection Fees",1217.403,615.606,1179.054,587.669,1049.892,521.113,1073.877,544.095,993.861,464.865,887.918,409.864,837.822,369.386,711.184,714.284,363.65,511.681,185.725,371.932,165.578,
"Other Expenses",,,,,,,,,,,,36.771,82.48,28.733,56.182,53.885,24.423,43.855,19.314,36.044,17.766,
"Net Rental / Investment Income",1884.939,978.491,2038.794,1044.004,2063.821,1018.257,2093.772,1077.236,2084.36,1014.777,1815.116,865.635,1594.477,773.372,1456.625,1409.456,678.322,1027.621,358.812,711.072,344.426,
"Interest Receivable",88.997,61.457,156.043,161.218,312.55,151.132,294.177,160.423,323.759,124.963,157.344,81.57,65.645,27.471,28.57,22.18,10.844,31.416,2.731,7.006,3.682,
"Other Income",,,,,,,,,,,,,,,,,,4.555,0.449,0.905,0.449,
"Depreciation",,22.059,42.209,19.733,38.149,,33.296,,,,,,,,,,,,,,,
"Total Income",1973.936,1039.948,2194.837,1205.222,2376.371,1169.389,2387.949,1237.659,2408.119,1139.74,1972.46,947.205,1660.122,800.843,1485.195,1431.636,689.166,1063.592,361.992,718.983,348.557,
"Debenture Interest",,,,,,,,,,,,,1147.443,561.922,1030.8,994.333,481.364,741.703,300.665,593.024,289.037,
"EBITDA (ProfileData Calc)",,69.943,731.301,,,,,,,,,,,,,,,,,,,
"Interest Payable",637.392,323.47,617.198,300.079,594.823,312.778,630.679,332.829,689.935,283.404,508.991,263.679,460.366,212.631,414.133,427.007,221.83,239.741,66.491,128.56,63.379,
"Income Before Exceptional Items",1336.544,716.478,1577.639,905.143,1781.548,856.611,1757.27,904.83,1718.184,856.336,1463.469,683.526,52.313,26.29,40.262,10.296,-14.028,82.148,-5.164,-2.601,-3.859,
"Amortisation",,,,,,,,,,,,,102.806,47.35,299.042,487.925,238.002,231.354,61.69,111.763,54.904,
