Income statement (ZAR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","10 Jul 2020","20 Nov 2019","24 Jun 2019","22 Nov 2018","27 Jun 2018","20 Nov 2017","28 Jun 2017","17 Nov 2016","22 Jun 2016","24 Nov 2015","24 Jun 2015","29 Oct 2014","27 Jun 2014",
"Other Income",,,,,,,,4477,,3761,,2698,,12426,
"Turnover",153349,345444,172777,299427,136392,248649,121668,204973,91933,171631,80907,140433,70465,119649,
"Other Expenses",57125,114831,51633,104323,39081,70892,32582,64889,29920,48687,21708,38157,18559,45953,
"Net Rental / Investment Income",96224,230613,121144,195104,97311,177757,89086,144561,62013,124129,59199,104939,51906,78885,
"Interest Receivable",2158,5605,2902,5907,2932,3446,630,182,101,465,410,600,416,153,
"Other Income",2572,5444,1639,2167,604,5743,4144,,2546,,624,,3157,,
"Total Income",100954,241662,125685,203178,100847,186946,93860,144743,64660,124594,60233,105539,55479,79038,
"Interest Payable",48716,90995,42003,37200,9710,37431,33361,59012,33909,36254,13416,9418,2227,28046,
"Expenses",,,,,,49800,49800,,,2576,,35,,7237,
"Income Before Exceptional Items",52238,150667,83682,165978,91137,99715,10699,85731,30751,85764,46817,96086,53252,43755,
"Exceptional Item 1",-32496,-40716,-5986,-50292,,10151,,74822,,-2421,,114626,,69624,
"Income Before Tax",19742,109951,77696,115686,91137,109866,10699,160553,30751,83343,46817,210712,53252,113379,
"Tax",5043,2289,5701,-8293,3104,-21477,3161,4627,1200,1800,-1418,3885,6439,-8863,
"Profit For The Period",14699,107662,71995,123979,88033,131343,7538,155926,29551,81543,48235,206827,46813,122242,
"Net Income Before Extraords",14699,107662,71995,123979,88033,131343,7538,155926,29551,81543,48235,206827,46813,122242,
"Income Attributable To Equity Holders",14699,107662,71995,123979,88033,131343,7538,155926,29551,81543,48235,206827,46813,122242,
"Total Comprehensive Income/Loss for the period",14699,107662,71995,123979,88033,131343,7538,155926,29551,81543,48235,,,,
"Headline Earnings (Cont Ops)",14699,91185,71995,132608,88033,108507,7538,79558,29551,83964,48233,92237,46813,28532,
"Enterprise Value (EV)",2196654,1931961,2254775,1983621,1842848,2033691,1994921,2284131,2259439,1960296,1901229,1719026,1405689,259808,

Balance sheet (ZAR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","10 Jul 2020","20 Nov 2019","24 Jun 2019","22 Nov 2018","27 Jun 2018","20 Nov 2017","28 Jun 2017","17 Nov 2016","22 Jun 2016","24 Nov 2015","24 Jun 2015","29 Oct 2014","27 Jun 2014",
"Ordinary Capital & Premium",1606452,1606452,1826869,1828902,2087636,2087928,2088293,1187088,1154020,1116566,1047894,1031570,1013448,644152,
"Distributable Reserves",333688,375711,414641,417245,462195,427053,412163,476453,410719,439466,467508,477850,375636,362823,
"Non-Distributable Reserves",,,,,,49800,49800,,,,,,,,
"Other Capital",,,,,,,,,,,,,,104366,
"Ordinary Unitholders Interest",1940140,1982163,2241510,2246147,2549831,2564781,2550256,1663541,1564739,1556032,1515402,1509420,1389084,1111341,
"Total Stockholders' Interest",1940140,1982163,2241510,2246147,2549831,2564781,2550256,1663541,1564739,1556032,1515402,1509420,1389084,1111341,
"Interest Bearing Loans",824656,500000,506866,783661,513027,335245,139680,898433,842250,627233,390738,197320,54160,,
"Other Long-Term Liabilities",63036,30850,15227,,,,,,,,,,,,
"Long-Term Liabilities",887692,530850,522093,783661,513027,335245,139680,898433,842250,627233,390738,197320,54160,,
"Deferred Tax Liability",20337,19206,17916,16921,15858,18535,26265,23105,19678,18478,15260,16678,16306,15021,
"Total Capital Employed",2848169,2532219,2781519,3046729,3078716,2918561,2716201,2585079,2426667,2201743,1921400,1723418,1459550,1126362,
"Fixed Assets / Property",3058998,3059111,3051328,3009027,2790629,2638538,2501727,2421550,2212487,2054691,1914493,1737745,1456714,1379153,
"Right-of-use Asset",6445,6934,7423,,,,,,,,,,,,
"Intangible Assets",,,,,,,,,9,14,,26,,86,
"Deferred Tax Asset",20407,24234,19148,23743,11128,16908,,,,,,,,,
"Other Assets",137933,132036,122498,110205,98681,87516,81193,33349,27409,27809,28645,-4843,26637,-2245,
"Debtors",17795,12593,10543,9185,17719,15331,23381,14139,50496,28829,18724,8692,4589,3991,
"Cash and Short Term Funds",4922,6105,8552,7233,6199,2948,3427,2931,3031,3398,2933,8768,10807,125703,
"Other Current Assets",131283,131706,161768,161118,175770,178538,201984,178732,147300,104628,55490,47408,29906,26474,
"Current Assets",154000,150404,180863,177536,199688,196817,228792,195802,200827,136855,77147,64868,45302,156168,
"Total Assets",3377783,3372719,3381260,3320511,3100126,2939779,2811712,2650701,2440732,2219369,2020285,1797796,1528653,1533162,
"Creditors",26927,32089,28735,23215,20593,20655,15787,15792,14065,11096,14409,8305,7267,11247,
"Bank O/D & S/T Loans",500312,587240,570461,567,817,563,79724,49830,,6530,84476,66073,61836,385511,
"Other Current Liabilities",2375,221171,545,250000,,,,,,,,,,10042,
"Current Liabilities",529614,840500,599741,273782,21410,21218,95511,65622,14065,17626,98885,74378,69103,406800,
"Net Current Assets",-375614,-690096,-418878,-96246,178278,175599,133281,130180,186762,119229,-21738,-9510,-23801,-250632,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","10 Jul 2020","20 Nov 2019","24 Jun 2019","22 Nov 2018","27 Jun 2018","20 Nov 2017","28 Jun 2017","17 Nov 2016","22 Jun 2016","24 Nov 2015","24 Jun 2015","29 Oct 2014","27 Jun 2014",
"Number of Linked Units Issued (Actual)",257826000,257826000,257826000,257826000,251925000,251975000,251975000,191257000,186871000,182182319,174261990,172282443,170000000,120864827,
"Weighted Ave Stock Units (Actual)",257826000,257826000,257826000,258128000,251962000,230253000,208656000,186837000,183102000,177386298,172792244,169733035,168115363,94808385,
"Fully Diluted Weighted Average Shares in Issue",257826000,257826000,310826000,311128000,311172000,265293000,219657000,186837000,183102000,,,,,,
"Market Capitalisation (R000)",876608,850826,1186000,1206626,1335203,1700831,1778944,1338799,1420220,1329931,1428948,1464401,1300500,,

Share statistics,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","10 Jul 2020","20 Nov 2019","24 Jun 2019","22 Nov 2018","27 Jun 2018","20 Nov 2017","28 Jun 2017","17 Nov 2016","22 Jun 2016","24 Nov 2015","24 Jun 2015","29 Oct 2014","27 Jun 2014",
"Earnings Per Linked Unit (ZARc)",5.7,41.76,27.92,48.03,34.94,57.04,3.61,83.46,15.81,46,28,122,28,129,
"Diluted Earnings Per Linked Unit (ZARc)",5.7,41.76,23.16,39.85,28.29,49.51,3.43,83.46,15.81,45,28,120,28,129,
"Headline Earnings Per Linked Unit (CO) (ZARc)",5.7,35.37,27.92,51.37,34.94,47.13,3.61,42.58,16.14,47,28,54,28,30,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",5.7,35.37,23.16,42.62,28.29,40.9,3.43,42.58,16.14,46,28,54,28,30,
"Distributions Per Linked Unit (ZARc)",17,46,24,50,26,68,35,66,32,66,34,68,34,20,
"Net Asset Value Per Linked Unit (ZARc)",753,769,721,723,819.52,824,819.53,869.79,837.34,854,870,876,817,920,
"3 Year Beta",-0.03,0.34,0.13,0.34,0.28,0.18,0.31,,,,,,,,
"Cash Generated Per Linked Unit",-6.22,1.49,1.08,-14.83,-9.61,-12.06,-15.19,-38.79,-44.19,-41.63,-5.45,-3.25,5.04,25.4,
"Number of Months",6,12,6,12,6,12,6,12,6,12,6,12,6,12,
"Net Asset Value Per Linked Unit (Base Currency)",753,769,721,723,819.52,824,819.53,869.79,837.34,854,870,876,817,920,
"Price at Period End (Base Currency)",340,330,460,468,530,675,706,700,760,730,820,850,765,,
"JSE Market Price at Period End (ZARc)",340,330,460,468,530,675,706,700,760,730,820,850,765,,
"JSE Market Price High (ZARc)",410,545,545,700,700,750,750,800,800,910,910,1000,1000,,
"JSE Market Price Low (ZARc)",280,299,419,430,501,530,600,600,681,710,800,725,725,,
"JSE Volume Traded (Actual)",4533121,48910775,6569890,28442337,9787801,16405317,6508782,12042981,4174257,12785708,5982622,17850368,6229657,,
"JSE Rand Value Traded (Actual)",15488463,210435594,32635460,153197374,59193702,112970045,45386723,86896309,30700861,104779306,50943420,143546224,50514543,,
"12 Month HEPS",13.15,35.37,44.35,51.37,78.46,47.13,30.05,42.58,35.14,47,54,54,43,30,
"12 Month Dividend",39,46,48,50,59,59,68,69,66,64,66,68,68,20,
"Dividend Per Share (ZARc)",,,,,,,,,,,,,34,,

Cash flow items,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","10 Jul 2020","20 Nov 2019","24 Jun 2019","22 Nov 2018","27 Jun 2018","20 Nov 2017","28 Jun 2017","17 Nov 2016","22 Jun 2016","24 Nov 2015","24 Jun 2015","29 Oct 2014","27 Jun 2014",
"Cash generated from operations after WC",80568,237633,113821,182531,85254,179844,61781,84313,3595,43946,41372,79707,,67316,
"Net Cash flow from operating activities",-16033,3841,2788,-38229,-24215,-30398,-38287,-74185,-82584,-75851,-9505,-5600,8576,30694,
"Net cash flow from investing activities",-2696,-58434,-41714,-391025,-152091,-201802,-80179,-292037,-157797,-353260,-208066,-243968,-108845,-103342,
"Net cash flow from financing activities",17546,53465,40246,433539,179557,253014,139759,344958,240014,423741,211735,132634,-14627,196990,
"Dividends paid",-56722,-149197,-74598,-183587,,-177891,,,,,,,,,
"Net increase(decrease) in cash & cash equivalents",-1183,-1128,1320,4285,3251,20814,21293,-21264,-367,-5370,-5835,-116935,,,
"Cash & Cash Equivalent beginning of period",6105,7233,7233,2948,2948,-17866,-17866,3398,3398,8768,8768,125703,,,
"Cash & Cash Equivalent end of period",4922,6105,8553,7233,6199,2948,3427,-17866,3031,3398,3398,8768,,,

Ratios,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"23 Nov 2020","10 Jul 2020","20 Nov 2019","24 Jun 2019","22 Nov 2018","27 Jun 2018","20 Nov 2017","28 Jun 2017","17 Nov 2016","22 Jun 2016","24 Nov 2015","24 Jun 2015","29 Oct 2014","27 Jun 2014",
"Turnover Per Share",118.96,133.98,134.03,116,108.26,107.99,116.62,109.71,100.42,96.76,93.65,82.74,83.83,126.2,
"Price/Sales Per Share",2.86,2.46,3.43,4.03,4.9,6.25,6.05,6.38,7.57,7.54,8.76,10.27,9.13,,
"Price/Net Asset Value",0.45,0.43,0.64,0.65,0.65,0.82,0.86,0.8,0.91,0.85,0.94,0.97,0.94,,
"Price/Cash Flow",-109.32,221.48,850.79,-31.56,-110.3,-55.97,-92.96,-18.05,-34.4,-17.54,-300.92,-261.54,303.57,,
"Return on Capital Employed",1.03,4.25,5.18,4.07,5.72,4.5,0.56,6.03,2.44,3.7,5.02,12,6.41,10.85,
"Return on Stockholder Funds",1.52,5.43,6.42,5.52,6.91,5.12,0.59,9.37,3.78,5.24,6.37,13.7,6.74,11,
"Return on Total Assets",5.98,7.17,7.43,6.12,6.51,6.36,6.68,5.46,5.3,5.61,5.96,5.87,7.26,5.16,
"Operating Profit Margin",65.83,69.96,72.74,67.86,73.94,75.18,77.14,70.62,70.33,72.59,74.45,75.15,78.73,66.06,
"Net Profit Margin",15.28,46.69,59.43,63.55,90.47,73.89,8.46,107.86,47.65,65.69,81.48,197.09,90.19,154.96,
