Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"3 Dec 2020","8 Jun 2020","9 Dec 2019","18 Jun 2019","11 Dec 2018","11 Jun 2018","4 Dec 2017","12 Jun 2017","28 Nov 2016","13 Jun 2016","30 Nov 2015","8 Jun 2015","2 Dec 2014",
"Turnover",1542,3153,1588,3136,1571,3010,1799,3470,1994,3395,2563,4851,2377,
"Operating Expenses",1212,2442,1185,2382,1180,2177,1344,2533,1313,2490,2011,3714,1833,
"Operating Income",357,-526,361,523,144,674,382,800,387,765,552,782,544,
"Profit Before Exceptional Items",357,-526,361,523,144,674,382,800,387,765,552,782,544,
"Exceptional Item 1",-70,,-6,8,20,-24,-11,-2,2,59,-31,-26,-259,
"Profit Before Interest And Tax",287,-526,355,531,164,650,371,798,389,824,521,756,285,
"Interest Received",71,155,84,213,93,208,143,178,93,163,79,226,180,
"Interest Paid",-38,143,72,161,67,96,48,89,38,69,39,119,72,
"Net Interest Paid/(Received)",-109,-12,-12,-52,-26,-112,-95,-89,-55,-94,-40,-107,-108,
"Income From Associates Before Tax",,,,,,,2,,3,4,2,3,1,
"Income Before Tax",396,-514,367,583,190,762,468,887,447,922,563,866,394,
"Taxation",145,250,117,261,137,260,159,267,141,301,162,361,208,
"Profit For The Period",251,-764,250,322,53,502,309,620,306,621,401,505,186,
"Income Attributable To Minority Interests",,191,46,54,3,87,42,109,67,145,67,107,53,
"Attributable Income Before Extraordinary Items",251,-955,204,268,50,415,267,511,239,476,334,398,133,
"Extraordinary Profit",-53,810,92,68,-93,-175,15,954,110,253,3,-145,-19,
"Extraordinary Profit: Discontinued Operations",-53,810,,68,-93,-175,15,954,110,253,-3,-145,-19,
"Income Attributable To Equity Holders",198,-145,296,336,-43,240,282,1465,349,729,337,253,114,
"Total Comprehensive Income/Loss for the period",193,105,336,457,48,284,355,1049,196,1069,610,382,218,
"Headline Earnings (Cont Ops)",244,394,217,408,167,438,277,683,345,744,334,394,138,
"Enterprise Value (EV)",1728,1652.04,2939.2,2128.69,1211.45,4183.2,4057.75,2923.26,4766,4659,6350.3,10044.6,7887.6,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"3 Dec 2020","8 Jun 2020","9 Dec 2019","18 Jun 2019","11 Dec 2018","11 Jun 2018","4 Dec 2017","12 Jun 2017","28 Nov 2016","13 Jun 2016","30 Nov 2015","8 Jun 2015","2 Dec 2014",
"Fixed Assets",601,624,686,731,830,174,188,202,313,355,343,331,342,
"Investments in Associates",,,,24,,,11,13,11,8,6,9,7,
"Investments and Loans",306973,272585,302179,299852,307792,297110,299172,281818,279051,276638,258602,262362,268706,
"Goodwill",1392,1392,2537,2537,3038,3038,3355,3355,3898,3995,3995,3899,4006,
"Intangible Assets",189,219,289,323,356,390,421,462,610,681,734,764,830,
"Deferred Tax Asset",199,228,246,238,218,175,151,148,156,157,159,149,147,
"Other Assets",120,132,179,151,134,400,302,163,154,139,126,84,74,
"Total Fixed Assets",309474,275180,306116,303856,312368,301287,303600,286161,284193,281973,263965,267598,274112,
"Debtors",1143,527,471,415,363,284,411,398,962,929,959,782,1007,
"Cash",2869,3959,4896,5041,5884,5794,5970,6263,4466,4877,4242,4350,3930,
