Income statement (GBP '000),"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016",
,"Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"11 Nov 2020","9 Sep 2020","9 Jun 2020","12 Feb 2020","13 Nov 2019","11 Sep 2019","15 May 2019","12 Feb 2019","14 Nov 2018","5 Sep 2018","8 May 2018","7 Feb 2018","7 Nov 2017","20 Sep 2017","10 May 2017","10 Feb 2017","9 Nov 2016",
"Turnover",140,488,2,237,85,425,38,317,143,634,90,339,144,412,121,155,49,
"Admin & Collection Fees",112,2019,135,204,94,1833,629,163,74,1168,88,308,88,317,157,199,78,
"Other Expenses",440,-721,414,716,306,1203,286,602,314,1374,336,402,215,710,73,251,89,
"Net Rental / Investment Income",-412,-810,542,-683,-315,-2611,-877,-448,-245,-1908,-334,-371,-160,-615,-109,-295,-118,
"EBITDA (company calc)",,,,,,8034,,,,,,,,,,,,
"Other Income",228,,,416,,,,,,,75,,,,,,,
"Total Income",-184,-810,542,-267,-315,-2611,-877,-448,-245,-1908,-259,-371,-160,-615,-109,-295,-118,
"Interest Payable",65,128,,,,,,,,,,,,,,,,
"Income Before Exceptional Items",-249,-938,542,-267,-315,-2611,-877,-448,-245,-1908,-259,-371,-160,-615,-109,-295,-118,
"Amortisation",,56,,,,,,,,,,,,,,,,
"Exceptional Item 1",-646,-2484,-8466,-371,393,10645,3677,402,106,5365,4649,,,-51,,-3,-3,
"Exceptional Item 1: Fair Value Adjustments",,,,,,,3983,,,,5228,,,,,,,
"Exceptional Item 1: Foreign currency (loss)gain",,,,,,,-306,,,,-579,,,,,,,
"Income Before Tax",-895,-3478,-7924,-638,78,8034,2800,-46,-139,3457,4390,-371,-160,-666,-109,-298,-121,
"Profit For The Period",-895,-3478,-7924,-638,78,8034,2800,-46,-139,3457,4390,-371,-160,-666,-109,-298,-121,
"Net Income Before Extraords",-895,-3478,-7924,-638,78,8034,2800,-46,-139,3457,4390,-371,-160,-666,-109,-298,-121,
"Income Attributable To Equity Holders",-895,-3478,-7924,-638,78,8034,2800,-46,-139,3457,4390,-371,-160,-666,-109,-298,-121,
"Total Comprehensive Income/Loss for the period",-895,-3478,-7924,-638,78,8034,2800,-46,-139,3457,4389,-370,-160,-666,-109,-298,-121,
"Headline Earnings (Cont Ops)",,,-7924,,,,2800,-46,,,,-370,,,,,-121,
"Enterprise Value (EV)",1360622,1359996,1409972,1401786,1188706,1179556,1142596,1137112,1136742,1105893,1131598,1124250,958503,1053566,1089014,1208281,1226603,

Balance sheet (GBP '000),"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016",
,"Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"11 Nov 2020","9 Sep 2020","9 Jun 2020","12 Feb 2020","13 Nov 2019","11 Sep 2019","15 May 2019","12 Feb 2019","14 Nov 2018","5 Sep 2018","8 May 2018","7 Feb 2018","7 Nov 2017","20 Sep 2017","10 May 2017","10 Feb 2017","9 Nov 2016",
"Ordinary Capital & Premium",71847,71847,71847,71847,71847,71847,71847,71847,71847,71847,71847,71847,71847,71847,71847,71847,71847,
"Distributable Reserves",6452,7347,2263,10187,10903,10825,5545,2745,2652,2791,3353,-1036,-826,-666,-407,-298,-121,
"Ordinary Unitholders Interest",78299,79194,74110,82034,82750,82673,77392,74592,74499,74638,75200,70811,71022,71181,71440,71549,71726,
"Total Stockholders' Interest",78299,79194,74110,82034,82750,82673,77392,74592,74499,74638,75200,70811,71022,71181,71440,71549,71726,
"Non-Interest Bearing Loans",10245,7631,,,,,,,,,,,,,,,,
"Interest Bearing Loans",,,7603,,,,,,,,,,,,,,,
"Long-Term Liabilities",10245,7631,7603,,,,,,,,,,,,,,,
"Total Capital Employed",88544,86825,81714,82034,82750,82673,77392,74592,74499,74638,75200,70811,71022,71181,71440,71549,71726,
"Investments",87300,87806,81403,81870,77339,70284,63720,54661,54364,54658,44073,37381,17316,4000,,,,
"Debtors",95,96,81,308,2734,540,80,160,,160,5174,122,97,107,,,,
"Cash and Short Term Funds",2570,582,1224,1807,5071,14221,15006,20490,20860,15534,26004,33352,53675,67138,71482,71593,72082,
"Other Current Assets",,,,,,,,138,162,5158,,,,,,,,
"Current Assets",2665,678,1305,2115,7805,14761,15086,20788,21022,20852,31178,33474,53772,67245,71482,71593,72082,
"Total Assets",89964,88484,82708,83985,85144,85045,78806,75449,75386,75510,75251,70855,71088,71245,71482,71593,72082,
"Creditors",1420,1659,994,1951,2394,2372,1414,857,887,872,51,44,66,64,42,44,356,
"Current Liabilities",1420,1659,994,1951,2394,2372,1414,857,887,872,51,44,66,64,42,44,356,
"Net Current Assets",1245,-981,311,164,5411,12389,13672,19931,20135,19980,31127,33430,53706,67181,71440,71549,71726,

Share/unit data,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016",
,"Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"11 Nov 2020","9 Sep 2020","9 Jun 2020","12 Feb 2020","13 Nov 2019","11 Sep 2019","15 May 2019","12 Feb 2019","14 Nov 2018","5 Sep 2018","8 May 2018","7 Feb 2018","7 Nov 2017","20 Sep 2017","10 May 2017","10 Feb 2017","9 Nov 2016",
"Exchange Rate (period end)",21.56,21.29,19.78,18.55,18.62,17.88,18.92,18.34,14.15,18.15,16.59,16.73,18.11,16.95,16.06,16.89,18.07,
"Exchange Rate (weighted average)",21.84,19.7,16.94,18.5,18.1,18.37,18.27,18.36,14.06,16.91,16.64,17.66,17.24,17.28,16.37,17.91,18.51,
"Number of Linked Units Issued (Actual)",72350131,72350131,72350131,72350131,72350131,72350131,72350131,72350131,72350131,72350131,72350131,72350131,72350131,72350131,72350131,72350131,72350131,
"Weighted Ave Stock Units (Actual)",72350131,72350131,72350131,72350131,72350131,72350131,72350131,72350131,72350131,72350131,72350131,72350131,72350121,72350131,72350131,72350131,72350131,
"Fully Diluted Weighted Average Shares in Issue",,,,,,,72350131,,,,72350131,,72350121,72350121,72350131,72350131,72350131,
"Market Capitalisation (R000)",1352947,1352947,1403593,1403593,1193777,1193777,1157602,1157602,1157602,1121427,1157602,1157602,1012178,1120704,1160496,1279874,1298685,

Share statistics,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016",
,"Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"11 Nov 2020","9 Sep 2020","9 Jun 2020","12 Feb 2020","13 Nov 2019","11 Sep 2019","15 May 2019","12 Feb 2019","14 Nov 2018","5 Sep 2018","8 May 2018","7 Feb 2018","7 Nov 2017","20 Sep 2017","10 May 2017","10 Feb 2017","9 Nov 2016",
"Earnings Per Linked Unit (ZARc)",-27.08,-94.76,-185.49,-16.29,1.99,203.91,70.7,-1.1,-2.67,80.83,101,-9.01,-3.79,-15.9,-2.46,-7.34,-3.15,
"Headline Earnings Per Linked Unit (CO) (ZARc)",-27.08,-94.76,-185.49,-16.29,1.99,203.91,70.7,-1.1,-2.67,80.83,101,-9.01,-3.79,-15.9,-2.46,-7.34,-3.15,
"Net Asset Value Per Linked Unit (ZARc)",2332.79,2331.26,2026.07,2103.69,2130.13,2043.68,2024.44,1890.85,1457.45,1873.08,1723.7,1637.87,1777.68,1667.88,1589.94,1672.71,1788.93,
"3 Year Beta",-0.31,-0.29,-0.31,-0.49,-0.42,,,,,,,,,,,,,
"Cash Generated Per Linked Unit",-0.74,-2.7,-1.82,-1.41,-0.45,-1.94,-1.44,-0.94,-0.5,-2.2,-1.39,-0.72,-0.36,-1.34,-0.15,-0.28,0.28,
"Number of Months",3,12,3,6,3,12,3,6,3,12,3,6,3,12,3,6,3,
"Earnings Per Linked Unit (Base Currency)",-1.24,-4.81,-10.95,-0.88,0.11,11.1,3.87,-0.06,-0.19,4.78,6.07,-0.51,-0.22,-0.92,-0.15,-0.41,-0.17,
"Headline Earnings Per LinkedUnit(Cont)BaseCurrency",-1.24,-4.81,-10.95,-0.88,0.11,11.1,3.87,-0.06,-0.19,4.78,6.07,-0.51,-0.22,-0.92,-0.15,-0.41,-0.17,
"Net Asset Value Per Linked Unit (Base Currency)",108.2,109.5,102.4,113.4,114.4,114.3,107,103.1,103,103.2,103.9,97.9,98.16,98.4,99,99,99,
"Price at Period End (Base Currency)",86,87,87,104,89,92,85,87,87,85,96,97,77,92,96,106,100,
"JSE Market Price at Period End (ZARc)",1870,1870,1940,1940,1650,1650,1600,1600,1600,1550,1600,1600,1399,1549,1604,1769,1795,
"JSE Market Price High (ZARc)",1870,1950,1940,1950,1650,1651,1600,1600,1600,1600,1600,1600,1549,1811,1769,1811,1811,
"JSE Market Price Low (ZARc)",1600,1250,1600,1250,1250,1115,1260,1115,1115,1290,1600,1290,1325,1450,1450,1650,1755,
"JSE Volume Traded (Actual)",24429,138567,66465,23975,5330,8353782,83890,6184851,4079893,1462313,,1046918,94800,513604,200780,228803,63901,
"JSE Rand Value Traded (Actual)",416098,2345347,1081120,392629,85183,122001718,1211135,87880651,54211467,20727473,,14285858,1319612,8698770,3299922,4090452,1149156,
"12 Month HEPS",-98.15,-94.76,-209.97,188.72,154.92,203.91,-152.57,88.74,57.95,80.83,83.47,-17.57,-15.71,-15.9,-13.47,-14.68,-12.6,

Cash flow items,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016",
