Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"5 Nov 2020","18 Jun 2020","7 Nov 2019","23 May 2019","8 Nov 2018","24 May 2018","2 Nov 2017","25 May 2017","10 Nov 2016","26 May 2016","12 Nov 2015","28 May 2015","6 Nov 2014","29 May 2014","7 Nov 2013","30 May 2013","8 Nov 2012","29 May 2012","3 Nov 2011","26 May 2011","16 Nov 2010","27 May 2010",
"Turnover",12530,35323.3,16955.2,34101.4,15913.1,28519.5,12377.5,23548.7,11415.7,21107.5,9761.2,16085.9,7305.1,14159,6660.9,12896.4,6112.2,11630.5,5428.3,9936.5,4581.6,8605.2,
"Cost of Sales",6866,16700.1,7928.2,15820.8,7386.5,13557.5,6065.4,11845.2,5756.3,10613.1,4972.4,8484.2,3986.3,7579.4,3627.7,6906.1,3553.7,6750.1,3156,5768.1,2674,5005.8,
"Gross Profit",5664,18623.2,9027,18280.6,8526.6,14962,6312.1,11703.5,5659.4,10494.4,4788.8,7601.7,3318.8,6579.6,3033.2,5990.3,2558.5,4880.4,2272.3,4168.4,1907.6,3599.4,
"Operating Expenses",5937.6,15816.2,7695.7,15432,7361.1,,,,,,,,,,,,,,,3365.5,,3084.3,
"EBITDA (ProfileData Calc)",1389.6,,2738.6,,,,,,,,,,,,,,,,,,,,
"Depreciation",429.8,,411.8,,,,,,,,,,,,,,,,,,,,
"Operating Income",279.8,2807,2326.8,2848.6,1165.5,4126.5,1785.5,3811.2,1729.1,3596.1,1598.3,2807.1,1247,2536.9,1163.9,2407.3,447.7,2787,425.3,802.9,265.3,515.1,
"Other Income",612.9,1393.5,681.7,1262.8,675.2,1187.7,619.9,,576.4,,,,,,,,,,5.7,12.1,6.3,13.8,
"Profit Before Exceptional Items",892.7,4200.5,3008.5,4111.4,1840.7,5314.2,2405.4,3811.2,2305.5,3596.1,1598.3,2807.1,1247,2536.9,1163.9,2407.3,447.7,2787,431,815,271.6,528.9,
"Exceptional Item 1",-651.8,-1275.5,-1612.5,-992.8,-514.8,-3022.9,-1551.7,,,-65.9,,-292.4,,,,,,,,,,,
"Exceptional Item 1: Acquisition costs",,,,,,,,,,-65.9,,,,,,,,,,,,,
"Profit Before Interest And Tax",240.9,2925,1396,3118.6,1325.9,2291.3,853.7,3811.2,2305.5,3530.2,1598.3,2514.7,1247,2536.9,1163.9,2407.3,447.7,2787,431,815,271.6,528.9,
"Interest Received",718.9,1759.7,930.8,1764,878.4,,883.2,1736.9,862.8,1533,,,,,,,966.4,,813,1486.2,736.3,1443.7,
"Interest Paid",571,1335.4,650.5,1304.5,648.6,696.6,339.4,607.4,307.5,509,,,,,,,156,,137.1,250.1,122,261.5,
"Net Interest Paid/(Received)",-147.9,-424.3,-280.3,-459.5,-229.8,696.6,-543.8,607.4,-555.3,509,240.4,228.1,85.6,161.8,66.3,108.4,-810.4,284.9,-675.9,-1236.1,-614.3,-1182.2,
"Income Before Tax",388.8,3349.3,1676.3,3578.1,1555.7,3350.5,1397.5,3203.8,1421.6,3021.2,1357.9,2286.6,1161.4,2375.1,1097.6,2298.9,1258.1,2502.1,1106.9,2051.1,885.9,1711.1,
"Taxation",-27.5,905.5,443.4,937.8,386.3,942.3,390.6,851.3,378.8,863.9,385.9,748.8,339.8,691.5,323.1,669.1,364.1,809.8,359.7,662.3,280,548.6,
"Profit For The Period",416.3,2443.8,1232.9,2640.3,1169.4,2408.2,1006.9,2352.5,1042.8,2157.3,972,1537.8,821.6,1683.6,774.5,1629.8,894,1692.3,747.2,1388.8,605.9,1162.5,
"Income Attributable To Minority Interests",,,,0.2,0.2,1.3,0.8,1.1,0.5,1.7,0.5,39.2,39,145.1,66.9,134.6,59.3,109.7,48.2,87,39.6,76.9,
"Attributable Income Before Extraordinary Items",416.3,2443.8,1232.9,2640.1,1169.2,2406.9,1006.1,2351.4,1042.3,2155.6,971.5,1498.6,782.6,1538.5,707.6,1495.2,834.7,1582.6,699,1301.8,566.3,1085.6,
"Extraordinary Profit",,,,,,,,,,,,359.4,359.4,321.1,149.2,296.8,,,,,,,
"Extraordinary Profit: Discontinued Operations",,,,,,,,,,,,359.4,359.4,321.1,,296.8,,,,,,,
"Income Attributable To Equity Holders",416.3,2443.8,1232.9,2640.1,1169.2,2406.9,1006.1,2351.4,1042.3,2155.6,971.5,1858,1142,1859.6,856.8,1792,834.7,1582.6,699,1301.8,566.3,1085.6,
"Total Comprehensive Income/Loss for the period",437.2,3708.6,1159.8,3587.6,2047.8,1895.7,1362.1,1576.8,426.1,2562.2,1446.1,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-234.6,2717.4,1227.9,2745.1,1181.2,2528,1022.8,2332.8,1047.1,2185,968.6,1882,870.5,1872.3,858.6,1796.6,835.4,1584.2,699.5,1305.6,566.3,1086,
"Enterprise Value (EV)",29007.9,24039.539,46354.336,45804.3,48686.333,59902.375,39109.75,39935.76,36508.7,36884.292,35894.91,43333.878,25293.32,25411.145,24196.572,25749.78,28166.196,27116.652,18779.632,19035.345,18460.854,15265.1,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"5 Nov 2020","18 Jun 2020","7 Nov 2019","23 May 2019","8 Nov 2018","24 May 2018","2 Nov 2017","25 May 2017","10 Nov 2016","26 May 2016","12 Nov 2015","28 May 2015","6 Nov 2014","29 May 2014","7 Nov 2013","30 May 2013","8 Nov 2012","29 May 2012","3 Nov 2011","26 May 2011","16 Nov 2010","27 May 2010",
"Fixed Assets",2847.1,2937.4,2842.8,2820,2931.6,2861.9,2792.3,2469,2380.1,2335.7,2055.6,1925.2,1813.3,1696.1,1632.6,1548.4,1457.3,1313.2,1208.1,1086.9,1003,995.8,
"Investments and Loans",,,,,,,,,,,,,,,,,,,0.6,0.7,0.9,200.9,
"Intangible Assets",10612.9,9738.5,8551.3,8590.1,8484.4,7667.2,8236.9,4675.9,4861.4,5577.8,5436.2,4637,91.9,63.4,120.2,120.3,118.6,109.8,36.9,37,43,43.2,
"Deferred Tax Asset",1389.1,1228.2,1134.6,1177.9,1019.2,663.6,729.3,515.4,519.7,527.2,368.9,354.7,351.3,337.1,311.7,304.7,265.9,254.3,242.2,249.9,162.7,158.4,
"Other Assets",,,,,,,,,10.6,8.2,8.1,8.4,20.8,23.9,1070.2,30,572.5,1129,317.8,393.3,328.9,353.8,
"Other Assets: Participation in export partnerships",,,,,,,,,,,,,,,,,38.3,,61.7,72.5,,,
"Other Assets: Participation in Exports",,,,,,,,,,,,,,,,,,,,,70.4,74.4,
"Other Assets: Private label card debtors",,,,,,,,,,,,,,,,,534.2,,256.1,320.8,258.5,279.4,
"Long-Term Receivables",8004.7,7499.3,7545.8,7499.5,7357.4,,,,,,,,,,,1500.1,632.6,610.1,553.9,521.7,493.3,802.4,
"Total Fixed Assets",22853.8,21403.4,20074.5,20087.5,19792.6,11192.7,11758.5,7660.3,7771.8,8448.9,7868.8,6925.3,2277.3,2120.5,3134.7,3503.5,3046.9,2806.4,2359.5,2289.5,2031.8,2554.5,
