Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Nov 2020","21 May 2020","28 Nov 2019","23 May 2019","29 Nov 2018","24 May 2018","23 Nov 2017","25 May 2017","24 Nov 2016","25 May 2016","26 Nov 2015","25 May 2015","24 Nov 2014",
"Turnover",5095.085,2439.066,4417.674,2103.328,4121.901,2035.426,4051.89,2040.939,3913.078,1807.555,3468.312,1674.713,3560.943,
"Cost of Sales",3945.221,1893.927,3395.377,1605.653,3187.855,1582.39,3257.803,1665.673,3224.202,1495.112,2864.073,1395.93,2982.629,
"Gross Profit",1149.864,545.139,1022.297,497.675,934.046,453.036,794.087,375.266,688.876,312.443,604.239,278.783,578.314,
"Operating Expenses",1034.551,,,,,,,,,,,,,
"Operating Income",218.468,91.44,245.233,120.617,473.279,244.185,170.115,42.286,124.274,76.514,164.062,82.319,-20.859,
"Profit Before Exceptional Items",218.468,91.44,245.233,120.617,473.279,244.185,170.115,42.286,124.274,76.514,164.062,82.319,-20.859,
"Profit Before Interest And Tax",218.468,91.44,245.233,120.617,473.279,244.185,170.115,42.286,124.274,76.514,164.062,82.319,-20.859,
"Interest Received",6.01,3.28,15.102,10.406,24.919,10.271,8.066,3.02,7.736,5.21,9.886,4.175,5.899,
"Interest Paid",8.579,4.072,3.959,0.262,1.116,0.277,1.665,0.477,0.922,0.048,1.887,1.686,4.974,
"Net Interest Paid/(Received)",2.569,0.792,-11.143,-10.144,-23.803,-9.994,-6.401,-2.543,-6.814,-5.162,-7.999,-2.489,-0.925,
"Income From Associates Before Tax",-0.432,1.171,0.209,0.441,0.706,0.498,1.095,0.376,0.257,-0.27,0.619,0.114,0.595,
"Income Before Tax",215.467,91.819,256.585,131.202,497.788,254.677,177.611,45.205,131.345,81.406,172.68,84.922,-19.339,
"Taxation",,25.19,67.39,36.072,135.561,71.487,49.994,13.128,39.991,20.682,45.764,22.71,-10.852,
"Profit For The Period",215.467,66.629,189.195,95.13,362.227,183.19,127.617,32.077,91.354,60.724,126.916,62.212,-8.487,
"Attributable Income Before Extraordinary Items",215.467,66.629,189.195,95.13,362.227,183.19,127.617,32.077,91.354,60.724,126.916,62.212,-8.487,
"Income Attributable To Equity Holders",215.467,66.629,189.195,95.13,362.227,183.19,127.617,32.077,91.354,60.724,126.916,62.212,-8.487,
