Income statement (AUD '000),"Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"1 Oct 2015","17 Mar 2015","1 Oct 2014","14 Mar 2014","27 Sep 2013","8 Mar 2013","28 Sep 2012","15 Mar 2012","30 Sep 2011","11 Mar 2011","20 Sep 2010",
"Turnover",,,1,,7,,31,,58,,62,
"Operating Income",-927,-318,-692,-429,-2909,-1350,-1453,-786,-2023,-1097,-2154,
"Profit Before Exceptional Items",-927,-318,-692,-429,-2909,-1350,-1453,-786,-2023,-1097,-2154,
"Profit Before Interest And Tax",-927,-318,-692,-429,-2909,-1350,-1453,-786,-2023,-1097,-2154,
"Interest Received",,,,1,,1,,28,,36,,
"Interest Paid",4917,2129,4110,2030,3775,1536,3078,1474,2739,1303,1282,
"Net Interest Paid/(Received)",4917,2129,4110,2029,3775,1535,3078,1446,2739,1267,1282,
"Income Before Tax",-5844,-2447,-4802,-2458,-6684,-2885,-4531,-2232,-4762,-2364,-3436,
"Taxation",,,,,-836,,,,,,,
"Profit For The Period",-5844,-2447,-4802,-2458,-5848,-2885,-4531,-2232,-4762,-2364,-3436,
"Attributable Income Before Extraordinary Items",-5844,-2447,-4802,-2458,-5848,-2885,-4531,-2232,-4762,-2364,-3436,
"Income Attributable To Equity Holders",-5844,-2447,-4802,-2458,-5848,-2885,-4531,-2232,-4762,-2364,-3436,
"Enterprise Value (EV)",253883,237709,237100,26039,24708,3363,223133,247950,407865,520560,711789,

Balance sheet (AUD '000),"Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"1 Oct 2015","17 Mar 2015","1 Oct 2014","14 Mar 2014","27 Sep 2013","8 Mar 2013","28 Sep 2012","15 Mar 2012","30 Sep 2011","11 Mar 2011","20 Sep 2010",
"Fixed Assets",4278,4250,4042,4345,4298,4432,4663,4789,5375,84,113,
"Investments in Associates",75482,75011,71545,76177,77109,75613,76735,76912,85198,81755,79371,
"Long-Term Receivables",1506,1496,1421,1521,1564,813,849,968,109,116,147,
"Total Fixed Assets",81266,80757,77008,82043,82971,80858,82247,82669,90682,81955,79631,
"Stock",,,,,,,,20,,242,420,
"Debtors",2708,694,582,43,249,247,163,6,62,6,,
"Cash",6,3,28,76,399,165,170,884,1891,1607,2131,
"Other Current Assets",,,,,,,112,,,,,
"Total Current Assets",2714,697,610,119,648,412,445,910,1953,1855,2551,
"Total Assets",83980,81454,77618,82162,83619,81270,82692,83579,92635,83810,82182,
"Ordinary Share Capital & Premium",79554,79554,79554,79554,79554,76380,76380,75402,73135,64105,62705,
"Distributable Reserves",-30539,-27143,-24696,-22352,-19893,-16930,-14045,-11746,-9515,-7116,-4752,
"Non-Distributable Reserves",-12732,-13183,-16603,-12052,-10129,-10670,-7622,-6321,3880,4086,6210,
"Ordinary Shareholders' Interest",36283,39228,38255,45150,49532,48780,54713,57335,67500,61075,64163,
"Total Shareholders' Interest",36283,39228,38255,45150,49532,48780,54713,57335,67500,61075,64163,
"Interest Bearing Loans",25305,24730,24146,23572,22988,2680,5331,12140,20372,18017,14530,
