Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"7 Sep 2020","9 Mar 2020","9 Sep 2019","11 Mar 2019","10 Sep 2018","12 Mar 2018","11 Sep 2017","6 Mar 2017","12 Sep 2016","7 Mar 2016","7 Sep 2015","9 Mar 2015","8 Sep 2014","10 Mar 2014","9 Sep 2013","11 Mar 2013","10 Sep 2012","12 Mar 2012","5 Sep 2011","7 Mar 2011","6 Sep 2010",
"Turnover",13209.7,7141.7,13150.9,7068.6,13437.5,7300.4,13184.6,7134.6,12188.9,6393,11243.7,6002.2,10267.4,5400.3,9218.3,4891.6,8287.1,4416.65,7489.7,4135.5,7271,
"Cost of Sales",7958.5,4174.8,7740.2,4103.6,7498,4018.4,7422.4,4011,6842.3,3500.2,6320.3,3331.2,5839.6,3006.1,5110.5,2645,4524.3,2364.6,4114.7,2256.9,4232.2,
"Gross Profit",5251.2,2966.9,5410.7,2965,5939.5,3282,5762.2,3123.6,5346.6,2892.8,4923.4,2671,4427.8,2394.2,4107.8,2246.6,3762.8,2051.9,3375,1878.6,3038.8,
"Operating Expenses",2916.7,1509.7,2888.2,1509.4,3387,1751.8,3376.9,1715.9,3192,,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",3412.1,2222.5,3035.3,1781.6,2890.8,1768.9,,,,,,,,,,,,,,,,
"Depreciation",594.5,302.1,592.4,296.6,412.9,207.5,,,,,,,,,,,,,,,,
"Operating Income",2334.5,1457.2,2522.5,1455.6,2552.5,1530.2,2385.3,1407.7,2154.6,1302.1,1916.9,1152.3,1712.5,1020.7,1526.2,921.3,1372.5,854,1117.5,674.2,895.1,
"Other Income",,,,,,,,,,,,2.9,7.6,2.8,10.4,4.5,13.8,1.8,9.4,6.2,11.1,
"Profit Before Exceptional Items",2334.5,1457.2,2522.5,1455.6,2552.5,1530.2,2385.3,1407.7,2154.6,1302.1,1916.9,1155.2,1720.1,1023.5,1536.6,925.8,1386.3,855.8,1126.9,680.4,906.2,
"Exceptional Item 1",455.9,444.8,-127.8,-11.1,-136.6,3.4,-127.5,11.9,-14.3,-7.4,-8.7,-1.9,138,149.2,-4.6,2.3,-13.8,1.7,-8.4,-17.2,-8.3,
