Income statement (ZAR '000),"Jun 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017",
,"Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Sep 2020","12 Jun 2020","18 Nov 2019","13 Jun 2019","7 Nov 2018","26 Jun 2018","29 Nov 2017",
"Turnover",120800,-79953,3502,142079,158499,-44103,18219,
"Admin & Collection Fees",85420,60899,30267,90794,12070,23932,1339,
"Net Rental / Investment Income",35380,-140852,-26765,51285,146429,-68035,16880,
"Interest Receivable",29042,24435,14758,3304,802,736,41,
"Total Income",64422,-116417,-12007,54589,147231,-67299,16921,
"Interest Payable",10893,10566,3138,2549,2196,6372,,
"Income Before Exceptional Items",53529,-126983,-15145,52041,145035,-73671,16921,
"Exceptional Item 1",-5863,,,,,,,
"Income Before Tax",47666,-126983,-15145,52041,145035,-73671,16921,
"Tax",-1927,-32226,-8093,24886,25294,-22236,5947,
"Profit For The Period",49593,-94757,-7052,27155,119741,-51435,10974,
"Income Attributable To Minority Interests",3963,2403,1135,225,,,,
"Net Income Before Extraords",45630,-97160,-8187,26930,119741,-51435,10974,
"Income Attributable To Equity Holders",45630,-97160,-8187,26930,119741,-51435,10974,
"Total Comprehensive Income/Loss for the period",147081,58214,-2234,112356,161126,-86396,10975,
"Headline Earnings (Cont Ops)",45630,-97160,,26930,119741,-51435,10975,
"Enterprise Value (EV)",186135,-605585,357657,319236,766538,755677,216,

Balance sheet (ZAR '000),"Jun 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017",
,"Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Sep 2020","12 Jun 2020","18 Nov 2019","13 Jun 2019","7 Nov 2018","26 Jun 2018","29 Nov 2017",
"Ordinary Capital & Premium",474400,474400,474400,474400,474400,474400,127374,
"Distributable Reserves",734808,592019,680991,689178,781989,662248,45374,
"Translation Reserves",147728,203211,55058,50240,6424,-34961,,
"Ordinary Unitholders Interest",1356936,1269630,1210449,1213818,1262813,1101687,172748,
"Minority Interest",4358,2798,1530,395,,,,
"Total Stockholders' Interest",1361294,1272428,1211979,1214213,1262813,1101687,172748,
"Deferred Tax Liability",96,,,3512,4445,,5603,
"Total Capital Employed",1361390,1272428,1211979,1217725,1267258,1101687,178351,
"Investments",382202,459742,435309,450629,608260,588949,,
"Investments In Associates",134174,155633,272745,28517,27153,22949,,
"Fixed Assets / Property",1482,1539,1188,435,,,,
"Goodwill",14944,14944,14944,14944,,,,
"Intangible Assets",,5737,3884,3005,,,,
"Deferred Tax Asset",2451,31132,5932,47,,20849,,
"Debtors",1069774,1399405,14546,58068,6,162,224,
"Cash and Short Term Funds",745092,1467433,520989,558294,187459,76430,1573,
"Other Current Assets",79520,128552,118673,161282,445268,513766,178622,
"Current Assets",1894386,2995390,654208,777644,632733,590358,180419,
"Total Assets",2429639,3664117,1388210,1275221,1268146,1223105,180419,
"Creditors",1067645,2321195,176231,57328,888,1418,279,
"Receiver of Revenue",604,1165,,168,,,,
"Bank O/D & S/T Loans",,,,,,120000,1789,
"Other Current Liabilities",,69329,,,,,,
"Current Liabilities",1068249,2391689,176231,57496,888,121418,2068,
"Net Current Assets",826137,603701,477977,720148,631845,468940,178351,

Share/unit data,"Jun 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017",
,"Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Sep 2020","12 Jun 2020","18 Nov 2019","13 Jun 2019","7 Nov 2018","26 Jun 2018","29 Nov 2017",
"Number of Linked Units Issued (Actual)",226065696,226065696,226060696,226065696,226065686,226065696,161184841,
"Weighted Ave Stock Units (Actual)",226065696,226065696,226060696,226065696,226065686,193625269,161184841,
"Market Capitalisation (R000)",926869,859050,877116,877135,953997,712107,,

Share statistics,"Jun 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017",
,"Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Sep 2020","12 Jun 2020","18 Nov 2019","13 Jun 2019","7 Nov 2018","26 Jun 2018","29 Nov 2017",
"Earnings Per Linked Unit (ZARc)",20.18,-42.98,-3.62,11.91,52.97,-26.56,6.81,
"Diluted Earnings Per Linked Unit (ZARc)",20.18,-42.98,-3.62,11.91,52.97,-26.56,6.81,
"Headline Earnings Per Linked Unit (CO) (ZARc)",22.78,-42.98,-3.62,11.91,52.97,-26.56,6.81,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",22.78,-42.98,,11.91,,,,
"Net Asset Value Per Linked Unit (ZARc)",600,562,536,537,559,487.33,107.17,
"Cash Generated Per Linked Unit",78.32,469.11,10.52,-24.53,3.76,-7.06,-5.69,
"Number of Months",15,12,6,12,6,12,6,
"Net Asset Value Per Linked Unit (Base Currency)",600,562,536,537,559,487.33,107.17,
"Price at Period End (Base Currency)",410,380,388,388,422,315,,
"JSE Market Price at Period End (ZARc)",410,380,388,388,422,315,,
"JSE Market Price High (ZARc)",440,440,420,422,422,450,,
"JSE Market Price Low (ZARc)",311,311,311,300,300,260,,
"JSE Volume Traded (Actual)",77074031,14503704,5162454,142030718,120469235,169342027,,
"JSE Rand Value Traded (Actual)",323374470,56785283,19802125,538387452,455043577,537321386,,
"12 Month HEPS",33.52,-42.98,-44.68,11.91,19.6,-26.56,13.62,

Cash flow items,"Jun 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017",
,"Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Sep 2020","12 Jun 2020","18 Nov 2019","13 Jun 2019","7 Nov 2018","26 Jun 2018","29 Nov 2017",
"Cash generated from operations after WC",,892696,,-76631,,-25760,-6666,
"Net Cash flow from operating activities",177055,1060504,23786,-55456,8492,-15949,-9166,
"Net cash flow from investing activities",-4202,-200103,-69748,649692,219370,-37312,17852,
"Net cash flow from financing activities",,,,-120000,-120000,-26056,-7555,
"Dividends paid",,,,,,-2500,-2500,
"Net increase(decrease) in cash & cash equivalents",172853,860401,-45987,474236,107862,-79317,1130,
"Cash & Cash Equivalent beginning of period",558294,558294,558294,76430,76430,443,443,
"Cash & Cash Equivalent acquired/disposed",,,,,,170567,,
"Translation effects on cash & cash equivalents",13945,48748,8682,7628,3167,-15263,,
"Cash & Cash Equivalent end of period",745092,1467443,520989,558294,187459,76430,1573,

Ratios,"Jun 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017",
,"Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Sep 2020","12 Jun 2020","18 Nov 2019","13 Jun 2019","7 Nov 2018","26 Jun 2018","29 Nov 2017",
"Turnover Per Share",42.75,-35.37,3.1,62.85,140.22,-22.78,22.61,
