Income statement (ZAR '000),"Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Mar 2020","11 Oct 2019","12 Apr 2019","27 Sep 2018","12 Feb 2018","13 Sep 2017","14 Feb 2017","26 Sep 2016","10 Feb 2016","17 Sep 2015","16 Feb 2015","17 Sep 2014","18 Feb 2014","18 Sep 2013","7 Feb 2013","19 Sep 2012","6 Feb 2012","27 Sep 2011","23 Mar 2011","15 Sep 2010",
"Turnover",429274,940714,486961,1147083,555540,1036509,518150,1070033,555742,1117431,499398,1035382,526730,1146034,551858,983693,490855,763498,313431,546880,
"Cost of Sales",,,,786607,,724064,,,,,,,,,,,,,,,
"Gross Profit",,,,360476,,312445,,,,,,,,,,,,,,,
"Operating Income",-2572,1774,24002,40393,17834,3892,30106,41677,30065,-72456,7705,17594,12759,-93486,18999,31213,20569,28802,15875,44686,
"Other Income",,,,,,,,,,,,,,,,,,,,2246,
"Profit Before Exceptional Items",-2572,1774,24002,40393,17834,3892,30106,41677,30065,-72456,7705,17594,12759,-93486,18999,31213,20569,28802,15875,34544,
"Profit Before Interest And Tax",-2572,1774,24002,40393,17834,3892,30106,41677,30065,-72456,7705,17594,12759,-93486,18999,31213,20569,28802,15875,34544,
"Interest Received",848,4476,619,4285,2155,6986,2991,6396,2320,6387,2927,7803,3639,5001,266,6299,3085,9540,4503,12388,
"Interest Paid",16056,25754,11198,24451,11449,18520,8603,21596,10111,22433,10544,22347,11284,24331,10074,20581,9276,17972,7636,18023,
"Net Interest Paid/(Received)",15208,21278,10579,20166,9294,11534,5612,15200,7791,16046,7617,14544,7645,19330,9808,14282,6191,8432,3133,5635,
"Income From Associates Before Tax",-1105,-1111,-750,-4091,-2525,-1823,,,,-689,1243,110,335,-1586,793,10080,4937,4506,1012,7084,
"Income Before Tax",-18885,-20615,12673,16136,6015,-9465,24494,26477,22274,-89191,1331,3160,5449,-114402,9984,27011,19315,24876,13754,35993,
