Income statement (USD million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"6 Aug 2020","18 Feb 2020","7 Aug 2019","20 Feb 2019","8 Aug 2018","21 Feb 2018","10 Aug 2017","23 Feb 2017","24 Aug 2016","1 Mar 2016","19 Aug 2015","3 Mar 2015","20 Aug 2014","4 Mar 2014",
"Turnover",70961,215111,107098,220524,108554,205476,100287,152948,69425,170497,85708,221073,114064,232694,
"Cost of Sales",69214,210434,104320,211468,103536,197695,96535,149763,68824,166982,83598,214.344,110334,227145,
"Operating Expenses",950,1391,649,1381,821,1310,660,1102,549,1271,636,1304,720,1206,
"Operating Income",797,,2129,,,,,,,,,,,-7185,
"Other Income",12,49,28,21,,28,,27,,25,2,19,18,39,
"Profit Before Exceptional Items",809,49,2157,21,,28,,27,,25,2,19,18,-7146,
"Exceptional Item 1",-5203,662,-1029,5129,4464,7186,3626,946,79,-6748,-32,5067,2893,,
"Profit Before Interest And Tax",-4394,711,1128,5150,4464,7214,3626,973,79,-6723,-30,5086,2911,-7146,
"Interest Received",69,227,126,228,103,168,88,155,85,191,113,253,147,393,
"Interest Paid",863,1940,988,1742,849,1619,847,1688,862,1585,786,1724,929,1781,
"Net Interest Paid/(Received)",794,1713,862,1514,746,1451,759,1533,777,1394,673,1471,782,1388,
"Income From Associates Before Tax",13,114,253,1043,,1158,,11,,101,176,638,369,846,
"Income Before Tax",-5175,-888,519,4679,3718,6921,2867,-549,-698,-8016,-527,4253,2498,-7688,
"Taxation",-657,618,677,2063,1144,1759,633,638,-51,98,290,1809,717,254,
"Profit For The Period",-4518,-1506,-158,2616,2574,5162,2234,-1187,-647,-8114,-817,2444,1781,-7942,
"Income Attributable To Minority Interests",-1918,-1102,-384,-792,-202,-615,-216,-443,-246,-3150,-141,136,61,104,
"Attributable Income Before Extraordinary Items",-2600,-404,226,3408,2776,5777,2450,-744,-401,-4964,-676,2308,1720,-8046,
"Extraordinary Profit",,,,,,,,2123,32,,,,,,
"Extraordinary Profit: Discontinued Operations",,,,,,,,2123,32,,,,,,
"Income Attributable To Equity Holders",-2600,-404,226,3408,2776,5777,2450,1379,-369,-4964,-676,2308,1720,-8046,
"Total Comprehensive Income/Loss for the period",-6199,-1221,54,1098,1443,5974,2389,2472,-250,-10109,-1732,,,,
"Headline Earnings (Cont Ops)",622,2231,1058,4562,2823,4915,2448,357,-370,-432,327,2800,1717,2601,
"Enterprise Value (EV)",566085.852,666855.356,752036.096,813975.734,993171.89,949027.447,741675.662,694228.988,468547.278,318577.956,654260.606,758568.512,845077.417,663709.415,

Balance sheet (USD million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"6 Aug 2020","18 Feb 2020","7 Aug 2019","20 Feb 2019","8 Aug 2018","21 Feb 2018","10 Aug 2017","23 Feb 2017","24 Aug 2016","1 Mar 2016","19 Aug 2015","3 Mar 2015","20 Aug 2014","4 Mar 2014",
"Fixed Assets",48516,55357,57411,56770,57024,57046,52427,53826,57378,61278,68880,70110,68374,67233,
"Investments in Associates",12732,12984,13712,13909,14013,13998,12951,13086,10621,11337,11815,12274,12261,12156,
"Investments and Loans",4508,4814,5155,4622,4940,5934,5111,5236,4708,4310,5668,6069,6028,4918,
"Intangible Assets",6615,7006,7056,6971,6606,6787,6753,6716,6687,7516,8707,8866,9100,9158,
"Deferred Tax Asset",1405,1477,1581,1728,1669,1733,1845,1760,1649,1846,1710,1667,2351,2105,
"Other Assets",596,575,546,353,396,369,634,564,,,,,,,
"Long-Term Receivables",45,25,48,51,,,,,,,,,,,
"Total Fixed Assets",74417,82238,85509,84404,84648,85867,79721,81188,81043,86287,96780,98986,98114,95570,
"Stock",19667,19936,20405,20564,24371,24084,17868,18347,16017,18303,23599,24436,23181,22753,
"Debtors",12556,17021,16477,17787,19867,20359,16226,20066,15533,17001,20352,21456,23819,24536,
"Cash",1425,1899,1838,2046,2180,2124,1973,2508,2535,2707,3097,2824,3237,2849,
"Tax",459,,,,,,,,,,,,,,
"Other Current Assets",3428,2982,2954,3871,3398,3159,3310,2491,12726,4187,4246,4503,10488,9154,
"Total Current Assets",37535,41838,41674,44268,49816,49726,39377,43412,46811,42198,51294,53219,60725,59292,
"Total Assets",111952,124076,127183,128672,134464,135593,119098,124600,127854,128485,148074,152205,158839,154862,
"Ordinary Share Capital & Premium",146,146,146,146,146,146,146,146,146,146,133,133,133,133,
"Distributable Reserves",35923,40128,42021,45592,46959,49609,45626,44097,41124,41108,44822,48409,49809,49180,
"Ordinary Shareholders' Interest",36069,40274,42167,45738,47105,49755,45772,44243,41270,41254,44955,48542,49942,49313,
"Minority Interest",-3156,-1038,-621,-355,371,-300,-1631,-462,-231,89,3393,2938,3214,3368,
"Total Shareholders' Interest",32913,39236,41546,45383,47476,49455,44141,43781,41039,41343,48348,51480,53156,52681,
"Interest Bearing Loans",26550,29067,29479,26424,24095,24532,23007,23188,29586,32932,39074,40688,40727,38712,
"Deferred Tax Liability",4624,5974,6581,6839,6842,7024,5779,5664,5439,5777,6347,6435,7065,6698,
"Other Long-Term Liabilities",10097,10351,9945,9654,10112,10168,8726,8600,7997,7561,8767,9655,10282,10455,
"Total Long-Term Liabilities",41271,45392,46005,42917,41049,41724,37512,37452,43022,46270,54188,56778,58074,55865,
"Creditors and Provisions",20882,26682,31859,27038,31815,29303,25459,26634,23871,24562,28495,27457,26501,26354,
"Tax",157,354,540,1109,677,618,329,179,147,175,239,376,513,489,
"Bank Overdrafts/Short-Term Loans",12304,7976,6356,8570,8926,9402,7403,10030,8663,11117,11407,12005,16964,16461,
"Other Current Liabilities",4425,4436,877,3655,4521,5091,4254,6524,11112,5018,5397,4109,3631,3012,
"Total Current Liabilities",37768,39448,39632,40372,45939,44414,37445,43367,43793,40872,45538,43947,47609,46316,
"Total Liabilities",79039,84840,85637,83289,86988,86138,74957,80819,86815,87142,99726,100725,105683,102181,
"Total Equity and Liabilities",111952,124076,127183,128672,134464,135593,119098,124600,127854,128485,148074,152205,158839,154862,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"6 Aug 2020","18 Feb 2020","7 Aug 2019","20 Feb 2019","8 Aug 2018","21 Feb 2018","10 Aug 2017","23 Feb 2017","24 Aug 2016","1 Mar 2016","19 Aug 2015","3 Mar 2015","20 Aug 2014","4 Mar 2014",
