Income statement (ZAR '000),"Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"29 Nov 2019","31 May 2019","30 Nov 2018","14 Jun 2018","19 Oct 2017","31 May 2017","27 Oct 2016","31 May 2016","2 Nov 2015","29 May 2015","14 Nov 2014","30 May 2014","28 Oct 2013","27 May 2013","19 Oct 2012","31 May 2012","27 Oct 2011","31 May 2011","22 Nov 2010","24 May 2010",
"Turnover",84379,237532,120130,175703,82112,186988,105673,243429,147734,230290,118826,391121,225512,381109,168596,261748,109992,223277,157513,343503,
"Cost of Sales",,209317,105055,144756,66526,154557,,,,,,318935,,297767,,202715,,184434,,264611,
"Gross Profit",10942,28216,15075,30948,15586,32431,18513,36143,27141,29720,22394,72186,43473,83342,41612,59033,27602,38843,33126,78893,
"Operating Expenses",15510,31931,15520,30851,16960,30955,16026,66224,29041,52047,30907,,34225,71169,34220,,22604,60240,,58869,
"EBITDA (ProfileData Calc)",,-1911,,2419,,6946,,,,,,,,,,,,,,,
"Depreciation",,1186,,695,,2097,,,,,,,,,,,,,,,
"Operating Income",-4568,-3284,-445,660,-1374,4413,2487,-25311,-1900,-22327,-8513,-2538,9248,13736,7392,-25426,4998,-21577,2076,-71628,
"Profit Before Exceptional Items",-4568,-3284,-445,660,-1374,4413,2487,-25311,-1900,-22327,-8513,-2538,9248,13736,7392,-25426,4998,-21577,2076,-71628,
"Exceptional Item 1",,,,,,,,,,,,,,,,,,,-783,,
"Profit Before Interest And Tax",-4568,-3284,-445,660,-1374,4413,2487,-25311,-1900,-22327,-8513,-2538,9248,13736,7392,-25426,4998,-21577,1293,-71628,
"Interest Received",,187,,1064,,436,,3253,,,,442,,2036,,342,,163,,7832,
"Interest Paid",,2008,,1943,,3195,,3556,,,,2672,,5766,,7479,,4930,,19769,
"Net Interest Paid/(Received)",560,1821,953,879,-27,2759,1654,303,-113,3927,1602,2230,1017,3730,1926,7137,3291,4767,3665,11937,
"Income Before Tax",-5128,-5105,-1398,-219,-1347,1654,833,-25614,-1787,-26254,-10115,-4768,8231,10006,5466,-32563,1707,-26344,-2372,-83565,
"Taxation",-1523,-6381,-389,520,-91,1897,1581,-6259,-27,-3826,-724,-11458,3154,5773,2887,4409,-268,-3576,-643,-269,
"Profit For The Period",-3605,1276,-1009,-739,-1256,-243,-748,-19355,-1760,-22428,-9391,6690,5077,4233,2579,-36972,1975,-22768,-1729,-83296,
"Attributable Income Before Extraordinary Items",-3605,1276,-1009,-739,-1256,-243,-748,-19355,-1760,-22428,-9391,6690,5077,4233,2579,-36972,1975,-22768,-1729,-83296,
"Extraordinary Profit",-4142,-26571,-2282,-73,4309,-1155,,-21214,-5460,-4507,-1074,-4837,-4838,-25006,-25672,19348,307,14462,5409,227,
"Extraordinary Profit: Discontinued Operations",,-26571,-2282,-73,4309,-1155,,-21214,-5460,1762,-1074,-4837,-4838,-28015,-25672,12338,307,14462,5409,,
"Income Attributable To Equity Holders",-7747,-25295,-3291,-812,3053,-1398,-748,-40569,-7220,-26935,-10465,1853,239,-20773,-23093,-17624,2282,-8306,3680,-83069,
"Total Comprehensive Income/Loss for the period",-7746,-25887,-3934,-686,2965,-965,-461,-40383,-8882,-27123,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-3604,1468,-1011,-513,-1193,-2130,-663,-7772,-1839,-19295,-10554,7177,5372,7064,717,-29926,1200,-22290,-2191,12468,
"Enterprise Value (EV)",139563,130713,77011,120619,129973,128998,114250,136199,135736,52443,39325,42261,28415,46129,43608,81670,87282,83725,98604,106372,

Balance sheet (ZAR '000),"Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"29 Nov 2019","31 May 2019","30 Nov 2018","14 Jun 2018","19 Oct 2017","31 May 2017","27 Oct 2016","31 May 2016","2 Nov 2015","29 May 2015","14 Nov 2014","30 May 2014","28 Oct 2013","27 May 2013","19 Oct 2012","31 May 2012","27 Oct 2011","31 May 2011","22 Nov 2010","24 May 2010",
"Fixed Assets",,5436,,11794,,11940,,9785,,13234,,21061,,21213,,31860,,45739,,58647,
"Investments and Loans",,,,,,2503,,,,,,,,,,688,,,,219,
"Goodwill",,17607,,17607,,17607,,18022,,29186,,29186,,29186,,32057,,32997,,31691,
"Intangible Assets",,762,,177,,266,,,,6371,,10610,,11751,,15354,,18041,,20948,
"Deferred Tax Asset",,17320,,10780,,16087,,17590,,15562,,12200,,2171,,2410,,11741,,9806,
"Other Assets",,847,,847,,,,,,,,,,,,,,,,,
"Long-Term Receivables",,1107,,1336,,,,,,,,,,,,,,,,,
"Total Fixed Assets",45556,43079,38441,42541,43310,48403,43936,45397,58770,64353,69073,73057,64888,64321,74853,82369,95108,108518,130212,121311,
