Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"23 Nov 2020","12 May 2020","30 Oct 2019","9 Apr 2019","30 Oct 2018","17 May 2018","24 Oct 2017","4 May 2017",
"Turnover",448693,215108,575006,286920,490870,184580,410733,182667,
"Cost of Sales",296230,134700,367477,156793,280651,108763,230586,111800,
"Gross Profit",152463,80408,207529,130127,210219,75817,180147,70867,
"Operating Expenses",150396,79397,168405,76703,138161,56220,116245,55072,
"Operating Income",12252,9667,62454,60812,91581,20269,65151,17792,
"Other Income",,,,,,672,1249,1997,
"Profit Before Exceptional Items",12252,9667,62454,60812,91581,20269,65151,17792,
"Profit Before Interest And Tax",12252,9667,62454,60812,91581,20269,65151,17792,
"Interest Received",14611,9102,26181,14685,40975,22325,33015,7326,
"Interest Paid",9433,5572,5014,2013,3543,1343,3323,1199,
"Net Interest Paid/(Received)",-5178,-3530,-21167,-12672,-37432,-20982,-29692,-6127,
"Income Before Tax",17430,13197,83621,73484,129013,41251,94843,23919,
"Taxation",11044,-7081,25172,18775,33672,12401,26743,5793,
"Profit For The Period",6386,20278,58449,54709,95341,28850,68100,18126,
"Income Attributable To Minority Interests",2385,6169,24747,19769,13483,,,,
"Attributable Income Before Extraordinary Items",4001,14109,33702,34940,81858,28850,68100,18126,
"Income Attributable To Equity Holders",4001,14109,33702,34940,81858,28850,68100,18126,
"Total Comprehensive Income/Loss for the period",6386,20278,58449,54709,95341,28850,68100,18126,
"Headline Earnings (Cont Ops)",6490,12848,28744,35083,82152,28850,69752,18166,
"Enterprise Value (EV)",128217,172484,274946,613710,685901,573330,555067,-4669,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"23 Nov 2020","12 May 2020","30 Oct 2019","9 Apr 2019","30 Oct 2018","17 May 2018","24 Oct 2017","4 May 2017",
"Fixed Assets",450162,440602,407555,367718,310242,173969,130107,126136,
"Right-of-use Asset",49535,,,,,,,,
"Goodwill",70129,70129,70129,70129,70129,18165,18165,18165,
"Intangible Assets",20439,36305,29850,36310,39550,66,62,65,
"Deferred Tax Asset",29,31,31,86,86,12,65,52,
"Other Assets",100096,98150,93434,94131,89618,97821,81758,73345,
"Long-Term Receivables",,57613,,,,,,,
"Total Fixed Assets",690390,702830,600999,568374,509625,290033,230157,217763,
"Stock",34179,40188,33925,48865,48528,48861,43083,39127,
"Debtors",100771,131488,103333,128612,128643,104825,89620,59762,
"Cash",107902,82795,183219,266522,350580,425442,541919,30872,
"Tax",4536,6647,9820,260,264,154,154,154,
"Other Current Assets",86631,91991,76314,80700,71445,75488,56030,55751,
"Other Current Assets: Biological Assets",,,,76015,68021,55872,54323,48359,
"Other Current Assets: Construction deposits",,,,,,8951,,,
"Other Current Assets: Other assets",,,,,,10665,,7392,
"Other Current Assets: Other financial assets",,,,4685,3424,,1707,,
"Total Current Assets",334019,353109,406611,524959,599460,654770,730806,185666,
"Total Assets",1024409,1055939,1007610,1093333,1109085,944803,960963,403429,
"Ordinary Share Capital & Premium",507517,507517,507517,507517,507517,507517,507517,,
"Distributable Reserves",211172,235664,235926,268364,298424,245416,255566,205592,
"Non-Distributable Reserves",8014,8014,8014,8014,8014,8014,8014,8014,
"Ordinary Shareholders' Interest",726703,751195,751457,783895,813955,760947,771097,213606,
"Minority Interest",43494,47279,48007,43032,48481,,,,
"Total Shareholders' Interest",770197,798474,799464,826927,862436,760947,771097,213606,
"Deferred Tax Liability",124191,111570,119003,114391,110154,78599,72341,74468,
"Retirement Obligation",261,96,237,854,984,1111,1075,1007,
"Other Long-Term Liabilities",55828,58970,2263,4863,4996,7352,8894,11815,
"Total Long-Term Liabilities",180280,170636,121503,120108,116134,87062,82310,87290,
"Creditors and Provisions",68616,72923,81016,89333,104617,46643,64399,65868,
"Tax",598,959,1069,20750,19186,23201,21752,7217,
"Bank Overdrafts/Short-Term Loans",2825,,4558,,,23772,17986,26203,
"Other Current Liabilities",1893,12947,,36215,6712,3178,3419,3245,
"Total Current Liabilities",73932,86829,86643,146298,130515,96794,107556,102533,
"Total Liabilities",254212,257465,208146,266406,246649,183856,189866,189823,
"Total Equity and Liabilities",1024409,1055939,1007610,1093333,1109085,944803,960963,403429,

Share/unit data,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"23 Nov 2020","12 May 2020","30 Oct 2019","9 Apr 2019","30 Oct 2018","17 May 2018","24 Oct 2017","4 May 2017",
"Number of Shares in Issue (Actual)",260000000,260000000,260000000,260000000,260000000,260000000,260000000,143000000,
"Weighted Average Shares in Issue (Actual)",260000000,260000000,260000000,260000000,260000000,260000000,201660000,143000000,
"Market Capitalisation (R'000)",189800,208000,405600,837200,988000,975000,1079000,,
"Number of Months",12,6,12,6,12,6,12,6,
"Number of Employees",,,770,,801,,381,,

Share statistics,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"23 Nov 2020","12 May 2020","30 Oct 2019","9 Apr 2019","30 Oct 2018","17 May 2018","24 Oct 2017","4 May 2017",
"Earnings Per Share (ZARc)",1.54,5.43,12.96,13.44,31.48,11.1,33.77,12.68,
"Diluted Earnings Per Share (ZARc)",1.54,5.43,12.96,13.44,31.48,11.1,33.77,12.68,
"Headline Earnings Per Share (Cont Ops) (ZARc)",2.49,4.94,11.06,13.49,31.6,11.1,34.59,12.7,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",2.49,4.94,11.06,13.49,31.6,11.1,34.59,12.7,
"Interim Dividend (ZARc)",,,12,12,,,,,
"Final Dividend (ZARc)",,,10,,25,,15,,
"Dividend Per Share (ZARc)",,,22,12,25,,15,,
"Distributions Per Share (ZARc)",,,22,12,25,,15,,
"Net Asset Value Per Share (ZARc)",296.23,307.11,313.08,318.05,331.71,292.67,296.58,149.38,
"3 Year Beta",-0.01,,,,,,,,
"Cash Generated Per Share",12.2,-7.22,34.63,18.65,23.95,-4.68,15.98,11.58,
"Net Asset Value Per Share (Base Currency)",296.23,307.11,313.08,318.05,331.71,292.67,296.58,149.38,
"Price at Period End (Base Currency)",73,80,156,322,380,375,415,,
"JSE Market Price High (ZARc)",175,190,400,400,445,445,535,,
"JSE Market Price Low (ZARc)",70,80,155,280,300,300,361,,
"JSE Market Price at Period End (ZARc)",73,80,156,322,380,375,415,,
"JSE Volume Traded (Actual)",23207768,21513408,20375615,7110782,12658837,6981923,17031130,,
"JSE Rand Value Traded (Actual)",29228405,27715442,52470437,25429443,49411005,26813955,78830540,,
"12 Month HEPS",2.49,2.51,16.65,33.99,31.6,32.99,34.59,25.4,
"12 Month Dividend",,10,22,37,25,15,15,,

Cash flow items,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"23 Nov 2020","12 May 2020","30 Oct 2019","9 Apr 2019","30 Oct 2018","17 May 2018","24 Oct 2017","4 May 2017",
"Cash generated by operations",34612,-19275,123626,54621,91187,-21731,40094,21043,
"Working capital changes",,,,,-110,,-36557,,
"Net Cash flow from operating activities",31722,-18768,90030,48477,62272,-12181,41558,16564,
"Net cash flow from investing activities",-64664,-44545,-131171,-71345,-193267,-69754,-45692,-33598,
"Net cash flow from financing activities",-42374,-37111,-126220,-61190,-42358,-40328,504551,-1813,
"Dividends paid",-32899,-32897,-121421,-90218,-39000,-39000,,,
"Net increase(decrease) in cash & cash equivalents",-75317,-100424,-167361,-84058,-173353,-122263,500417,-18847,
"Cash & Cash Equivalent beginning of period",183219,183219,350580,350580,523933,523933,23516,23516,
"Cash & Cash Equivalent end of period",107902,82795,183219,266522,350580,401670,523933,4669,

Ratios,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"23 Nov 2020","12 May 2020","30 Oct 2019","9 Apr 2019","30 Oct 2018","17 May 2018","24 Oct 2017","4 May 2017",
"Return on Capital Employed",0.67,4.18,6.35,11.55,9.74,6.8,7.98,12.05,
"Return on Shareholder Funds",0.83,5.08,7.31,13.23,11.05,7.58,8.83,16.97,
"Return on Total Assets",1.87,2.78,9.21,14.89,12.91,8.9,10.06,12.42,
"Gross Profit Margin",33.98,37.38,36.09,45.35,42.83,41.08,43.86,38.8,
"Operating Profit Margin",2.73,4.49,10.86,21.19,18.66,10.98,15.86,9.74,
"Net Profit Margin",0.89,6.56,5.86,12.18,16.68,15.63,16.58,9.92,
"Debt:Equity (excl non-int debt)",0.24,0.21,0.16,0.15,0.13,0.15,0.13,0.53,
"Interest Cover",-2.37,-2.74,-2.95,-4.8,-2.45,-0.97,-2.19,-2.9,
"Quick Ratio",4.06,3.6,4.3,3.25,4.22,6.26,6.39,1.43,
"Current Ratio",4.52,4.07,4.69,3.59,4.59,6.76,6.79,1.81,
"Dividend Cover",,,0.59,1.12,1.26,,2.25,,
"Dividend Cover (HEPS)",,,0.5,1.12,1.26,,2.31,,
"Debtors Collection Period",81.97,111.56,65.59,81.81,95.66,103.64,79.64,59.71,
"Stock Turn",8.67,6.7,10.83,6.42,5.78,4.45,5.35,5.71,
"Price : Earnings",29.32,31.87,9.37,9.47,12.03,11.37,12,,
"Sales Per Share (Base Currency)",172.57,165.47,221.16,220.71,188.8,141.98,203.68,255.48,
"Price/Sales Per Share",0.42,0.48,0.71,1.46,2.01,2.64,2.04,,
"Price/Net Asset Value",0.25,0.26,0.5,1.01,1.15,1.28,1.4,,
"Price/Cash Flow",5.98,-22.16,4.5,34.53,15.87,-160.26,25.97,,
"NAV%Price",405.79,383.89,200.69,98.77,87.29,78.05,71.47,,
"Liquidity%",12.48,-14.58,43.25,36.39,25.25,-13.25,21.89,17.45,
"Cash Flow:Attributable Profit",7.93,-2.66,2.67,2.77,0.76,-0.84,0.61,1.83,
"Cash/Equity (%)",14.01,10.37,22.92,32.23,40.65,55.91,70.28,14.45,
"EV/Ebitda (Pd)",,,,11.01,,,,,
"PEG Ratio",-0.75,-0.37,-0.46,-1.31,-1.66,-1.95,-2.06,,

