Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2020","29 Jul 2020","28 Nov 2019","31 May 2019","6 Nov 2018","15 Jun 2018","16 Oct 2017","3 May 2017","28 Sep 2016","31 Mar 2016",
"Turnover",56531,63166,24338,48739,13452,62019,23295,53685,21049,10817,
"Operating Expenses",9090,,14216,17586,9702,18456,7550,8799,3596,5236,
"Operating Income",47441,39940,10122,31152,3750,43563,15745,44887,17454,5581,
"Profit Before Exceptional Items",47441,39940,10122,31152,3750,43563,15745,44887,17454,5581,
"Exceptional Item 1",-18000,,,,,,,,,,
"Profit Before Interest And Tax",29441,39940,10122,31152,3750,43563,15745,44887,17454,5581,
"Interest Paid",102,247,130,,,2,1,5,4,46,
"Net Interest Paid/(Received)",102,247,130,,,2,1,5,4,46,
"Income Before Tax",29339,39693,9992,31152,3750,43561,15744,44881,17450,5535,
"Taxation",17,183,34,217,41,346,2044,8706,4781,1476,
"Profit For The Period",29322,39510,9958,30935,3709,43215,13700,36175,12669,4059,
"Attributable Income Before Extraordinary Items",29322,39510,9958,30935,3709,43215,13700,36175,12669,4059,
"Income Attributable To Equity Holders",29322,39510,9958,30935,3709,43215,13700,36175,12669,4059,
"Total Comprehensive Income/Loss for the period",29322,39510,9958,30935,3709,43215,13700,36175,12668,4059,
"Headline Earnings (Cont Ops)",29322,39510,9958,30935,3709,43215,13700,36175,12668,4059,
"Enterprise Value (EV)",270670,246559,293206,322746,316318,304177,412102,384028,-84316,478054,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2020","29 Jul 2020","28 Nov 2019","31 May 2019","6 Nov 2018","15 Jun 2018","16 Oct 2017","3 May 2017","28 Sep 2016","31 Mar 2016",
"Fixed Assets",265,277,331,358,378,,,,,,
"Deferred Tax Asset",89,89,29,62,103,,,,,,
"Other Assets",584982,558341,520833,520071,508445,506286,511123,503680,,,
"Total Fixed Assets",585336,558707,521193,520491,508926,506286,511123,503680,,,
"Debtors",25089,7340,49311,47796,28558,53703,1715,,,,
"Cash",5085,29196,9573,8160,25618,26729,56682,84756,566395,2347,
"Tax",41,59,,,,,,,,972,
"Other Current Assets",,,,,,,,,1,549043,
"Total Current Assets",30215,36595,58884,55956,54176,80432,58398,84756,566396,552362,
"Total Assets",615551,595302,580077,576447,563102,586718,569521,588436,566396,552362,
"Ordinary Share Capital & Premium",545852,545852,545852,545852,545852,545852,545852,545852,545852,545852,
"Distributable Reserves",67409,46361,30598,28801,15275,34728,18913,40234,16727,4059,
"Ordinary Shareholders' Interest",613261,592213,576450,574653,561127,580580,564765,586086,562579,549911,
"Total Shareholders' Interest",613261,592213,576450,574653,561127,580580,564765,586086,562579,549911,
"Deferred Tax Liability",,,,,,,2268,567,,146,
"Other Long-Term Liabilities",952,1194,1922,,,,,,,,
"Total Long-Term Liabilities",952,1194,1922,,,,2268,567,,146,
"Creditors and Provisions",826,1383,,,1975,5977,2281,1540,1169,1718,
"Tax",,,,,,161,207,243,2589,,
"Bank Overdrafts/Short-Term Loans",,,,,,,,,59,587,
"Other Current Liabilities",512,512,1705,1794,,,,,,,
"Total Current Liabilities",1338,1895,1705,1794,1975,6138,2488,1783,3817,2305,
"Total Liabilities",2290,3089,3627,1794,1975,6138,4756,2350,3817,2451,
"Total Equity and Liabilities",615551,595302,580077,576447,563102,586718,569521,588436,566396,552362,

Share/unit data,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2020","29 Jul 2020","28 Nov 2019","31 May 2019","6 Nov 2018","15 Jun 2018","16 Oct 2017","3 May 2017","28 Sep 2016","31 Mar 2016",
"Number of Shares in Issue (Actual)",55151000,55151000,55151000,55151000,55151000,55151000,55151000,55151000,55151000,55151000,
"Weighted Average Shares in Issue (Actual)",55151000,55151000,55151000,55151000,55151000,55151000,55151000,55151000,55151000,55151000,
"Market Capitalisation (R'000)",275755,275755,302779,330906,341936,330906,468784,468784,482020,479814,
"Number of Months",6,12,6,12,6,12,6,12,6,12,

Share statistics,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2020","29 Jul 2020","28 Nov 2019","31 May 2019","6 Nov 2018","15 Jun 2018","16 Oct 2017","3 May 2017","28 Sep 2016","31 Mar 2016",
"Earnings Per Share (ZARc)",53.17,71.64,18.06,56.09,6.73,78.36,24.84,65.59,22.97,21.54,
"Diluted Earnings Per Share (ZARc)",53.17,71.64,18.06,56.09,6.73,78.36,24.84,65.59,22.97,21.54,
"Headline Earnings Per Share (Cont Ops) (ZARc)",53.17,71.64,18.06,56.09,6.73,78.36,24.84,65.59,22.97,21.54,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",53.17,71.64,18.06,56.09,6.73,78.36,24.84,65.59,22.97,21.54,
"Interim Dividend (ZARc)",18,25,25,24.84,24.84,24.84,24.84,,,,
"Final Dividend (ZARc)",,15,,14.8,,42,,63.5,,,
"Dividend Per Share (ZARc)",18,40,25,39.64,24.84,66.84,24.84,63.5,,,
"Distributions Per Share (ZARc)",18,40,25,39.64,24.84,66.84,24.84,63.5,,,
"Net Asset Value Per Share (ZARc)",1112,1074,1045,1042,1017,1053,1024,1063,1020,997,
"3 Year Beta",-0.26,-0.13,-0.44,-0.46,,,,,,,
"Cash Generated Per Share",-43.42,38.41,2.61,-33.2,-2.01,-95.86,-47.79,59.02,23.81,7.56,
"Net Asset Value Per Share (Base Currency)",1112,1074,1045,1042,1017,1053,1024,1063,1020,997,
"Price at Period End (Base Currency)",500,500,549,600,620,600,850,850,874,870,
"JSE Market Price High (ZARc)",534,650,650,748,748,1000,1000,1000,923,1020,
"JSE Market Price Low (ZARc)",240,365,500,550,550,600,780,750,750,625,
"JSE Market Price at Period End (ZARc)",500,500,549,600,620,600,850,850,874,870,
"JSE Volume Traded (Actual)",990706,2753049,878426,7083714,5322727,1599264,788920,2077012,1509443,1574352,
"JSE Rand Value Traded (Actual)",4302686,14890774,5078338,43771763,32982647,12495118,6713991,17460322,12666291,13944279,
"12 Month HEPS",106.75,71.64,67.42,56.09,60.25,78.36,67.46,65.59,33.74,21.54,
"12 Month Dividend",33,40,39.8,39.64,66.84,66.84,66.84,88.34,63.5,,

Cash flow items,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2020","29 Jul 2020","28 Nov 2019","31 May 2019","6 Nov 2018","15 Jun 2018","16 Oct 2017","3 May 2017","28 Sep 2016","31 Mar 2016",
"Cash generated by operations",-15573,43625,9760,18950,22287,-3079,9045,39625,14503,,
"Cash generated from operations after WC",,,,,22052,-4148,8663,,,-3476,
"Net Cash flow from operating activities",-23948,21185,1438,-18309,-1111,-52869,-26358,32551,13132,4168,
"Net cash flow from investing activities",79,259,-25,-260,,-5159,,-501000,551445,-548259,
"Net cash flow from financing activities",-242,-408,,,,,-36736,-587,-529,546439,
"Dividends paid",-8273,-21950,-8162,-36863,-23163,-48720,-35021,,,,
"Net increase(decrease) in cash & cash equivalents",-24111,21036,1413,-18569,1111,-58027,-28074,-469036,564048,2347,
"Cash & Cash Equivalent beginning of period",29196,8160,8160,26729,26729,84756,84756,553792,2347,,
"Cash & Cash Equivalent end of period",5085,29196,9573,8160,25618,26729,56682,84756,566395,2347,

Ratios,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2020","29 Jul 2020","28 Nov 2019","31 May 2019","6 Nov 2018","15 Jun 2018","16 Oct 2017","3 May 2017","28 Sep 2016","31 Mar 2016",
"Return on Capital Employed",9.55,6.66,3.44,5.38,1.32,7.44,4.83,6.17,4.5,0.74,
"Return on Shareholder Funds",9.56,6.67,3.45,5.38,1.32,7.44,4.85,6.17,4.5,0.74,
"Return on Total Assets",15.38,6.67,3.45,5.4,1.33,7.42,5.53,7.63,6.16,1,
"Operating Profit Margin",83.92,63.23,41.59,63.92,27.88,70.24,67.59,83.61,82.92,51.59,
"Net Profit Margin",51.87,62.55,40.92,63.47,27.57,69.68,58.81,67.38,60.19,37.52,
"Interest Cover",288.64,161.7,77.86,,,21781.5,15745,8977.4,4363.5,121.33,
"Quick Ratio",22.58,19.31,34.54,31.19,27.43,13.1,23.47,47.54,148.39,239.64,
"Current Ratio",22.58,19.31,34.54,31.19,27.43,13.1,23.47,47.54,148.39,239.64,
"Dividend Cover",2.95,1.79,0.72,1.41,0.27,1.17,1,1.03,,,
"Dividend Cover (HEPS)",2.95,1.79,0.72,1.41,0.27,1.17,1,1.03,,,
"Debtors Collection Period",81,42.41,369.76,357.94,387.44,316.06,13.44,,,,
"Price : Earnings",4.68,6.98,8.14,10.7,10.29,7.66,12.6,12.96,25.9,40.39,
"Sales Per Share (Base Currency)",205,114.53,88.26,88.37,48.78,112.45,84.48,97.34,76.33,19.61,
"Price/Sales Per Share",2.44,4.37,6.22,6.79,12.71,5.34,10.06,8.73,11.45,44.36,
"Price/Net Asset Value",0.45,0.47,0.53,0.58,0.61,0.57,0.83,0.8,0.86,0.87,
"Price/Cash Flow",-23.03,13.02,421.11,-18.07,-616.92,-6.26,-35.57,14.4,73.41,115.08,
"NAV%Price",222.4,214.8,190.35,173.67,164.03,175.5,120.47,125.06,116.7,114.6,
"Liquidity%",-2091.53,685.82,79.29,-1020.57,-112.51,-861.34,-1108.41,1385.15,688.08,170.05,
"Cash Flow:Attributable Profit",-1.01,0.54,0.29,-0.59,-0.6,-1.22,-3.85,0.9,2.07,1.03,
"Cash/Equity (%)",0.83,4.93,1.66,1.42,4.57,4.6,10.04,,,,
"EV/Ebitda (Pd)",,,28.97,,84.35,,,,,,
"PEG Ratio",,0.16,0.17,0.22,0.14,0.1,0.12,0.13,,,

