Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (8m)",
,"3 Nov 2020","12 Jun 2020","5 Nov 2019","24 May 2019","29 Oct 2018","17 May 2018",
"Turnover",21042,45493,21088,39986,21387,17802,
"Other Expenses",11953,17430,7947,15797,8409,10089,
"Net Rental / Investment Income",9089,28063,13141,24189,12978,7713,
"Interest Receivable",25,84,45,567,528,,
"Other Income",,5776,135,710,4147,4320,
"Total Income",9114,33923,13321,25466,17653,12033,
"Interest Payable",6453,15180,7104,14857,7593,7926,
"Income Before Exceptional Items",2661,18743,6217,10609,10060,4107,
"Exceptional Item 1",-20404,,-185,,,,
"Income Before Tax",-17743,18743,6032,10609,10060,4107,
"Tax",,-1687,-1687,443,,258,
"Profit For The Period",-17743,20430,7719,10166,10060,3849,
"Income Attributable To Minority Interests",4,25,8,9,11,3,
"Net Income Before Extraords",-17747,20405,7711,10157,10049,3846,
"Income Attributable To Equity Holders",-17747,20405,7711,10157,10049,3846,
"Total Comprehensive Income/Loss for the period",,20430,7719,10116,10059,3849,
"Headline Earnings (Cont Ops)",2636,14635,7896,9449,5901,1334,
"Enterprise Value (EV)",180405,203650,193431,194186,188109,137324,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (8m)",
,"3 Nov 2020","12 Jun 2020","5 Nov 2019","24 May 2019","29 Oct 2018","17 May 2018",
"Ordinary Capital & Premium",176568,171026,165000,165000,165000,165000,
"Distributable Reserves",-18224,5065,2226,2612,8376,3846,
"Ordinary Unitholders Interest",158344,176091,167226,167612,173376,168846,
"Minority Interest",188,190,182,183,198,187,
"Total Stockholders' Interest",158532,176281,167408,167795,173574,169033,
"Non-Interest Bearing Loans",9362,36064,34386,32679,28419,28419,
"Other Long-Term Liabilities",,,116603,110302,113419,164056,
"Long-Term Liabilities",9362,36064,150989,142981,141838,192475,
"Total Capital Employed",167894,212345,318397,310776,315412,361508,
"Fixed Assets / Property",319524,338799,314486,310619,313536,309476,
"Deferred Tax Asset",,,,,429,429,
"Other Assets",6176,6701,5162,4381,6481,6153,
"Debtors",3343,3224,2865,3529,1332,1320,
"Cash and Short Term Funds",5468,3549,6137,3676,5508,56282,
"Current Assets",8811,6773,9002,7205,6840,57602,
"Total Assets",334511,352273,328650,322205,327286,373660,
"Creditors",9394,9760,8041,9212,6334,8130,
"Receiver of Revenue",,,1686,1687,2331,2330,
"Bank O/D & S/T Loans",,2,,,,,
"Other Current Liabilities",157223,130166,526,530,3209,1692,
"Current Liabilities",166617,139928,10253,11429,11874,12152,
"Net Current Assets",-157806,-133155,-1251,-4224,-5034,45450,

