Income statement (AUD '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"29 Oct 2020","6 May 2020","30 Oct 2019","3 May 2019","13 Nov 2018","15 May 2018","14 Nov 2017","17 May 2017","16 Nov 2016","19 May 2016","19 Nov 2015","21 May 2015","20 Nov 2014","22 May 2014","21 Nov 2013",
"Turnover",45185,101103,47915,89469,44980,77597,36747,54498,25401,39293,18175,24220,9474,11180,2563,
"Other Expenses",9909,21341,10329,18226,9177,13897,6100,8408,3783,5185,2435,2867,1197,1498,305,
"Net Rental / Investment Income",35276,79762,37586,71243,35803,63700,30647,46090,21618,34108,15740,21353,8277,9682,2257,
"Interest Receivable",19,90,53,94,41,117,40,106,44,79,31,195,43,152,30,
"Other Income",3,7,3,165,152,40,12,320,,380,,46,,6,,
"Total Income",35298,79859,37642,71502,35996,63857,30699,46516,21662,34567,15771,21594,8320,9840,2287,
"Interest Payable",4131,12774,7075,14636,7099,10700,4737,4874,8817,6908,2007,4803,1409,1388,792,
"Expenses",3600,13653,8563,6951,3327,6177,2746,4319,1830,4663,1637,2500,1104,941,209,
"Income Before Exceptional Items",27567,53432,22004,49915,25570,46980,23216,37323,11015,22996,12127,14291,5807,7511,1286,
"Exceptional Item 1",10777,5524,20769,3184,4198,61225,27511,11419,10015,20488,-3386,2051,-2123,-18,,
"Income Before Tax",38344,58956,42773,53099,29768,108205,50727,48742,21030,43484,8741,16342,3684,7493,1286,
"Profit For The Period",38344,58956,42773,53099,29768,108205,50727,48742,21030,43484,8741,16342,3684,7493,1286,
"Net Income Before Extraords",38344,58956,42773,53099,29768,108205,50727,48742,21030,43484,8741,16342,3684,7493,1286,
"Income Attributable To Equity Holders",38344,58956,42773,53099,29768,108205,50727,48742,21030,43484,8741,16342,3684,7493,1286,
"Total Comprehensive Income/Loss for the period",38344,58956,42773,53099,29768,108205,50727,48742,21030,43484,8741,16342,,,,
"Headline Earnings (Cont Ops)",25554,38762,22004,37921,25570,46936,23797,37323,11015,22880,12133,18393,5807,7512,,
"Enterprise Value (EV)",9846619,7661159,9100420,6469348,6344875,5368090,5877352,5891435,4894684,4455897,2973049,2787432,1523215,1599711,23292,

Balance sheet (AUD '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"29 Oct 2020","6 May 2020","30 Oct 2019","3 May 2019","13 Nov 2018","15 May 2018","14 Nov 2017","17 May 2017","16 Nov 2016","19 May 2016","19 Nov 2015","21 May 2015","20 Nov 2014","22 May 2014","21 Nov 2013",
"Ordinary Capital & Premium",696402,696402,613703,515203,515203,515203,458888,466879,321945,310136,246496,246496,131025,131025,22000,
"Distributable Reserves",123271,111759,123657,106274,107732,102160,68248,38789,28072,22351,-243,2208,,1033,2030,
"Non-Distributable Reserves",,,,,,,,,,,,,-708,,,
"Ordinary Unitholders Interest",819673,808161,737360,621477,622935,617363,527136,505668,350017,332487,246253,248704,130317,132058,24030,
"Total Stockholders' Interest",819673,808161,737360,621477,622935,617363,527136,505668,350017,332487,246253,248704,130317,132058,24030,
"Non-Interest Bearing Loans",4192,3337,41989,21186,1706,1996,,,,,,,,,,
"Interest Bearing Loans",252201,345487,315168,375163,366094,342431,258355,248005,163077,141671,121236,78752,44095,22185,26733,
"Other Long-Term Liabilities",6041,4845,5042,5265,6674,6187,5643,7871,7151,1427,2926,2900,,,,
"Long-Term Liabilities",262434,353669,362199,401614,374474,350614,263998,255876,170228,143098,124162,81652,44095,22185,26733,
"Total Capital Employed",1082107,1161830,1099559,1023091,997409,967977,791134,761544,520245,475585,370415,330356,174412,154243,50763,
"Investments",1100401,1084958,1099155,1062767,1013392,986696,809740,779350,535205,493850,377870,342130,180289,154364,,
"Fixed Assets / Property",,,,,,,,,,,,,,,47878,
"Other Assets",212,,11647,6444,1037,967,1862,1276,,,,,,17,274,
"Debtors",9063,4466,5377,6408,5294,7218,2931,4116,1496,1108,1807,2361,981,287,130,
"Cash and Short Term Funds",7153,17128,9422,7792,7950,3758,4375,1790,3847,1965,6061,1248,2415,6370,3441,
"Other Current Assets",,94000,,,,,,,,,3580,,,,,
"Current Assets",16216,115594,14799,14200,13244,10976,7306,5906,5343,3073,11448,3609,3396,6657,3571,
"Total Assets",1116829,1200552,1125601,1083411,1027673,998639,818908,786532,540548,496923,389318,345739,183685,161038,51723,
"Creditors",7890,12417,7173,6898,5860,6335,6505,3532,4845,6870,7710,4724,3464,2193,960,
"Dividends",26832,26305,18869,24787,24404,24327,21269,21456,15458,14468,11193,10226,5425,4602,,
"Other Current Liabilities",,,,28635,,,,,,,,433,384,,,
"Current Liabilities",34722,38722,26042,60320,30264,30662,27774,24988,20303,21338,18903,15383,9273,6795,960,
"Net Current Assets",-18506,76872,-11243,-46120,-17020,-19686,-20468,-19082,-14960,-18265,-7455,-11774,-5877,-138,2611,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
