Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Nov 2020","28 May 2020","29 Oct 2019","29 May 2019","30 Oct 2018","30 May 2018","17 Oct 2017","29 May 2017","26 Oct 2016","30 May 2016","29 Oct 2015","28 May 2015",
"Other Income",879,2329,1859,9345,5822,8215,5356,7410,2343,10625,17618,4604,
"Turnover",264522,686973,336396,653351,322755,586490,266964,524792,247365,453343,215352,107424,
"Admin & Collection Fees",120192,298124,120362,224223,111909,223545,112098,204995,98292,210509,109146,56135,
"Net Rental / Investment Income",145209,686973,216034,653351,322755,586490,266964,524792,247365,453343,123824,107424,
"Interest Receivable",5010,14171,5731,13917,9338,27793,11225,2729,541,1974,1076,474,
"Other Income",,,1717,-68,151,783,667,1180,2473,633227,113,,
"Depreciation",,53933,,27483,,23925,,,,,,,
"Total Income",150219,701144,223482,667200,226157,342584,172114,323299,154430,888660,125013,56367,
"EBITDA (ProfileData Calc)",,765837,,1303310,,,,,,,,,
"Interest Payable",22736,63765,32666,61654,30516,56915,25298,23026,9785,18530,6370,3729,
"Income Before Exceptional Items",127483,341584,190816,390668,195641,285669,146816,300273,144645,870130,118642,52638,
"Amortisation",,,,,,,,,4074,,,,
"Exceptional Item 1",7925,312035,1859,837877,,801937,,619640,,4963,,,
"Income From Associates Before Tax",,,,70,,321,,232,,-219,,160,
"Income Before Tax",135408,653619,192675,1228615,195641,1087927,146816,920145,140571,874874,118642,52798,
"Tax",40462,162716,59402,293439,53308,264310,32784,257074,22140,305316,22668,12005,
"Profit For The Period",94946,490903,133273,935176,142333,823617,114032,663071,118431,569558,95974,40793,
"Income Attributable To Minority Interests",1198,5480,4031,14442,3394,9155,1495,21520,-8,10464,-30,-18,
"Net Income Before Extraords",93748,485423,129242,920734,138939,814462,112537,641551,118439,559094,96004,40811,
"Income Attributable To Equity Holders",93748,485423,129242,920734,138939,814462,112537,641551,118439,559094,96004,40811,
"Total Comprehensive Income/Loss for the period",146437,489476,141214,958725,142333,823617,114032,663071,118431,569558,95974,40793,
"Headline Earnings (Cont Ops)",93712,258090,127525,282320,138788,243484,112016,186442,117195,181199,96004,40547,
"Enterprise Value (EV)",2123654,2207725,2771211,2350713,2322218,2589054,2989111,3226143,3509536,3746046,4036555,1052897,

