Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Sep 2020","12 Mar 2020","10 Sep 2019","11 Mar 2019","11 Sep 2018","12 Mar 2018","19 Sep 2017","13 Mar 2017","12 Sep 2016","7 Mar 2016","11 Sep 2015","5 Mar 2015","11 Sep 2014","6 Mar 2014","12 Sep 2013","7 Mar 2013","13 Sep 2012","7 Mar 2012","14 Sep 2011",
"Net Earned Premiums",16153,7939,15012,7467,14173,7208,14064,7048,13428,6405,11148,5721,10020,4741,7869,3670,6661,3286,2071,
"Income From Investments",252,141,211,111,760,377,688,331,579,278,490,272,625,218,631,234,569,201,155,
"Interest Received",458,241,587,313,,,,,,,,,,,,,,,,
"Other Income",64,26,35,15,61,61,93,65,71,50,59,121,138,82,146,67,119,59,50,
"Total Income",16927,8347,15845,7906,14994,7646,14845,7444,14078,6733,11697,7370,13363,5041,10423,3971,8533,3546,2381,
"Marketing & Administration Costs",4900,2341,4415,2111,3905,1968,3886,1904,3768,1828,3290,1847,3096,1434,2367,1151,1971,955,595,
"Interest Paid",689,346,729,379,765,387,414,84,136,67,74,39,79,46,125,66,138,66,46,
"Policy Payouts",9310,4011,7898,3603,6535,3450,6783,3580,6888,3247,5832,2899,4938,2671,3873,2157,2581,1508,306,
"Other Outgoing",500,243,451,227,714,341,626,349,618,353,557,290,1071,397,1211,259,677,189,289,
"Total Outgoing",15399,6941,13493,6320,11919,6146,11709,5917,11410,5495,9753,5085,9184,4548,7576,3633,5587,2718,1290,
"Excess Income Over Outgoing",1528,1406,2352,1586,3075,1500,3136,1527,2668,1238,1944,2285,4179,493,2847,338,2946,828,1091,
"Income Before Exceptional Items",1528,1406,2352,1586,3075,1500,3136,1527,2668,1238,1944,2285,4179,493,2847,338,2946,828,1091,
"Exceptional Item 1",1050,-152,497,-177,,,,,,,,33,804,454,598,436,-11,22,-267,
"Income From Associates Before Tax",259,984,2612,1139,2328,1314,1702,770,1524,881,2145,1213,1776,1026,1179,685,975,503,318,
"Income Before Tax",2837,2238,5461,2548,5403,2814,4838,2297,4192,2119,4089,3531,6759,1973,4624,1459,3910,1353,1142,
"Tax",1031,495,1096,547,1136,570,1084,496,893,428,657,346,870,275,391,224,517,337,352,
"Profit For The Period",1806,1743,4365,2001,4267,2244,3754,1801,3299,1691,3432,1939,3309,1698,2456,1235,2429,1016,739,
"Income Attributable To Minority Interests",318,168,327,152,370,185,378,183,330,158,221,120,256,104,201,89,181,47,152,
"Income Before Extraordinary Items",1488,1575,4038,1849,3897,2059,3376,1618,2969,1533,3211,1819,3053,1594,2255,1146,2248,969,587,
"Extraordinary Profit (Loss)",104,104,9,2,,,-49,1,8,17,81,,,,,,,,,
"Extraordinary Profit (Loss): Discontinued operations",104,104,9,2,,,-49,1,8,17,,,,,,,,,,
"Income Attributable To Equity Holders",1592,1679,4047,1851,3897,2059,3327,1619,2977,1550,3292,1819,3053,1594,2255,1146,2248,969,587,
"Total Comprehensive Income/Loss for the period",3669,1939,4255,2025,4697,2099,3033,830,3669,2706,3537,,,,,,,,,
"Headline Earnings (Cont Ops)",1956,1643,3801,1913,4081,2087,3441,1625,2927,1502,3258,1814,2879,1447,2242,1123,2410,952,542,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Sep 2020","12 Mar 2020","10 Sep 2019","11 Mar 2019","11 Sep 2018","12 Mar 2018","19 Sep 2017","13 Mar 2017","12 Sep 2016","7 Mar 2016","11 Sep 2015","5 Mar 2015","11 Sep 2014","6 Mar 2014","12 Sep 2013","7 Mar 2013","13 Sep 2012","7 Mar 2012","14 Sep 2011",
"Ordinary Share Capital & Premium",15342,15343,15359,15348,14986,14825,14328,13556,13526,13539,13526,13538,13592,13590,13632,13615,13614,13619,13571,
"Translation Reserves",10506,9876,9180,7870,7386,5880,4947,4646,5030,5108,3579,2776,1886,1034,95,-693,-430,-1558,-2227,
"Ordinary Shareholders' Interest",25848,25219,24539,23218,22372,20705,19275,18202,18556,18647,17105,16314,15478,14624,13727,12922,13298,12061,11344,
"Minority Interest",1697,1545,1602,1428,1332,1325,1215,1186,1170,1119,978,942,899,786,614,545,645,343,310,
"Total Shareholders' Interest",27545,26764,26141,24646,23704,22030,20490,19388,19726,19766,18083,17256,16377,15410,14341,13467,13943,12404,11654,
"Interest Bearing Loans",2242,,2697,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities",411,,203,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Derivative Liability",283,,99,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Financial liabilities",104,,104,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Investment contracts",24,,,,,,,,,,,,,,,,,,,
"Long-Term Liabilities",2653,,2900,,,,,,,,,,9826,,8495,,7351,,6830,
"Deferred Tax Liability",76,,69,,54,,53,,,71,80,203,379,174,176,311,324,,,
"Other Capital",9514,,8580,,,,,,,,,,,,,,,,,
"Total Capital Employed",39788,26764,37690,24646,23758,22030,20543,19388,19726,19837,18163,17256,16377,15584,14341,13778,13943,12404,18484,
"Fixed Assets",1160,1011,1041,1065,1109,1118,1000,730,679,726,546,524,520,525,460,442,413,290,211,
"Investments In Associates",29288,29148,28337,27385,26413,25150,24455,14971,14888,15287,14063,12155,11582,11145,10442,10061,9864,9600,9274,
"Goodwill",,,,,,47,,78,113,42,68,81,110,28,43,55,50,20,32,
"Intangible Assets",117,77,101,91,124,,90,,,8101,,7211,6861,7917,7781,7244,7603,7266,6287,
