Income statement (USD '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"30 Nov 2020","21 May 2020","28 Nov 2019","15 May 2019","28 Nov 2018","16 May 2018","30 Nov 2017","16 May 2017","29 Nov 2016","13 Jun 2016","9 Dec 2015","17 Jun 2015","15 Dec 2014","17 Jun 2014",
"Turnover",405995,194559,342885,166519,406268,199179,349443,175119,219653,85997,246782,123700,240731,126138,
"Cost of Sales",275563,150935,282461,134384,297782,143436,226789,92755,165177,64863,203692,100895,208119,105908,
"Gross Profit",130432,43624,60424,32135,108486,55743,122654,82364,54476,21134,43090,22805,32612,20230,
"Operating Income",87645,22330,24213,14261,72538,40397,98369,69917,32139,10607,18355,12091,5853,7440,
"Profit Before Exceptional Items",87645,22330,24213,14261,72538,40397,98369,69917,32139,10607,18355,12091,5853,7440,
"Exceptional Item 1",-5911,-1264,-5683,-362,1355,1204,-813,-540,871,-810,1947,,-33079,-30635,
"Profit Before Interest And Tax",81734,21066,18530,13899,73893,41601,97556,69377,33010,9797,20302,12091,-27226,-23195,
"Interest Received",944,551,1437,798,1279,695,1122,4042,770,410,1185,1415,897,330,
"Interest Paid",6926,4086,8812,4475,10189,5130,7689,5090,11815,5738,11855,6443,13996,8284,
"Net Interest Paid/(Received)",5982,3535,7375,3677,8910,4435,6567,1048,11045,5328,10670,5028,13758,7954,
"Income Before Tax",75752,17531,11155,10222,64983,37166,90989,68329,21965,4469,9632,7063,-40325,-31149,
"Taxation",20801,5633,2779,2067,14011,8753,23316,17316,6172,1371,3617,2193,14548,-2911,
"Profit For The Period",54951,11898,8376,8155,50972,28413,67673,51013,15793,3098,6015,4870,-54873,-28238,
"Income Attributable To Minority Interests",11655,2400,-2240,-1333,2539,2453,10072,9088,1984,198,1392,1509,-5876,184,
"Attributable Income Before Extraordinary Items",43296,9498,10616,9488,48433,25960,57601,41925,13809,2900,4623,3361,-48997,-28422,
"Income Attributable To Equity Holders",43296,9498,10616,9488,48433,25960,57601,41925,13809,2900,4623,3361,-48997,-28422,
"Total Comprehensive Income/Loss for the period",30833,-25469,-5609,4383,40309,63835,67286,56435,20005,-5936,-33384,-9035,,,
