Income statement (USD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (5m)",
,"8 Sep 2020","24 Mar 2020","6 Sep 2019","29 Mar 2019","12 Sep 2018","3 Apr 2018",
"Turnover",27,53,19,73,20,51,
"Operating Expenses",,,,,4891,7178,
"Operating Income",-1312,-4163,-1151,-6171,-4871,-7127,
"Profit Before Exceptional Items",-1312,-4163,-1151,-6171,-4871,-7127,
"Exceptional Item 1",,,,,313,2864,
"Profit Before Interest And Tax",-1312,-4163,-1151,-6171,-4558,-4263,
"Interest Paid",10,15,7,81,,,
"Net Interest Paid/(Received)",10,15,7,81,2,39,
"Income Before Tax",-1322,-4178,-1158,-6252,-4560,-4302,
"Taxation",-1,24,19,17,11,43,
"Profit For The Period",-1321,-4202,-1177,-6269,-4571,-4344,
"Income Attributable To Minority Interests",23,1,-1,,,,
"Attributable Income Before Extraordinary Items",-1344,-4203,-1176,-6269,-4571,-4344,
"Income Attributable To Equity Holders",-1344,-4203,-1176,-6269,-4571,-4344,
"Total Comprehensive Income/Loss for the period",-160,-7307,-1832,-13374,-8357,9247,
"Headline Earnings (Cont Ops)",,-7307,,,,-4344,
"Enterprise Value (EV)",291171,247730,266088,1503007,1120290,-16389,

Balance sheet (USD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (5m)",
,"8 Sep 2020","24 Mar 2020","6 Sep 2019","29 Mar 2019","12 Sep 2018","3 Apr 2018",
"Fixed Assets",520,561,272,302,357,414,
"Right-of-use Asset",,,129,,,,
"Other Assets",159552,156019,153375,149863,145043,140255,
"Long-Term Receivables",179,198,129,121,135,139,
"Total Fixed Assets",160251,156778,153905,150286,145535,140808,
"Debtors",284,359,568,345,312,281,
"Cash",1840,7578,1725,6187,14219,16455,
"Other Current Assets",,42,,,,,
"Total Current Assets",2124,7979,2293,6532,14531,16736,
"Total Assets",162375,164757,156198,156818,160066,157544,
"Ordinary Share Capital & Premium",1557,1541,863,861,859,771,
"Distributable Reserves",-60946,-60584,-60507,-59332,-57620,-53357,
"Non-Distributable Reserves",221629,221336,213045,213645,216046,206806,
"Ordinary Shareholders' Interest",162240,162293,153401,155174,159285,154220,
"Preference Shareholders",,,,,,66,
"Minority Interest",-536,-559,-588,-561,-465,,
"Total Shareholders' Interest",161704,161734,152813,154613,158820,154286,
