Income statement (GBP '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"5 Nov 2020","11 May 2020","24 Oct 2019","25 Apr 2019","25 Oct 2018","25 Apr 2018","26 Oct 2017","26 Apr 2017","27 Oct 2016","26 Apr 2016","28 Oct 2015","29 Apr 2015","29 Oct 2014","30 Apr 2014","29 Oct 2013","21 Oct 2013",
"Turnover",69000,40400,103900,50400,95100,55200,102100,50600,89600,,,,,,,,
"Net Rental / Investment Income",69000,40400,103900,50400,95100,55200,102100,50600,89600,41500,79700,40406,77340,35870,56047,30433,
"Interest Receivable",,,200,100,200,400,3400,2900,6300,2000,2800,531,8056,4911,12106,6125,
"Depreciation",300,100,200,100,200,100,,,,,,,,,,,
"Total Income",69000,40400,104100,50500,95300,55600,105500,53500,95900,43500,82500,40937,85396,40781,68153,36558,
"EBITDA (ProfileData Calc)",-65800,-5400,-56800,6100,83500,71500,,,,,,,,,,,
"Interest Payable",20900,10200,25600,14600,26500,15100,34900,13100,34600,13000,30300,14939,42308,21666,37960,20174,
"Expenses",26800,10300,33600,12200,22000,12000,24300,12700,17100,7700,16400,8101,4245,17080,3445,5755,
"Expenses: Administrative expenses",11300,6400,13200,6900,13400,7200,15300,8400,10900,5200,11100,3421,,,,,
"Expenses: Other operating expenses",700,,1100,,,,,,,,,,,,,,
"Expenses: Professional fees",,,,,,,,,,,,2082,,,,,
"Expenses: Property expenses",,,,,,,,,,,,2598,,,,,
"Expenses: Rental expenses",14800,3900,19300,5300,8600,4800,9000,4300,6200,2500,5300,,,,,,
"Income Before Exceptional Items",21300,19900,44900,23700,46800,28500,46300,27700,44200,22800,35800,17897,38843,2035,26748,10629,
"Exceptional Item 1",-120100,-35200,-125600,-31300,17100,31900,28500,15900,-38700,-14600,42100,16401,64867,,40477,7450,
"Income From Associates Before Tax",-400,-500,900,600,300,400,-1300,-1600,3100,200,6100,4200,,,,,
"Income Before Tax",-99200,-15800,-79800,-7000,64200,60800,73500,42000,8600,8400,84000,38498,103710,2035,67225,18079,
"Tax",,,300,300,800,1100,3900,1000,1100,100,6100,1685,897,348,6179,2535,
"Profit For The Period",-99200,-15800,-80100,-7300,63400,59700,69600,41000,7500,8300,77900,36813,102813,1687,61046,15544,
"Income Attributable To Minority Interests",-12200,-100,2800,1600,7400,4500,3500,200,-400,1500,7300,1564,7613,2584,-475,-1374,
"Net Income Before Extraords",-87000,-15700,-82900,-8900,56000,55200,66100,40800,7900,6800,70600,35249,95200,-897,61521,16918,
"Extraordinary Items",-16800,-1800,5300,4000,32900,,,,,,,,,,,,
"Extraordinary Items: Discontinued operations",-16800,-1800,5300,4000,32900,,,,,,,,,,,,
"Income Attributable To Equity Holders",-103800,-17500,-77600,-4900,88900,55200,66100,40800,7900,6800,70600,35249,95200,-897,61521,16918,
"Total Comprehensive Income/Loss for the period",-118400,-23700,-73900,-8100,90800,52700,82300,41300,21400,116000,73800,,,,,,
"Headline Earnings (Cont Ops)",16100,17000,31000,19900,45100,28900,47300,28300,32600,21500,41400,27400,74200,,24430,,
"Enterprise Value (EV)",7476884,9518945,7873605,10713206,13093310,11687711,13276754,11887648,16692968,18294495,21524073,19762305,18219167,17551401,654504,544222,

Balance sheet (GBP '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"5 Nov 2020","11 May 2020","24 Oct 2019","25 Apr 2019","25 Oct 2018","25 Apr 2018","26 Oct 2017","26 Apr 2017","27 Oct 2016","26 Apr 2016","28 Oct 2015","29 Apr 2015","29 Oct 2014","30 Apr 2014","29 Oct 2013","21 Oct 2013",
"Ordinary Capital & Premium",686900,686900,686600,686600,686600,688000,658000,652300,645700,633200,512900,429850,418192,404889,266127,264135,
"Distributable Reserves",,,,,,,,,,-66400,-48800,-60961,-74178,134295,-134667,134295,
"Non-Distributable Reserves",,,,,,,,,,134300,134300,134295,134295,-151390,134295,-164400,
"Other Capital",-129700,-47200,-1000,81400,116700,106600,82400,68100,54100,2500,2000,1828,1451,2363,28279,15826,
"Translation Reserves",,,,,,,,,,900,-2400,-5005,1282,3844,5765,15100,
