Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Interim (12m)","Interim (6m)","Final (12m)",
,"31 Aug 2020","2 Mar 2020","2 Sep 2019","4 Mar 2019","28 Aug 2018","26 Feb 2018","29 Aug 2017","23 Feb 2017","30 Aug 2016","23 Feb 2016","1 Sep 2015","18 Feb 2015","27 Aug 2014","19 Feb 2014","27 Aug 2013","20 Feb 2013","28 Aug 2012","21 Feb 2012","30 Aug 2011","23 May 2011","23 Nov 2010","25 May 2010",
"Turnover",27803.611,14210.244,25887.506,13265.392,24527.961,12817.255,24950.655,13085.486,25025.159,12875.309,23428.206,12029.301,19500.842,8669.47,10108.812,4500.609,7855.142,3917.526,8621.389,6956.412,3384.386,6952.789,
"EBITDA (ProfileData Calc)",386.561,1395.562,1013.594,1309.426,2232.772,1415.195,1986.075,1131.505,1909.452,1294.587,2384.447,1371.65,1268.78,728.055,519.339,198.402,621.88,396.406,784.137,718.907,325.456,691.988,
"EBITDA (company calc)",1636.037,1165.69,1525.659,1082.159,,,,,,,,,,,,,,,,,,,
"Depreciation",935.551,445.209,793.074,390.108,775.64,390.714,971.125,544.981,1445.222,390.967,771.654,339.945,588.177,245.228,278.294,105.945,200.286,90.907,210.34,167.034,79.687,157.425,
"Operating Income",-805.797,720.481,-29.327,692.051,1270.344,810.27,776.508,355.456,317.165,761.265,1452.391,866.114,534.043,443.049,167.053,89.934,414.224,301.523,552.277,534.384,237.437,519.686,
"Profit Before Exceptional Items",-805.797,720.481,-29.327,692.051,1270.344,810.27,776.508,355.456,317.165,761.265,1452.391,866.114,534.043,443.049,167.053,89.934,414.224,301.523,552.277,534.384,237.437,519.686,
"Profit Before Interest And Tax",-805.797,720.481,-29.327,692.051,1270.344,810.27,776.508,355.456,317.165,761.265,1452.391,866.114,534.043,443.049,167.053,89.934,414.224,301.523,552.277,534.384,237.437,519.686,
"Interest Received",53.457,14.502,48.585,25.832,62.624,18.385,40.999,13.213,38.361,9.532,52.056,30.586,148.283,29.884,53.874,2.523,7.37,3.976,21.52,17.489,8.332,14.877,
"Interest Paid",508.186,211.175,325.201,164.92,315.104,161.446,373.741,194.385,365.194,143.237,373.607,202.018,1043.458,437.83,153.675,13.883,11.358,3.814,1.808,2.638,1.082,0.9,
"Net Interest Paid/(Received)",454.729,196.673,276.616,139.088,252.48,143.061,332.742,181.172,326.833,133.705,321.551,171.432,895.175,407.946,99.801,11.36,3.988,-0.162,-19.712,-14.851,-7.25,-13.977,
"Income From Associates Before Tax",145.708,144.422,127.841,154.537,80.102,142.402,158.093,163.714,109.323,97.218,122.182,123.155,10.334,2.491,,,,,,,,,
"Income Before Tax",-1114.818,668.23,-178.102,707.5,1097.966,809.611,601.859,337.998,99.655,724.778,1253.022,817.837,-350.798,37.594,67.252,78.574,410.236,301.685,571.989,549.235,244.687,533.663,
"Taxation",-155.78,194.223,5.86,175.418,219.589,199.659,125.552,70.426,-82.986,23.673,359.16,223.791,-44.061,17.6,75.435,26.15,143.469,101.324,188.139,181.214,82.227,178.155,
"Profit For The Period",-959.038,474.007,-183.962,532.082,878.377,609.952,476.307,267.572,182.641,701.105,893.862,594.046,-306.737,19.994,-8.183,52.424,266.767,200.361,383.85,368.021,162.46,355.508,
"Income Attributable To Minority Interests",-57.642,-70.948,-73.421,-46.898,-44.062,-53.424,-39.35,-54.141,0.619,-35.605,13.836,-11.85,12.057,-7.403,-20.118,,,,,,,,
"Attributable Income Before Extraordinary Items",-901.396,544.955,-110.541,578.98,922.439,663.376,515.657,321.713,182.022,736.71,880.026,605.896,-318.794,27.397,11.935,52.424,266.767,200.361,383.85,368.021,162.46,355.508,
"Extraordinary Profit",,,,,,,,,,,-31.905,6.862,29.755,-14.301,15.311,,,,,,,,
"Extraordinary Profit: Discontinued Operations",,,,,,,,,,,-31.905,6.862,29.755,-14.301,15.311,,,,,,,,
"Income Attributable To Equity Holders",-901.396,544.955,-110.541,578.98,922.439,663.376,515.657,321.713,182.022,736.71,848.121,612.758,-289.039,13.096,27.246,52.424,266.767,200.361,383.85,368.021,162.46,355.508,
"Total Comprehensive Income/Loss for the period",-928.259,474.228,-163.806,535.03,876.276,613.01,461.085,262.482,178.712,688.549,880.497,,-260,,7,,267,,,,,,
"Headline Earnings (Cont Ops)",114.163,463.579,329.489,475.088,837.735,644.733,548.541,411.037,832.913,742.678,964.459,601.617,-332.6,27.35,18.798,52.527,267.074,202.068,388.77,372.197,161.669,351.455,
"Enterprise Value (EV)",10933.775,13724.166,13181.199,14314.701,17021.449,16256.358,15469.066,14637.698,15431.199,16078.001,17713.12,20304.844,17537.753,13661.607,12478.343,4799.74,4085.227,4526.919,4262.713,4846.029,4338.959,4112.69,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Interim (12m)","Interim (6m)","Final (12m)",
,"31 Aug 2020","2 Mar 2020","2 Sep 2019","4 Mar 2019","28 Aug 2018","26 Feb 2018","29 Aug 2017","23 Feb 2017","30 Aug 2016","23 Feb 2016","1 Sep 2015","18 Feb 2015","27 Aug 2014","19 Feb 2014","27 Aug 2013","20 Feb 2013","28 Aug 2012","21 Feb 2012","30 Aug 2011","23 May 2011","23 Nov 2010","25 May 2010",
"Fixed Assets",5285.323,5533.994,5412.709,5996.622,5922.829,5808.672,5720.285,5809.381,5903.566,5784.565,5461.69,5184.483,5132.889,3629.671,3647.206,1983.892,1824.072,1643.656,1600.008,1594.994,1514.932,1464.929,
"Right-of-use Asset",1383.754,1600.827,153.814,128.734,,,,,,,,,,,,,,,,,,,
"Investments in Associates",987.165,1005.507,901.159,949.967,775.007,875.363,740.689,824.422,691.09,946.204,822.876,850.808,703.832,131.446,128.955,,,,,,,,
"Investments and Loans",204.003,87.161,91.561,43.494,35.92,1.555,1.555,1.555,1.555,,1.555,1.555,1.555,,,,,,,,,,
"Goodwill",1939.123,2537.076,2537.076,2554.398,2533.162,2658.493,2658.493,2658.493,2658.493,3035.823,3035.823,3035.823,3035.823,3022.493,3022.493,287.444,,287.444,287.444,287.444,287.444,287.444,
"Intangible Assets",1737.932,2073.296,2102.156,2125.557,2162.828,2166.158,2222.912,2229.186,2283.999,2591.346,2640.039,2689.977,2740.218,2742.699,2794.15,36.919,317.318,,,,,,
"Deferred Tax Asset",86.428,73.621,71.4,51.173,28.448,6.247,6.876,10.724,19.658,21.488,8.32,8.911,8.678,4.327,4.327,,,,,,,,
"Other Assets",,,,,,,,,,42.681,,424.519,498.803,,,,,,,,,,
"Long-Term Receivables",23.06,92.82,127.025,57.104,58.01,54.315,12.788,12.788,12.288,,,,,,,,,,,,,,
"Total Fixed Assets",11646.788,13004.302,11396.9,11907.049,11516.204,11570.803,11363.598,11546.549,11570.649,12422.107,11970.303,12196.076,12121.798,9530.636,9597.131,2308.255,2141.39,1931.1,1887.452,1882.438,1802.376,1752.373,
"Stock",2980.665,3464.43,3108.568,3478.428,2926.748,3185.222,2666.622,3285.702,2940.337,2869.626,2761.151,2787.326,2157.236,1308.5,1719.566,1532.548,1189.784,1312.024,1110.03,1017.55,1056.216,961.211,
"Stock: Biological Assets",,,,,,,,,,,,,,,537.059,496.887,476.427,430.66,445.226,416.37,422.938,422.798,
"Stock: Inventories",,,,,,,,,,,,,,,1182.507,1035.661,713.357,881.364,664.804,601.18,633.278,538.413,
"Debtors",5965.279,5985.602,4602.122,4834.093,4254.014,4429.313,3452.331,4238.687,3926.404,3773.155,3156.67,3372.346,3041.277,2711.925,2251.397,1900.167,1507.354,1722.207,1259.552,1263.069,1266.574,1154.647,
"Cash",1030.041,394.044,376.843,1194.375,1263.364,426.475,1056.66,558.54,744.639,765.15,873.397,1395.95,1047.71,2207.738,2313.191,150.837,305.792,229.889,469.496,502.714,367.623,539.067,
"Tax",44.358,1.372,46.213,0.509,32.953,60.722,70.41,25.71,30.21,,9.923,0.85,13.907,31.71,32.325,35.167,31.16,29.524,41.773,29.524,0.107,8.558,
"Other Current Assets",819.445,767.155,876.222,892.814,998.014,658.908,898.693,726.597,1017.537,773.365,921.751,1002.879,1528.832,1702.99,1478.385,,20.811,,,6.866,0.918,,
"Total Current Assets",10839.788,10612.603,9009.968,10400.219,9475.093,8760.64,8144.716,8835.236,8659.127,8181.296,7722.892,8559.351,7788.962,7962.863,7794.864,3618.719,3054.901,3293.644,2880.851,2819.723,2691.438,2663.483,
