Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"29 Oct 2020","31 Jul 2020","4 Oct 2019","3 Jun 2019","16 Nov 2018","25 May 2018","21 Nov 2017",
"Operating Expenses",11926,16912,5837,13174,2140,12128,-966,
"Operating Income",-11926,-16912,-5837,-13174,-2140,-12128,-966,
"Other Income",111121,86048,29628,16827,,,,
"Profit Before Exceptional Items",99195,69136,23791,3653,-2140,-12128,-966,
"Exceptional Item 1",,,,,29985,,,
"Profit Before Interest And Tax",99195,69136,23791,3653,27845,-12128,-966,
"Interest Received",3876,21527,14666,24490,15832,20827,6607,
"Interest Paid",,204,,,,,,
"Net Interest Paid/(Received)",-3876,-21323,-14666,-24490,-15832,-20827,-6607,
"Income Before Tax",103071,90459,38457,28143,43677,8699,5641,
"Taxation",21942,20470,7432,6982,10533,579,,
"Profit For The Period",81129,69989,31025,21161,33144,8120,5641,
"Attributable Income Before Extraordinary Items",81129,69989,31025,21161,33144,8120,5641,
"Income Attributable To Equity Holders",81129,69989,31025,21161,33144,8120,5641,
"Total Comprehensive Income/Loss for the period",81129,69989,31024,21161,33144,8120,5641,
"Headline Earnings (Cont Ops)",81129,69989,31024,21161,33127,8120,5641,
"Enterprise Value (EV)",535754,430883,325081,87701,128692,16437,-3841,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"29 Oct 2020","31 Jul 2020","4 Oct 2019","3 Jun 2019","16 Nov 2018","25 May 2018","21 Nov 2017",
"Investments and Loans",808459,545681,325947,157897,171285,,,
"Total Fixed Assets",808459,545681,325947,157897,171285,,,
"Debtors",2280,1121,1503,1433,4527,,,
"Cash",44165,120069,265094,373549,377146,499063,493841,
"Tax",,,,332,,,,
"Other Current Assets",5612,4308,3420,2338,1336,,,
"Total Current Assets",52057,125498,270017,377652,383009,499063,493841,
"Total Assets",860516,671179,595964,535549,554294,499063,493841,
"Ordinary Share Capital & Premium",576300,547340,523340,500840,500326,487826,487577,
"Distributable Reserves",180398,99269,60304,29280,40963,8120,5641,
"Ordinary Shareholders' Interest",756698,646609,583644,530120,541289,495946,493218,
"Total Shareholders' Interest",756698,646609,583644,530120,541289,495946,493218,
"Deferred Tax Liability",44490,22548,10570,3718,10551,,,
"Total Long-Term Liabilities",44490,22548,10570,3718,10551,,,
"Creditors and Provisions",1265,,1214,,,,,
"Tax",772,439,536,,,,,
"Other Current Liabilities",57291,1583,,1711,2455,3117,623,
"Total Current Liabilities",59328,2022,1750,1711,2455,3117,623,
"Total Liabilities",103818,24570,12320,5429,13006,3117,623,
"Total Equity and Liabilities",860516,671179,595964,535549,554294,499063,493841,

Share/unit data,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
