Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"13 Aug 2020","14 Feb 2020","8 Aug 2019","8 Mar 2019","24 Aug 2018","9 Mar 2018","7 Sep 2017","30 Mar 2017",
"Other Income",,,,,,,5439,2272,
"Turnover",168723,335893,170958,161798,71040,138701,70568,33990,
"Admin & Collection Fees",11198,107514,10467,53907,23298,45612,26316,11941,
"Other Expenses",57293,26878,56708,23881,2133,11052,3743,3916,
"Net Rental / Investment Income",100232,201501,103783,84010,45609,82037,45948,20405,
"Interest Receivable",1891,7800,4176,3098,1004,1590,526,171,
"Other Income",2122,,,,,,,,
"Depreciation",390,,377,,,,,,
"Total Income",104245,209301,107959,87108,46613,83627,46474,20576,
"Interest Payable",67014,146740,72584,61488,25790,52972,26710,15439,
"Expenses",,,,,4552,,,,
"Income Before Exceptional Items",37231,62561,35375,25620,16271,30655,19764,5137,
"Exceptional Item 1",-74358,5744,30042,162782,1466,32512,-1688,11387,
"Income Before Tax",-37127,68305,65417,188402,17737,63167,18076,16524,
"Tax",,,,,,57,,,
"Profit For The Period",-37127,68305,65417,188402,17737,63110,18076,16524,
"Net Income Before Extraords",-37127,68305,65417,188402,17737,63110,18076,16524,
"Extraordinary Items",-14082,13742,6429,8666,4074,4863,,,
"Extraordinary Items: Discontinued operations",-14082,13742,6429,8666,4074,4863,,,
"Income Attributable To Equity Holders",-51209,82047,71846,197068,21811,67973,18076,16524,
"Total Comprehensive Income/Loss for the period",-51209,82047,71846,197068,21811,67973,18076,16524,
"Headline Earnings (Cont Ops)",,66775,29086,36525,21811,38733,18076,5137,
"Enterprise Value (EV)",2184613,2222294,2361968,2010321,925036,913741,900479,1054420,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"13 Aug 2020","14 Feb 2020","8 Aug 2019","8 Mar 2019","24 Aug 2018","9 Mar 2018","7 Sep 2017","30 Mar 2017",
"Ordinary Capital & Premium",1020934,1020934,1020934,1020934,632276,632276,632276,632276,
"Distributable Reserves",132114,228991,258386,231767,55668,56553,56553,16524,
"Ordinary Unitholders Interest",1153048,1249925,1279320,1252701,687944,688829,688829,648800,
"Total Stockholders' Interest",1153048,1249925,1279320,1252701,687944,688829,688829,648800,
"Interest Bearing Loans",1360439,1382356,773006,581091,547386,502893,547194,330565,
"Other Long-Term Liabilities",85617,106470,10502,141665,952,2870,2870,,
"Long-Term Liabilities",1446056,1488826,783508,722756,548338,505763,550064,330565,
"Total Capital Employed",2599104,2738751,2062828,1975457,1236282,1194592,1238893,979365,
"Fixed Assets / Property",2455618,2462715,2617477,2591069,1221001,1219394,1219394,1189400,
"Debtors",5879,6622,6808,6525,4018,4441,4441,13804,
"Cash and Short Term Funds",33670,73592,104097,141621,41436,46048,46048,23501,
"Other Current Assets",261384,305571,204691,127500,,,,,
"Current Assets",300933,385785,315596,275646,45454,50489,50489,37305,
"Total Assets",2756551,2848500,2933073,2866715,1266455,1269883,1269883,1226705,
"Creditors",45436,44306,51799,51827,21572,22636,22636,30429,
"Receiver of Revenue",,,,,,,66,,
"Bank O/D & S/T Loans",7026,61404,816062,837839,7991,52431,8130,216911,
"Other Current Liabilities",104985,4039,2384,1592,610,224,158,,
"Current Liabilities",157447,109749,870245,891258,30173,75291,30990,247340,
"Net Current Assets",143486,276036,-554649,-615612,15281,-24802,19499,-210035,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"13 Aug 2020","14 Feb 2020","8 Aug 2019","8 Mar 2019","24 Aug 2018","9 Mar 2018","7 Sep 2017","30 Mar 2017",
"Number of Linked Units Issued (Actual)",130895000,130895000,130895000,130895000,66305662,66305662,66305662,66305662,
"Weighted Ave Stock Units (Actual)",130895000,130895000,130895000,70911000,66305662,66305662,66305662,31962195,
"Market Capitalisation (R000)",850818,852126,876997,733012,411095,404465,391203,530445,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"13 Aug 2020","14 Feb 2020","8 Aug 2019","8 Mar 2019","24 Aug 2018","9 Mar 2018","7 Sep 2017","30 Mar 2017",
"Earnings Per Linked Unit (ZARc)",-26.82,62.68,22.22,277.91,32.89,102.51,27.26,51.7,
"Diluted Earnings Per Linked Unit (ZARc)",-26.82,62.68,22.22,277.91,32.89,102.51,27.26,51.7,
"Headline Earnings Per Linked Unit (CO) (ZARc)",-26.82,51.01,22.22,51.51,32.89,58.42,27.26,16.07,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-26.82,51.01,22.22,51.51,32.89,58.42,27.26,16.07,
"Distributions Per Linked Unit (ZARc)",12.1,65.14,30.25,64.68,30.1,64.04,29.81,5.61,
"Net Asset Value Per Linked Unit (ZARc)",880.9,955,977.36,957,1038,1039,993,978,
"3 Year Beta",-0.05,0.06,,,,,,,
"Cash Generated Per Linked Unit",29.3,62.78,27.72,46.46,29.88,78.78,44.89,36.1,
"Number of Months",6,12,6,12,6,12,6,12,
"Net Asset Value Per Linked Unit (Base Currency)",880.9,955,977.36,957,1038,1039,993,978,
"Price at Period End (Base Currency)",650,651,670,560,620,610,590,800,
"JSE Market Price at Period End (ZARc)",650,651,670,560,620,610,590,800,
