Income statement (ZAR '000),"Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2017","3 Jul 2017","30 Nov 2016","9 Jun 2016","5 Nov 2015","29 May 2015","7 Nov 2014","2 Jun 2014","13 Nov 2013","4 Jun 2013","6 Nov 2012","22 Jun 2012","30 Nov 2011","31 May 2011","11 Oct 2010","31 May 2010",
"Turnover",213226,389429,198963,511859,273783,483342,244705,463278,243917,400001,212720,305870,175992,370461,227209,484662,
"Cost of Sales",15899,347633,148690,403763,217430,384130,184629,371422,188631,315478,160354,247798,153285,295080,133064,325228,
"Gross Profit",54227,41796,50273,108096,56353,99212,60076,91856,55286,84523,52366,58072,22707,75381,94145,159434,
"Operating Expenses",44825,62964,43591,107315,49648,90010,52256,84876,45747,79428,43060,79815,34215,120781,64226,132132,
"EBITDA (ProfileData Calc)",,,,,,,,,,,,,,-33989,31878,26587,
"Depreciation",,,,,,,,,,,,,,43493,20921,47270,
"Operating Income",14319,1858,8224,5073,10345,17472,14488,14127,11780,7160,9867,-18346,-9419,-88795,11410,-24223,
"Other Income",,,,,,,,,,,,,,11394,,5134,
"Profit Before Exceptional Items",14319,1858,8224,5073,10345,17472,14488,14127,11780,7160,9867,-18346,-9419,-77401,11410,-19089,
"Exceptional Item 1",,,,,,,,26393,,,,,,,,,
"Profit Before Interest And Tax",14319,1858,8224,5073,10345,17472,14488,40520,11780,7160,9867,-18346,-9419,-77401,11410,-19089,
"Interest Received",88,182,-29,196,77,401,342,322,985,475,97,1546,112,,32,630,
"Interest Paid",10629,25585,12434,26670,12947,24463,16261,31980,14322,27318,13729,35928,15649,36313,15860,42862,
"Net Interest Paid/(Received)",10541,25403,12463,26474,12870,24062,15919,31658,13337,26843,13632,34382,15537,36313,15828,42232,
"Income Before Tax",3778,-23545,-4239,-21401,-2525,-6590,-1431,8862,-1557,-19683,-3765,-52728,-24956,-113714,-4418,-63587,
"Taxation",,5268,,-2950,223,2404,-53,-1208,-149,-4365,-138,-425,563,-2007,-5016,-11118,
"Profit For The Period",3778,-28813,-4239,-18451,-2748,-8994,-1378,10070,-1408,-15318,-3627,-52303,-25519,-111707,598,-52469,
"Income Attributable To Minority Interests",,,,,,,,,,,,,,81,485,-42,
"Attributable Income Before Extraordinary Items",3778,-28813,-4239,-18451,-2748,-8994,-1378,10070,-1408,-15318,-3627,-52303,-25519,-111788,113,-52427,
"Extraordinary Profit",,909,-738,644,1917,2760,,,,-2393,,-2650,707,-36795,-3468,3045,
"Extraordinary Profit: Discontinued Operations",,909,-738,644,1917,2760,,,,-2393,,-2650,707,-36795,-3468,,
"Extraordinary Profit: Fair value adjustments",,,,,,,,,,,,,,,,179,
"Extraordinary Profit: Profit for discontinued operations",,,,,,,,,,,,,,,,2866,
"Income Attributable To Equity Holders",3778,-27904,-4977,-17807,-831,-6234,-1378,10070,-1408,-17711,-3627,-54953,-24812,-148583,-3355,-49382,
"Total Comprehensive Income/Loss for the period",4075,-32185,-10414,-12468,-831,5791,,,,,,,,,,,
"Headline Earnings (Cont Ops)",1722,-46123,-5219,-18966,-1440,-7715,-1827,-16081,-169,-16786,-3488,-47785,-18777,-52077,-2667,-28658,
"Enterprise Value (EV)",57165,196259,222012,225872,304439,278736,303116,317590,341346,347724,361453,306452,309554,327303,289530,357414,

Balance sheet (ZAR '000),"Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2017","3 Jul 2017","30 Nov 2016","9 Jun 2016","5 Nov 2015","29 May 2015","7 Nov 2014","2 Jun 2014","13 Nov 2013","4 Jun 2013","6 Nov 2012","22 Jun 2012","30 Nov 2011","31 May 2011","11 Oct 2010","31 May 2010",
"Fixed Assets",239753,250524,240376,294426,322904,316931,322789,332309,321321,339726,357815,370803,342544,365466,525992,545440,
"Investments and Loans",,6366,6535,6167,5864,5864,5531,5213,5003,4875,4664,5223,4114,3968,3712,3712,
"Intangible Assets",,,,,,,,,,,,,,,33465,34153,
"Deferred Tax Asset",1851,1851,4851,4851,5360,5709,7312,7312,10560,10560,,,1617,1617,5700,13002,
"Other Assets",6702,,,,,,,,,,,,,,,,
"Long-Term Receivables",9431,4395,,,,,,,,,,,,,,,
"Total Fixed Assets",257737,263136,251762,305444,334128,328504,335632,344834,336884,355161,362479,376026,348275,371051,568869,596307,
"Stock",18811,17967,19740,27642,37930,37058,34024,26874,25539,19848,20514,17305,12608,14281,31713,28658,
"Debtors",43674,51684,58175,48195,94725,63912,58489,60026,71007,45519,59558,42371,43664,36394,63131,77200,
"Cash",492,640,672,633,1250,179,1185,929,2858,7047,4240,6368,15424,3535,281,2844,
"Tax",,,,,,,,,,,,,,270,,1492,
"Other Current Assets",7877,7877,58081,21291,,,3685,8185,5039,5487,7814,8514,4502,79355,5714,5572,
"Total Current Assets",70854,78168,136668,97761,133905,101149,97383,96014,104443,77901,92126,74558,76198,133835,100839,115766,
"Total Assets",328591,341304,388430,403205,468033,429653,433015,440848,441327,433062,454605,450584,424473,504886,669708,712073,
"Ordinary Share Capital & Premium",178357,178357,178357,178357,178357,178357,178357,178357,178316,178357,177857,178357,178215,174637,176446,175028,
"Distributable Reserves",-218042,-222746,-199819,-194842,-177220,-177744,-176462,-175437,-182329,-182923,-172842,-169215,-139078,-114344,30486,34239,
"Non-Distributable Reserves",1864,1567,1758,1392,1353,1353,1092,892,809,759,345,345,452,374,276,276,
"Other Capital",52006,52871,51522,57326,52380,52735,44743,45098,37294,39296,43299,43299,,,,,
"Ordinary Shareholders' Interest",14185,10049,31818,42233,53870,54701,47730,48910,34090,35489,48659,52786,39589,60667,207208,209543,
"Minority Interest",,,,,,,,,,,,,,784,1188,703,
"Total Shareholders' Interest",14185,10049,31818,42233,53870,54701,47730,48910,34090,35489,48659,52786,39589,61451,208396,210246,
"Interest Bearing Loans",24603,43741,107091,129950,169611,178153,203895,203658,220069,218272,223524,252281,248435,220377,163984,193882,
"Deferred Tax Liability",9497,9497,7040,7039,8758,8884,9152,9152,13722,13860,8795,8921,891,1369,18032,28849,
"Other Long-Term Liabilities",7885,7885,7360,11062,11259,11259,10913,11750,11106,11875,14866,16889,27757,33610,15188,14833,
"Other Long-Term Liabilities: Environmental Liability provision",,,7360,,,,10913,,11106,,14866,,14347,,15188,,
"Other Long-Term Liabilities: Environmental Obligations",,7885,,11062,11259,11259,,11750,,11875,,14866,,13990,,14833,
"Other Long-Term Liabilities: Trade and other payables",,,,,,,,,,,,2023,13410,19620,,,
"Total Long-Term Liabilities",41985,61123,121491,148051,189628,198296,223960,224560,244897,244007,247185,278091,277083,255356,197204,237564,
"Creditors and Provisions",135295,138178,124530,116066,114642,91157,87324,87113,80993,65567,64063,71437,70653,64940,102927,90918,
"Tax",,55,55,55,1119,1119,899,899,898,647,1676,1821,2390,1795,718,2782,
"Bank Overdrafts/Short-Term Loans",22132,131315,91020,80173,108774,84380,73102,79366,80449,87352,93022,30505,32860,75137,62116,69767,
"Other Current Liabilities",114994,584,19516,16627,,,,,,,,15944,1898,46207,98347,100796,
"Total Current Liabilities",272421,270132,235121,212921,224535,176656,161325,167378,162340,153566,158761,119707,107801,188079,264108,264263,
"Total Liabilities",314406,331255,356612,360972,414163,374952,385285,391938,407237,397573,405946,397798,384884,443435,461312,501827,
"Total Equity and Liabilities",328591,341304,388430,403205,468033,429653,433015,440848,441327,433062,454605,450584,424473,504886,669708,712073,

Share/unit data,"Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2017","3 Jul 2017","30 Nov 2016","9 Jun 2016","5 Nov 2015","29 May 2015","7 Nov 2014","2 Jun 2014","13 Nov 2013","4 Jun 2013","6 Nov 2012","22 Jun 2012","30 Nov 2011","31 May 2011","11 Oct 2010","31 May 2010",
"Number of Shares in Issue (Actual)",273038000,273038000,273038000,273038000,273038000,273038000,273038000,273038000,273038000,273038000,273038000,273038000,273017000,246715000,250092000,245913000,
"Weighted Average Shares in Issue (Actual)",273038000,273038000,273038000,273038000,273038000,273038000,273038000,273038000,273038000,273038000,273038000,240334000,208001000,246492000,249852000,184661000,
"Fully Diluted Weighted Average Shares in Issue",273038000,273038000,273038000,273038000,273038000,273038000,273038000,273038000,273038000,273038000,273038000,240334000,208001000,246492000,249852000,184661000,
"Market Capitalisation (R'000)",10922,21843,24573,16382,27304,16382,27304,35495,43686,49147,49147,30034,43683,34540,62523,95906,
"Number of Months",6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,
"Number of Employees",,,,,,,,,,,,,,,,1000,

Share statistics,"Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2017","3 Jul 2017","30 Nov 2016","9 Jun 2016","5 Nov 2015","29 May 2015","7 Nov 2014","2 Jun 2014","13 Nov 2013","4 Jun 2013","6 Nov 2012","22 Jun 2012","30 Nov 2011","31 May 2011","11 Oct 2010","31 May 2010",
"Earnings Per Share (ZARc)",1.38,-10.22,-1.82,-6.52,-1.01,-2.28,-0.5,3.69,-0.52,-6.49,-1.33,-22.86,-11.93,-60.28,-1.34,-28.39,
"Diluted Earnings Per Share (ZARc)",,-10.22,-1.82,-6.52,-0.3,-2.28,-0.5,3.69,-0.52,-6.49,-1.33,-22.86,-11.93,-60.28,-1.34,-26.74,
"Headline Earnings Per Share (Cont Ops) (ZARc)",0.63,-17.25,-1.64,-7.82,-1.23,-2.83,-0.67,-6.07,-0.06,-6.15,-1.28,-19.88,-9.03,-21.12,-1.07,-15.52,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",,-17.25,,-7.82,,-2.83,-0.67,-6.07,-0.06,-6.15,-1.28,-19.88,-9.03,-21.12,-1.07,-15.52,
"Net Asset Value Per Share (ZARc)",5.2,3.68,11.65,15.47,19.73,20.03,17.48,17.91,12.49,13,17.82,19.33,14.5,24.59,83.3,85.5,
"3 Year Beta",1.22,2.17,2.75,3.21,3.07,3.34,2.85,3.47,2.58,1.49,0.82,0.47,1.4,0.9,1.06,0.99,
"Cash Generated Per Share",4.08,8.73,3.72,22.57,1.61,7.35,3.01,7.97,0.53,2.44,-5.67,-2.39,-0.43,14.57,15.82,15.42,
"Net Asset Value Per Share (Base Currency)",5.2,3.68,11.65,15.47,19.73,20.03,17.48,17.91,12.49,13,17.82,19.33,14.5,24.59,83.3,85.5,
"Price at Period End (Base Currency)",4,8,9,6,10,6,10,13,16,18,18,11,16,14,25,39,
"JSE Market Price High (ZARc)",9,13,13,15,15,16,16,20,20,30,19,25,25,54,54,79,
"JSE Market Price Low (ZARc)",3,4,4,5,5,6,10,10,10,8,8,10,10,14,20,29,
"JSE Market Price at Period End (ZARc)",4,8,9,6,10,6,10,13,16,18,18,11,16,14,25,39,
"JSE Volume Traded (Actual)",8095113,13858483,8293405,19356287,11964144,15867677,7223527,11525417,3051970,11985268,7525693,17268895,11276625,31044423,12260669,31795934,
"JSE Rand Value Traded (Actual)",408216,1162734,738379,1922111,1252977,1668840,890748,1522656,429552,1753359,992586,2548247,1767189,9108878,4568538,15888029,
"12 Month HEPS",-14.98,-17.25,-8.23,-7.82,-3.39,-2.83,-6.68,-6.07,-4.93,-6.15,-12.13,-19.88,-29.04,-21.12,-9.37,-15.52,

Cash flow items,"Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
