Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Nov 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (13m)","Interim (6m)",
,"30 Sep 2020","20 Feb 2020","19 Sep 2019","18 Feb 2019","31 Aug 2018","7 Feb 2018",
"Turnover",508088,264497,473159,225836,444828,199092,
"Other Expenses",139416,71671,119017,56979,99376,40820,
"Net Rental / Investment Income",368672,192826,354142,168857,345452,158272,
"Interest Receivable",10988,5438,14022,7453,16776,3581,
"Other Income",12955,5238,7670,3821,11074,4577,
"Depreciation",,250,1293,248,1017,,
"Total Income",392615,203502,375834,180131,373302,166430,
"Interest Payable",146283,76123,137327,68132,152147,69511,
"Expenses",39172,21853,34033,19290,34481,14114,
"Income Before Exceptional Items",207160,105526,204474,92709,186674,82805,
"Exceptional Item 1",-117654,84877,17910,25330,328583,155497,
"Income From Associates Before Tax",266,-191,-3003,-69,781,3543,
"Income Before Tax",89772,190212,219381,117970,516038,241845,
"Tax",1714,690,5458,2756,6098,535,
"Profit For The Period",88058,189522,213923,115214,509940,241310,
"Income Attributable To Minority Interests",5348,8563,4724,1057,11495,6030,
"Net Income Before Extraords",82710,180959,209199,114157,498445,235280,
"Income Attributable To Equity Holders",82710,180959,209199,114157,498445,235280,
"Headline Earnings (Cont Ops)",189686,102573,187652,86572,179899,81053,
"Enterprise Value (EV)",4662189,4530751,4451324,4403637,4357595,4116638,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Nov 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (13m)","Interim (6m)",
,"30 Sep 2020","20 Feb 2020","19 Sep 2019","18 Feb 2019","31 Aug 2018","7 Feb 2018",
"Ordinary Capital & Premium",2548624,2548624,2548624,2548624,2548624,2551062,
"Distributable Reserves",279300,481623,406325,412164,410841,235280,
"Ordinary Unitholders Interest",2827924,3030247,2954949,2960788,2959465,2786342,
"Minority Interest",45144,53438,44875,44613,46400,59851,
"Total Stockholders' Interest",2873068,3083685,2999824,3005401,3005865,2846193,
"Interest Bearing Loans",1634066,631520,914734,1587992,1211036,1507820,
"Other Long-Term Liabilities",17676,6123,6304,2415,,1536,
"Long-Term Liabilities",1651742,637643,921038,1590407,1211036,1509356,
"Deferred Tax Liability",63424,63116,63116,62057,59808,54645,
"Total Capital Employed",4588234,3784444,3983978,4657865,4276709,4410194,
"Investments In Associates",7093,7236,7427,10360,10430,13192,
"Fixed Assets / Property",4532865,4773696,4612187,4534494,4477336,4166341,
"Other Assets",35359,35367,35130,34864,34788,43456,
"Debtors",32738,32810,31577,20713,24165,64823,
"Cash and Short Term Funds",86258,21313,27639,38322,113081,112525,
"Other Current Assets",93135,43481,44411,78059,80678,56356,
"Other Current Assets: Current Tax Asset",,,,,,1901,
"Other Current Assets: Financial assets",45621,42364,43318,75156,77760,,
"Other Current Assets: Loans to related companies",,,,,,54455,
"Other Current Assets: Non-current assets",47500,,,,,,
"Other Current Assets: Taxation",14,1117,1093,2903,2918,,
"Current Assets",212131,97604,103627,137094,217924,233704,
"Total Assets",4787448,4913903,4758371,4716812,4740478,4456693,
"Creditors",67029,71707,64393,58947,59071,43634,
"Bank O/D & S/T Loans",132185,1057752,710000,,403886,2865,
"Other Current Liabilities",,,,,812,,
"Current Liabilities",199214,1129459,774393,58947,463769,46499,
"Net Current Assets",12917,-1031855,-670766,78147,-245845,187205,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Nov 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (13m)","Interim (6m)",
,"30 Sep 2020","20 Feb 2020","19 Sep 2019","18 Feb 2019","31 Aug 2018","7 Feb 2018",
"Number of Linked Units Issued (Actual)",255395858,255395858,255395858,255395858,255395858,255637235,
"Weighted Ave Stock Units (Actual)",255395858,255395858,255395858,255395858,252363996,255637235,
"Fully Diluted Weighted Average Shares in Issue",255395858,255395858,255395858,255395858,252363996,255637235,
"Market Capitalisation (R000)",2937052,2809354,2809354,2809354,2809354,2658627,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Nov 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (13m)","Interim (6m)",
,"30 Sep 2020","20 Feb 2020","19 Sep 2019","18 Feb 2019","31 Aug 2018","7 Feb 2018",
"Earnings Per Linked Unit (ZARc)",32.39,70.85,81.91,44.7,197.51,92.04,
"Diluted Earnings Per Linked Unit (ZARc)",32.39,70.85,81.91,44.7,197.51,92.04,
"Headline Earnings Per Linked Unit (CO) (ZARc)",74.27,40.16,73.47,33.9,71.29,31.71,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",74.27,40.16,73.47,33.9,71.29,31.71,
"Distributions Per Linked Unit (ZARc)",84.2,40.75,80.87,39.5,79.27,35.09,
"Net Asset Value Per Linked Unit (ZARc)",1107.27,1186.49,1157.01,1159.29,1158.78,1089.96,
"Cash Generated Per Linked Unit",86.31,43.6,79.89,39.86,101.03,-53.27,
"Number of Months",12,6,12,6,13,6,
"Net Asset Value Per Linked Unit (Base Currency)",1107.27,1186.49,1157.01,1159.29,1158.78,1089.96,
"Price at Period End (Base Currency)",1150,1100,1100,1100,1100,1040,
"JSE Market Price at Period End (ZARc)",1150,1100,1100,1100,1100,1040,
"JSE Market Price High (ZARc)",1150,1100,1100,1100,1100,1040,
"JSE Market Price Low (ZARc)",1000,1000,1000,1055,1000,1000,
"JSE Volume Traded (Actual)",309,209,226050,25100,909538,233200,
"JSE Rand Value Traded (Actual)",3379,2229,2485468,275335,9560871,2343720,
"12 Month HEPS",74.27,79.73,73.47,66.8,71.29,63.42,
"12 Month Dividend",84.2,82.12,80.87,83.68,79.27,35.09,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Nov 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (13m)","Interim (6m)",
,"30 Sep 2020","20 Feb 2020","19 Sep 2019","18 Feb 2019","31 Aug 2018","7 Feb 2018",
"Cash generated from operations after WC",356052,182739,327668,162975,394998,202188,
"Net Cash flow from operating activities",220430,111340,204038,101803,258031,-136176,
"Net cash flow from investing activities",-87331,-76545,-77044,-36798,-277555,-142519,
"Net cash flow from financing activities",-74480,-41121,-212436,-139764,132605,118868,
"Dividends paid",-215541,-105661,-217120,-112834,-89934,,
"Net increase(decrease) in cash & cash equivalents",58619,-6326,-85442,-74759,113081,112525,
"Cash & Cash Equivalent beginning of period",27639,27639,113081,113081,,,
"Cash & Cash Equivalent end of period",86258,21313,27639,38322,113081,112525,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Nov 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (13m)","Interim (6m)",
,"30 Sep 2020","20 Feb 2020","19 Sep 2019","18 Feb 2019","31 Aug 2018","7 Feb 2018",
"Turnover Per Share",198.94,207.13,185.26,176.85,162.71,155.76,
"Price/Sales Per Share",5.78,5.31,5.94,6.22,6.76,6.68,
"Price/Net Asset Value",1.04,0.93,0.95,0.95,0.95,0.95,
"Price/Cash Flow",13.32,50.46,13.77,55.19,10.05,-39.05,
"Return on Capital Employed",1.92,10.02,5.37,4.95,11.01,10.94,
"Return on Stockholder Funds",3.06,12.29,7.13,7.67,15.66,16.96,
"Return on Total Assets",8.21,8.27,7.84,7.63,7.28,7.63,
"Operating Profit Margin",77.27,76.94,79.43,79.76,83.92,83.59,
"Net Profit Margin",22.43,93.85,59.07,67.61,144.29,148.66,
"Debt : Equity",0.62,0.55,0.54,0.53,0.54,0.53,
"Current Ratio",1.06,0.09,0.13,2.33,0.47,5.03,
"Dividend Cover",0.38,1.74,1.01,1.13,2.49,2.62,
"Debtors Collection Period",32.41,31.05,32.55,22.39,27.66,74.75,
"Operating Return on Investment",8.13,8.08,7.68,7.45,7.12,7.6,
"Operating Income : Turnover",72.56,72.9,74.85,74.77,77.66,79.5,
"Return on Stockholder Funds",7.48,6.75,6.89,6.71,6.22,6.3,
"NAV%Price",96.28,107.86,105.18,105.39,105.34,104.8,
"Price : Earnings",15.48,13.8,14.97,16.47,15.43,16.4,
"Profitability %",7.15,7.17,6.89,6.5,6.27,6.67,
"Solvency %",250.08,268.49,270.59,275.61,273.29,276.73,
"Int Bearing Debt : Total Assets",0.37,0.34,0.34,0.34,0.34,0.34,
"Liquidity %",11.51,12.17,11.6,11.9,13.73,-16.91,
"EV/Ebitda (Pd)",,,,,,17.2,
"Cash Flow : Attributable Profit",1.1,2.32,1.07,2.29,1.4,-3.41,
"Loan to value ratio",36,16.85,23.12,34.14,28.32,34.22,
"PEG Ratio",11.2,9.02,9.79,,,,

