Income statement (ZAR '000),"Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"31 Aug 2020","27 Aug 2020","30 Jun 2020","20 Feb 2020","29 Jan 2020","11 Sep 2019","20 Mar 2019","30 Nov 2015","25 May 2015","24 Nov 2014",
"Turnover",24403,15942,26377,12519,24579,12549,38474,23925,21445,34291,
"Cost of Sales",6250,3006,3349,625,2564,1649,9938,9779,504,20197,
"Gross Profit",18153,12936,23028,11894,22015,10900,28536,14146,20941,14094,
"Operating Income",-2075,1018,-4358,-576,22948,30400,-34817,-12310,-141021,7271,
"Profit Before Exceptional Items",-2075,1018,-4358,-576,22948,30400,-34817,-12310,-141021,7271,
"Exceptional Item 1",5381,-1080,17547,10327,7223,-108,30890,14023,-150635,404217,
"Profit Before Interest And Tax",3306,-62,13189,9751,30171,30292,-3927,1713,-291656,411488,
"Interest Received",472,303,191,33,987,771,2856,1749,804,3,
"Interest Paid",12489,5613,13556,6576,14067,6069,12858,4959,4509,704,
"Net Interest Paid/(Received)",12017,5310,13365,6543,13080,5298,10002,3210,3705,701,
"Income Before Tax",-8711,-5372,-176,3208,17091,24994,-13929,-1497,-295361,410787,
"Taxation",2040,758,4723,2021,4996,-1933,2725,5962,639,24609,
"Profit For The Period",-10751,-6130,-4899,1187,12095,26927,-16654,-7459,-296000,386178,
"Attributable Income Before Extraordinary Items",-10751,-6130,-4899,1187,12095,26927,-16654,-7459,-296000,386178,
"Extraordinary Profit",,,,,,,,,,2350,
"Extraordinary Profit: Discontinued Operations",,,,,,,,,,2350,
"Income Attributable To Equity Holders",-10751,-6130,-4899,1187,12095,26927,-16654,-7459,-296000,388528,
"Total Comprehensive Income/Loss for the period",-10751,-6130,-4899,1187,12095,26927,-16654,-7459,,,
"Headline Earnings (Cont Ops)",-17221,-5647,-16596,-4662,-11784,476,-21341,-12379,-163351,4719,
"Enterprise Value (EV)",125893,124614,119813,128232,138029,138768,193640,254921,397825,559195,

Balance sheet (ZAR '000),"Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"31 Aug 2020","27 Aug 2020","30 Jun 2020","20 Feb 2020","29 Jan 2020","11 Sep 2019","20 Mar 2019","30 Nov 2015","25 May 2015","24 Nov 2014",
"Fixed Assets",2332,2129,2287,1784,2130,1839,1572,1437,1528,4461,
"Investments and Loans",268739,274604,268187,215579,211926,191480,191978,338869,308402,1412940,
"Intangible Assets",,,,4,,40,59,78,94,,
"Deferred Tax Asset",,,,,,3537,,,,,
"Other Assets",2682,29,5217,,4699,,,,,,
"Total Fixed Assets",273753,276762,275691,217367,218755,196896,193609,340384,310024,1417401,
"Stock",97,191,3197,5921,6546,7461,12235,13324,19855,87177,
"Debtors",5178,6003,15347,30084,34788,50102,27816,27867,23808,38669,
"Cash",2362,3442,9347,717,1415,895,2875,6048,1824,1367,
"Tax",468,439,468,468,617,609,4338,611,3250,,
"Other Current Assets",5122,7054,8833,63540,76139,95079,100010,2268,278,,
"Total Current Assets",13227,17129,37192,100730,119505,154146,147274,50118,49015,127213,
"Total Assets",286980,293891,312883,318097,338260,351042,340883,390502,359039,1544614,
"Ordinary Share Capital & Premium",446701,446701,446701,446701,446701,446701,443237,426871,421943,870077,
"Treasury Shares",23914,23914,18318,18019,11802,7036,6086,1,48,,
"Distributable Reserves",-328293,-323693,-317542,-311456,-312643,-297811,-324738,-321857,-314398,370975,
"",,,,,,,,,,12895,
"Other Capital",,,,,,,3464,3464,,,
"Ordinary Shareholders' Interest",94494,99094,110841,117226,122256,141854,115877,108477,107497,1253947,
"Total Shareholders' Interest",94494,99094,110841,117226,122256,141854,115877,108477,107497,1253947,
"Interest Bearing Loans",42645,43746,43550,43339,45673,45430,45178,50654,,24568,
"Deferred Tax Liability",35604,36281,36319,34954,33982,30590,30479,35854,31018,227323,
"Share Incentive Scheme",,,,,,,,24681,,,
"Other Long-Term Liabilities",14922,67497,61464,67427,73592,77387,82283,85122,167581,,
"Total Long-Term Liabilities",93171,147524,141333,145720,153247,153407,157940,196311,198599,251891,
"Creditors and Provisions",30286,28070,29669,26787,28225,20309,37478,35115,26249,16297,
"Tax",17781,15784,15026,13687,12789,12789,12798,13645,9908,,
"Bank Overdrafts/Short-Term Loans",1300,,1300,1300,9461,9923,9890,8814,9378,22479,
"Other Current Liabilities",49948,3419,14714,13379,12282,12760,6900,28140,7408,,
"Total Current Liabilities",99315,47273,60709,55153,62757,55781,67066,85714,52943,38776,
"Total Liabilities",192486,194797,202042,200871,216004,209188,225006,282025,251542,290667,
