Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)","Final (12m)","Interim (6m)","Final (9m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"25 Nov 2020","27 May 2020","27 Nov 2019","15 May 2019","21 Nov 2018","16 May 2018","15 Nov 2017","17 May 2017","21 Nov 2016","19 May 2016","20 Nov 2015","22 May 2015","20 Feb 2015","28 Aug 2014","20 Feb 2014","26 Aug 2013","28 Feb 2013","5 Sep 2012","7 Mar 2012",
"Turnover",2222.086,1191.81,2506.258,1249.9,767.762,370.914,701.635,314.907,165,399.499,170.33,241.324,160.343,303.671,154.379,253.366,114.069,53.063,8.199,
"Admin & Collection Fees",104.053,51.33,89.424,35.525,13.361,5.115,8.531,5.939,1.708,3.21,2.174,14.515,8.699,14.301,6.739,12.876,6.21,4.746,1.846,
"Other Expenses",954.869,473.139,967.079,471.511,286.703,133.026,263.056,125.209,80.01,148.38,68.145,93.693,62.67,115.265,57.714,90.733,41.376,15.407,2.558,
"Net Rental / Investment Income",1163.164,667.341,1449.755,742.864,467.698,232.773,430.048,183.759,83.282,247.909,100.011,133.116,88.975,174.105,89.926,149.757,66.483,32.91,3.795,
"Interest Receivable",46.014,9.212,73.891,40.158,23.396,11.668,20.468,10.964,1.229,1.628,0.624,0.915,0.526,0.939,0.468,1.597,1.101,8.799,5.378,
"Other Income",,,,,,,,,,,,,,195.582,14.398,160.657,26.23,153.134,32.144,
"Depreciation",,,733.8,,44.189,,15.512,,,,,,,,,,,,,
"Total Income",1209.178,676.553,1523.646,783.022,491.094,244.441,450.516,194.723,84.511,249.537,100.635,134.031,89.501,370.626,104.792,312.011,93.814,194.843,41.317,
"Debenture Interest",,,,,,,,,,,,76.332,51.025,102.322,49.332,93.787,45.416,30.865,6.99,
"EBITDA (ProfileData Calc)",,,518.354,,280.994,,529.435,,,,,,,,,,,,,
"Interest Payable",574.35,303.281,627.848,316.941,122.827,53.457,91.577,46.407,46.221,84.908,40.796,58.761,39.052,72.757,34.342,48.097,23.925,6.126,1.549,
"Expenses",,,,,,,,,,,,34.383,,,,,,,,
