Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"19 Nov 2020","26 May 2020","20 Dec 2019","1 Apr 2019","12 Nov 2018","15 May 2018",
"Turnover",2885214,1347059,1959292,689968,638893,348672,
"Cost of Sales",2259858,1034524,1400019,509582,440935,223859,
"Gross Profit",625356,312535,559273,180116,197958,124813,
"Operating Expenses",752673,372641,562230,189490,199536,83576,
"Operating Income",-141310,20024,-37345,9095,-5606,15845,
"Profit Before Exceptional Items",-141310,20024,-37345,9095,-5606,15845,
"Exceptional Item 1",,,,,-23597,,
"Profit Before Interest And Tax",-141310,20024,-37345,9095,-29203,15845,
"Interest Received",241794,138679,322856,158059,226954,63367,
"Interest Paid",17429,7635,10918,1394,1754,1324,
"Net Interest Paid/(Received)",-224365,-131044,-311938,-156665,-225200,-62043,
"Income From Associates Before Tax",20571,9291,-1608,,,,
"Income Before Tax",103626,160359,272985,165760,195997,77888,
"Taxation",70846,35633,91186,54208,48040,27065,
"Profit For The Period",32780,124726,181799,111552,147957,50823,
"Income Attributable To Minority Interests",11437,1889,31200,13100,3671,9957,
"Attributable Income Before Extraordinary Items",21343,122837,150599,98452,144286,40866,
"Income Attributable To Equity Holders",21343,122837,150599,98452,144286,40866,
"Total Comprehensive Income/Loss for the period",31946,124821,181802,111528,147929,65934,
"Headline Earnings (Cont Ops)",27592,123232,149358,94281,147716,40263,
"Enterprise Value (EV)",-1313662,-2515080,-792305,2605077,6045984,7913189,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"19 Nov 2020","26 May 2020","20 Dec 2019","1 Apr 2019","12 Nov 2018","15 May 2018",
"Fixed Assets",91110,81544,102776,98301,7169,6729,
"Right-of-use Asset",35292,,,,,,
"Investments in Associates",18963,9324,,,,,
"Investments and Loans",375497,374869,289978,176996,2022,4813,
"Goodwill",131152,131152,131152,131152,35248,38545,
"Intangible Assets",82783,80097,79828,66116,17743,13276,
"Deferred Tax Asset",44547,17131,36913,22835,3710,3335,
"Other Assets",26189,208276,12465,9381,6890,668,
"Long-Term Receivables",,,350,2039,,,
"Total Fixed Assets",805533,902393,653462,506820,72782,67366,
"Stock",142364,164313,178991,137285,12378,11742,
"Debtors",692926,629242,584491,506858,183222,174855,
"Cash",3225171,3356935,3680216,3617032,4308698,4242280,
"Tax",3061,2953,2329,2173,662,680,
"Other Current Assets",119848,35829,30110,464422,93390,72497,
"Total Current Assets",4183370,4189272,4476137,4727770,4598350,4502054,
"Total Assets",4988903,5091665,5129599,5234590,4671132,4569420,
"Ordinary Share Capital & Premium",4444410,4444410,4444410,4444410,4444410,4444409,
"Distributable Reserves",-227111,-8940,-77458,-12288,-7501,-103182,
"Non-Distributable Reserves",-39847,-39089,-30470,-3010,11777,11809,
"Ordinary Shareholders' Interest",4177452,4396381,4336482,4429112,4448686,4353036,
"Minority Interest",118640,133006,134392,127763,20294,24373,
"Total Shareholders' Interest",4296092,4529387,4470874,4556875,4468980,4377409,
"Interest Bearing Loans",,,2853,,575,,
"Retirement Obligation",6375,,6665,,,,
"Other Long-Term Liabilities",24528,60839,53524,86652,,1990,
"Total Long-Term Liabilities",30903,60839,63042,86652,575,1990,
"Creditors and Provisions",559206,398605,469930,502977,144059,129414,
"Dividends",9382,10999,5093,13551,,,
"Tax",11628,16917,24124,36925,41636,17223,
"Bank Overdrafts/Short-Term Loans",3424,20601,1106,3330,10057,3189,
"Other Current Liabilities",78268,54317,95430,34280,5825,40195,
"Total Current Liabilities",661908,501439,595683,591063,201577,190021,
"Total Liabilities",692811,562278,658725,677715,202152,192011,
"Total Equity and Liabilities",4988903,5091665,5129599,5234590,4671132,4569420,

