Income statement (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"13 Oct 2020","5 May 2020","10 Oct 2019","9 May 2019","11 Oct 2018","10 May 2018","12 Oct 2017","10 May 2017","13 Oct 2016","5 May 2016","15 Oct 2015","13 May 2015","10 Oct 2014",
"Turnover",510.382,993.699,492.458,766.158,335.654,573.698,262.615,502.431,249.911,335.679,111.648,130.592,51.038,
"Admin & Collection Fees",69.358,115.893,62.295,107.384,48.464,87.957,38.39,77.408,40.026,42.454,14,7.742,9.369,
"Net Rental / Investment Income",441.024,877.806,430.163,658.774,287.19,485.741,224.225,425.023,209.885,293.225,97.648,122.85,41.669,
"Interest Receivable",12.87,6.494,2.342,3.223,7.179,24.99,8.776,3.292,12.328,3.667,0.558,2.425,2.024,
"Other Income",,-20.162,,-81.959,,208.343,12.922,175.442,0.804,1.248,0.177,,,
"Depreciation",,1.851,,1.465,,0.941,,0.483,,,,,,
"Total Income",453.894,864.138,432.505,580.038,294.369,719.074,245.923,603.757,223.017,298.14,98.383,125.275,43.693,
"EBITDA (ProfileData Calc)",,825.551,,,,,,,,,,,,
"Interest Payable",232.252,218.529,143.782,70.731,16.486,68.765,37.312,79.106,17.606,40.074,18.721,15.628,10.736,
"Expenses",34.043,53.117,26.213,42.413,17.397,33.055,12.01,27.726,9.913,16.973,5.242,14.901,2.142,
"Income Before Exceptional Items",187.599,592.492,262.51,466.894,260.486,617.254,196.601,496.925,195.498,241.093,74.42,94.746,30.815,
"Exceptional Item 1",-313.086,21.764,191.509,220.212,-27.989,239.547,272.97,309.138,116.663,142.777,134.106,89.285,-16.545,
"Income Before Tax",-125.487,614.256,454.019,687.106,232.497,856.801,469.571,806.063,312.161,383.87,208.526,184.031,14.27,
"Tax",-1.397,-76.996,-35.846,-28.854,-12.237,-34.313,,,,,,,,
"Profit For The Period",-124.09,691.252,489.865,715.96,244.734,891.114,469.571,806.063,312.161,383.87,208.526,184.031,14.27,
"Income Attributable To Minority Interests",-2.327,9.085,4.017,46.104,18.658,21.317,2.682,21.317,0.387,,,,,
"Net Income Before Extraords",-121.763,682.167,485.848,669.856,226.076,869.797,466.889,784.746,311.774,383.87,208.526,184.031,14.27,
"Income Attributable To Equity Holders",-121.763,682.167,485.848,669.856,226.076,869.797,466.889,784.746,311.774,383.87,208.526,184.031,14.27,
"Total Comprehensive Income/Loss for the period",395.424,953.491,471.675,1009.022,574.711,717.74,483.504,632.689,309.609,383.87,208.526,184.031,,
"Headline Earnings (Cont Ops)",-46.08,667.067,361.473,489.626,123.508,633.738,216.287,490.424,241.027,245.341,76.941,68.422,15.037,
"Enterprise Value (EV)",16171.488,14531.91,15492.58,13555.128,9400.886,8360.445,6900.91,6022.172,3961.956,3454.088,1991.601,1449.94,1176.478,

Balance sheet (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"13 Oct 2020","5 May 2020","10 Oct 2019","9 May 2019","11 Oct 2018","10 May 2018","12 Oct 2017","10 May 2017","13 Oct 2016","5 May 2016","15 Oct 2015","13 May 2015","10 Oct 2014",
"Ordinary Capital & Premium",9109.583,8046.457,7854.027,7026.68,6050.25,5203.773,5201.191,4193.749,3184.368,3180.784,1592.471,1140.599,1131.884,
"Distributable Reserves",789.373,1370.734,1591.696,1442.632,1308.122,1339.846,1186.564,919.099,607.477,438.689,321.959,160.215,13.585,
