Income statement (ZAR '000),"Feb 2016","Feb 2015","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 May 2017","23 May 2017","28 Nov 2014","2 Dec 2013","31 May 2013","28 Nov 2012","1 Jun 2012","28 Oct 2011","31 May 2011","30 Nov 2010","30 Jun 2010",
"Turnover",18011,19232,28293,15622,44798,26022,49237,22462,47514,21460,71735,
"Cost of Sales",7571,8157,12681,,16911,,,,,,,
"Gross Profit",10438,11075,15612,,27887,,,,,,,
"Operating Expenses",19469,22513,29423,,32226,,,,,,,
"Operating Income",-8362,-4058,-13796,-5828,-4228,-1070,34626,-1674,-14841,-6857,-13280,
"Profit Before Exceptional Items",-8362,-4058,-13796,-5828,-4228,-1070,34626,-1674,-14841,-6857,-13280,
"Profit Before Interest And Tax",-8362,-4058,-13796,-5828,-4228,-1070,34626,-1674,-14841,-6857,-13280,
"Interest Received",8,4,57,,,,34,,198,,,
"Interest Paid",6711,1821,4284,,4000,,4427,,4132,,,
"Net Interest Paid/(Received)",6703,1817,4227,2187,4000,2009,4393,1952,3934,1799,1796,
"Income Before Tax",-15065,-5875,-18023,-8015,-8228,-3079,-6660,-3626,-16772,-8656,-15076,
"Taxation",,-448,387,173,1673,-44,-731,-991,-2109,-2092,-2442,
"Profit For The Period",-15065,-5427,-18410,-8188,-9901,-3035,-5929,-2635,-14663,-6564,-12634,
"Attributable Income Before Extraordinary Items",-15065,-5427,-18410,-8188,-9901,-3035,-5929,-2635,-14663,-6564,-12634,
"Income Attributable To Equity Holders",-15065,-5427,-18410,-8188,-9901,-3035,-5929,-2635,-14663,-6564,-12634,
"Total Comprehensive Income/Loss for the period",-15065,-4274,-18410,,-8194,,,,,,,
"Headline Earnings (Cont Ops)",-15065,-6344,-18359,-8199,-7852,-986,-5200,-2782,-9568,-5125,-5327,
"Enterprise Value (EV)",41953,28766,27240,7803,23104,7803,28205,7803,33626,11704,50529,

Balance sheet (ZAR '000),"Feb 2016","Feb 2015","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 May 2017","23 May 2017","28 Nov 2014","2 Dec 2013","31 May 2013","28 Nov 2012","1 Jun 2012","28 Oct 2011","31 May 2011","30 Nov 2010","30 Jun 2010",
"Fixed Assets",1934,2653,2621,,4879,,,,,,,
"Intangible Assets",961,1211,,,321,,,,,,,
"Deferred Tax Asset",,,,,417,,,,,,,
"Total Fixed Assets",2895,3864,2621,4506,5617,5469,10234,12126,13382,17373,15468,
"Debtors",4686,3878,4657,,6329,,,,,,,
"Cash",140,859,1248,,4563,,,,,,,
"Total Current Assets",4826,4737,5905,9897,10892,18385,17814,14923,16764,17323,26580,
"Total Assets",7721,8601,8526,14403,16509,23854,28048,27049,30146,34696,42048,
"Ordinary Share Capital & Premium",19122,19122,18122,,18122,,,,,,,
"Distributable Reserves",-78132,-63693,-58634,,-30964,,,,,,,
"Non-Distributable Reserves",1203,1829,1044,,1707,,,,,,,
"Other Capital",12928,11374,,,-9923,,,,,,,
"Ordinary Shareholders' Interest",-44879,-31368,-39468,-29246,-21058,-15899,-12864,-9410,-6776,997,5108,
"Total Shareholders' Interest",-44879,-31368,-39468,-29246,-21058,-15899,-12864,-9410,-6776,997,5108,
"Interest Bearing Loans",31808,23859,58,,87,,24304,,21922,,23220,
"Deferred Tax Liability",,,,,478,,,,,,504,
"Total Long-Term Liabilities",31808,23859,58,736,565,23955,24304,22378,21922,20858,23724,
"Creditors and Provisions",13941,13112,21940,,12417,,,,,,,
"Tax",1467,1467,1467,,906,,,,,,,
"Bank Overdrafts/Short-Term Loans",5384,1531,24529,,23679,,,,,,,
"Total Current Liabilities",20792,16110,47936,42913,37002,15798,16608,14081,15000,12841,13216,
"Total Liabilities",52600,39969,47994,43649,37567,39753,40912,36459,36922,33699,36940,
"Total Equity and Liabilities",7721,8601,8526,14403,16509,23854,28048,27049,30146,34696,42048,

Share/unit data,"Feb 2016","Feb 2015","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 May 2017","23 May 2017","28 Nov 2014","2 Dec 2013","31 May 2013","28 Nov 2012","1 Jun 2012","28 Oct 2011","31 May 2011","30 Nov 2010","30 Jun 2010",
"Number of Shares in Issue (Actual)",490135000,423467000,390135000,390134000,390134000,390134000,390134690,390134000,390134690,390135000,390135000,
"Treasury Shares",,,,,,,3771484,,3771474,,,
"Weighted Average Shares in Issue (Actual)",486363000,419696000,386363000,386363000,386363206,386363000,386363206,386363000,386363206,386364000,386368000,
"Market Capitalisation (R'000)",4901,4235,3901,7803,3901,7803,3901,7803,11704,11704,27309,
"Number of Months",12,12,12,6,12,6,12,6,12,6,12,

Share statistics,"Feb 2016","Feb 2015","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 May 2017","23 May 2017","28 Nov 2014","2 Dec 2013","31 May 2013","28 Nov 2012","1 Jun 2012","28 Oct 2011","31 May 2011","30 Nov 2010","30 Jun 2010",
"Earnings Per Share (ZARc)",-3.1,-1.29,-4.76,-2.12,-2.56,-0.79,-1.53,-0.68,-3.8,-1.7,-3.27,
"Diluted Earnings Per Share (ZARc)",,,-4.76,-2.12,-2.56,-0.79,-1.53,-0.68,-3.8,-1.7,-3.27,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-3.1,-1.51,-4.75,-2.12,-2.03,-0.26,-1.35,-0.72,-2.48,-1.33,-1.38,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",,,-4.75,-2.12,-2.03,-0.26,-1.35,-0.72,-2.48,-1.33,-1.38,
"Net Asset Value Per Share (ZARc)",-9.25,-6.45,-10.22,-7.57,-5.45,-4.08,-3.33,-2.41,-1.75,0.26,1.31,
"3 Year Beta",-1.19,-3.42,-1.54,-0.61,0.85,-0.3,0.43,-1.26,,,,
"Cash Generated Per Share",-1.65,-0.96,-0.79,-0.75,0.95,-0.09,-0.04,0.02,-0.24,-0.28,0.53,
"Net Asset Value Per Share (Base Currency)",-9.25,-6.45,-10.22,-7.57,-5.45,-4.08,-3.33,-2.41,-1.75,0.26,1.31,
"Price at Period End (Base Currency)",1,1,1,2,1,2,1,2,3,3,7,
"JSE Market Price High (ZARc)",1,1,3,3,4,3,4,4,7,7,18,
"JSE Market Price Low (ZARc)",1,1,1,1,1,1,1,2,3,3,2,
"JSE Market Price at Period End (ZARc)",1,1,1,2,1,2,1,2,3,3,7,
"JSE Volume Traded (Actual)",,,15334465,3368697,22228917,17295209,129148361,36334882,34586128,27997759,23503489,
