Income statement (AUD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Sep 2020","11 Mar 2020","25 Sep 2019","7 Mar 2019","27 Sep 2018","16 Mar 2018",
"Operating Expenses",8050,,8807,,7446,,
"Operating Income",-7980,-4425,-8760,-3864,-6246,-3246,
"Other Income",-11258,,-457,,-709,,
"Profit Before Exceptional Items",-19238,-4425,-9217,-3864,-6955,-3246,
"Exceptional Item 1",,-610,,-230,,-182,
"Profit Before Interest And Tax",-19238,-5035,-9217,-4094,-6955,-3428,
"Interest Received",1893,633,227,125,214,98,
"Interest Paid",1293,757,1760,790,2005,1094,
"Net Interest Paid/(Received)",-600,124,1533,665,1791,996,
"Income Before Tax",-18638,-5159,-10750,-4759,-8746,-4424,
"Taxation",13,,,,,,
"Profit For The Period",-18651,-5159,-10750,-4759,-8746,-4424,
"Income Attributable To Minority Interests",-1096,,-989,-457,-437,,
"Attributable Income Before Extraordinary Items",-17555,-5159,-9761,-4302,-8309,-4424,
"Income Attributable To Equity Holders",-17555,-5159,-9761,-4302,-8309,-4424,
"Total Comprehensive Income/Loss for the period",-18218,-4955,-10313,-4766,-8605,-4734,
"Headline Earnings (Cont Ops)",-17555,-4520,-9761,-4759,-8518,-4424,
"Enterprise Value (EV)",880778,731474,651459,492047,994530,748920,

Balance sheet (AUD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Sep 2020","11 Mar 2020","25 Sep 2019","7 Mar 2019","27 Sep 2018","16 Mar 2018",
"Fixed Assets",57,77,95,118,147,135,
"Right-of-use Asset",16,,,,,,
"Investments in Associates",,,,1987,,,
"Investments and Loans",21595,17226,2042,,1026,,
"Other Assets",42605,45971,43363,36359,31258,20249,
"Long-Term Receivables",93,93,152,2343,166,2590,
"Total Fixed Assets",64366,63367,45652,40807,32597,22974,
"Debtors",169,377,407,990,3133,2026,
"Cash",1222,5220,1395,2034,4811,4576,
"Other Current Assets",73,362,344,67,295,301,
"Total Current Assets",1464,5959,2146,3091,8239,6903,
"Total Assets",65830,69326,47798,43898,40836,29877,
"Ordinary Share Capital & Premium",146648,146648,121530,116575,102460,94240,
"Distributable Reserves",-112727,-101316,-96063,-91669,-87367,-84308,
"Non-Distributable Reserves",,,,2668,2460,2784,
"Translation Reserves",123,-106,-310,,,,
"Other Capital",23340,16316,2917,,,,
"Ordinary Shareholders' Interest",57384,61542,28074,27574,17553,12716,
"Preference Shareholders",,,2529,2308,2169,2088,
"Minority Interest",-2552,,1244,1776,2233,373,
"Near Equities",,-1321,,,,,
"Total Shareholders' Interest",54832,60221,31847,31658,21955,15177,
"Interest Bearing Loans",,,1748,1615,1539,1542,
"Other Long-Term Liabilities",1684,2000,2363,1970,1965,8019,
"Total Long-Term Liabilities",1684,2000,4111,3585,3504,9561,
"Creditors and Provisions",1103,1100,2169,2047,2501,1035,
"Bank Overdrafts/Short-Term Loans",8211,6005,3947,605,6875,,
"Other Current Liabilities",,,5724,6003,6001,4106,
"Total Current Liabilities",9314,7105,11840,8655,15377,5141,
"Total Liabilities",10998,9105,15951,12240,18881,14702,
"Total Equity and Liabilities",65830,69326,47798,43898,40836,29879,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Sep 2020","11 Mar 2020","25 Sep 2019","7 Mar 2019","27 Sep 2018","16 Mar 2018",
"Exchange Rate (period end)",11.89,9.85,9.89,10.13,10.18,9.67,
"Exchange Rate (weighted average)",10.48,10.04,10.15,10.26,9.96,10.44,
"Number of Shares in Issue (Actual)",2667885443,2221005394,1844523096,1625922939,1167249479,971219115,
"Weighted Average Shares in Issue (Actual)",2667885443,2221005394,1844523096,1625922939,1167249479,971219115,
"Fully Diluted Weighted Average Shares in Issue",2667888443,,,,,,
"Market Capitalisation (R'000)",876341,730689,643386,487777,986525,749493,
"Market Capitalisation (R'000): ORIONMIN (ORN)",876341,730689,643386,562120,986525,749493,
"Number of Months",12,6,12,6,12,6,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Sep 2020","11 Mar 2020","25 Sep 2019","7 Mar 2019","27 Sep 2018","16 Mar 2018",
"Earnings Per Share (ZARc)",-6.92,-2.01,-5.38,-2.98,-7.57,-4.8,
"Diluted Earnings Per Share (ZARc)",-6.92,-2.01,-5.38,-2.98,-7.57,-4.8,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-6.92,-2.01,-5.38,-2.98,-7.57,-4.8,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-6.92,-2.01,-5.38,-2.98,-7.57,-4.8,
"Net Asset Value Per Share (ZARc)",14.04,27.28,15.03,17.23,15.27,12.67,
"Cash Generated Per Share",-0.31,-0.24,-0.58,-0.4,-0.56,-0.37,
"Earnings Per Share (Base Currency)",-0.66,-0.2,-0.53,-0.29,-0.76,-0.46,
"Diluted Earnings Per Share (Base Currency)",-0.66,-0.2,-0.53,-0.29,-0.76,-0.46,
"Headline Earnings Per Share (Cont) (Base Currency)",-0.66,-0.2,-0.53,-0.29,-0.76,-0.46,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",-0.66,-0.2,-0.53,-0.29,-0.76,-0.46,
"Net Asset Value Per Share (Base Currency)",2.15,2.77,1.52,1.7,1.5,1.31,
"Price at Period End (Base Currency)",2,2,3,3,5,4,
"JSE Market Price High (ZARc)",38,38,55,55,180,180,
"JSE Market Price Low (ZARc)",14,21,25,25,24,24,
"JSE Market Price at Period End (ZARc)",27,24,30,30,46,40,
"JSE Volume Traded (Actual)",57981541,29427252,45079217,18102013,34083357,14683523,
"JSE Rand Value Traded (Actual)",14344126,8281670,16483636,7109723,16352412,8004340,
"12 Month HEPS",-6.92,-4.41,-5.38,-5.75,-7.57,-9.6,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Sep 2020","11 Mar 2020","25 Sep 2019","7 Mar 2019","27 Sep 2018","16 Mar 2018",
"Net Cash flow from operating activities",-8280,-5377,-10705,-6513,-6567,-3595,
