Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"16 Sep 2020","20 Feb 2020","4 Sep 2019","21 Feb 2019","4 Sep 2018","20 Feb 2018","18 Sep 2017","23 Feb 2017","6 Sep 2016","25 Feb 2016","10 Sep 2015","24 Feb 2015","3 Sep 2014","20 Feb 2014","3 Sep 2013","21 Feb 2013","5 Sep 2012","23 Feb 2012","1 Sep 2011","22 Feb 2011","2 Sep 2010",
"Total Premiums",49775,23378,43036,21301,36685,17758,33533,16652,33074,16047,27694,13529,32011,11001,24670,8324,20545,10010,17854,8554,12422,
"Reinsurance Cost",6308,3001,5595,2741,4356,2127,3837,1949,4316,2093,3113,1368,2748,1017,2233,902,1755,829,1700,816,1172,
"Net Earned Premiums",43467,20377,37441,18560,32329,15631,29696,14703,28758,13954,24581,12161,29263,9984,22437,7422,18790,9181,16154,7738,11250,
"Income From Investments",379,215,398,234,895,446,758,392,745,354,507,212,4923,192,2454,158,1079,450,1068,903,540,
"Other Income",20626,10894,19414,5655,19576,11490,14755,6308,14220,6797,14221,6806,,6216,,4877,,,,,,
"Total Income",64472,31486,57253,24449,52800,27567,45209,21403,43723,21105,39309,19179,34186,16392,24891,12457,19869,9631,17222,8641,11790,
"Commission Paid",6547,3134,6100,2953,5594,2846,5237,2703,6185,2965,5294,2472,4296,,3531,,2775,1381,2116,1192,1961,
"Marketing & Administration Costs",22118,11022,19954,9685,17219,8449,15652,7707,14789,7080,12251,5883,9786,4769,7835,3893,6762,3433,5873,2906,4712,
"Interest Paid",1568,755,1375,681,959,390,478,232,293,97,197,106,63,108,55,104,113,127,82,38,14,
"Policy Payouts",23246,11955,20879,10177,17979,8401,17279,8834,15577,7530,13302,6283,9909,4493,7080,3285,5502,2742,4640,2333,1745,
"Other Outgoing",332,584,809,-703,1308,-1155,248,165,695,517,912,276,1224,1840,630,1751,50,,52,,,
"Total Outgoing",53811,27450,49117,22793,43059,18931,38894,19641,37539,18189,31956,15020,25278,11210,19131,9033,15202,7683,12763,6469,8432,
"Excess Income Over Outgoing",10661,4036,8136,1656,9741,8636,6315,1762,6184,2916,7353,4159,8908,5182,5760,3424,4667,1948,4459,2172,3358,
