Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"4 Aug 2020","3 Mar 2020","6 Aug 2019","5 Mar 2019","6 Aug 2018","6 Mar 2018","1 Aug 2017","28 Feb 2017","1 Aug 2016","1 Mar 2016","4 Aug 2015","3 Mar 2015","5 Aug 2014","4 Mar 2014","12 Aug 2013","5 Mar 2013","20 Aug 2012","28 Feb 2012","16 Aug 2011","8 Mar 2011",
"Turnover",4606,7491.9,3163,3627.1,1659.6,3498.5,1593.9,3342.2,1646.9,3044.7,1422.6,3767.5,1826.5,3251.1,1548,2865.3,1305.3,2974.9,1510.4,2106.8,
"Cost of Sales",3385.3,6810.6,3114.1,3317.2,1504,3186.5,1582.6,3101.5,1458.9,3084.5,1414.3,2902.2,1337.6,2650.1,1222.8,2525.5,1142.3,2408.7,1171.1,1608.1,
"Gross Profit",1220.7,681.3,48.9,309.9,155.6,312,11.3,240.7,188,-39.8,8.3,865.3,488.9,601,325.2,339.8,163,566.2,339.3,498.7,
"Operating Expenses",178.4,337.2,175.4,284,152.5,256.2,161,155.6,72.2,164.1,88.6,137.3,77.9,105,61.4,101.7,63.1,104.3,57.5,60.6,
"EBITDA (ProfileData Calc)",2160.5,1772.9,552.3,,210.3,,162.9,,,,,,,,,,,,,,
"Depreciation",599.3,1095.7,504,,178.3,,166.1,,,,,,,,,,,,,,
"Operating Income",1038.3,681.3,48.9,309.9,155.6,312,11.3,240.7,188,-39.8,8.3,865.3,488.9,601,325.2,339.8,163,566.2,339.3,498.7,
"Other Income",435.7,267.9,112.8,124,47.8,150.5,82,88.1,37.1,68.7,35.6,25.2,8.2,77.5,31.7,66.9,21.2,54.8,34,1.6,
"Profit Before Exceptional Items",1474,949.2,161.7,433.9,203.4,462.5,93.3,328.8,225.1,28.9,43.9,890.5,497.1,678.5,356.9,406.7,184.2,621,373.3,500.3,
"Exceptional Item 1",,-396.1,-175.4,-192,-179.8,-1120.5,-161.5,-158.2,-74.3,-4630.3,-88.6,-137.3,,,,,,,,,
"Profit Before Interest And Tax",1474,553.1,-13.7,241.9,23.6,-658,-68.2,170.6,150.8,-4601.4,-44.7,753.2,419.2,573.5,295.5,305,121.1,516.7,315.8,439.7,
"Interest Received",87.2,124.1,62,100.9,42.5,137.4,66.5,91.8,45.4,106.2,62.9,96.4,41.2,42.7,22.3,59.7,34.6,62.6,29.9,15.7,
"Interest Paid",284,553.6,263.3,26.8,7.2,52.3,30.2,7.4,3.6,25.1,7.4,5.1,3,3.7,1.8,3.4,1.7,4.9,0.4,12.5,
"Net Interest Paid/(Received)",196.8,429.5,201.3,-74.1,-35.3,-85.1,-36.3,-84.4,-41.8,-81.1,-55.5,-91.3,-38.2,-39,-20.5,-56.3,-32.9,-57.7,-29.5,-3.2,
"Income From Associates Before Tax",,,,,,,,,,,,,,,,,,,,2894.8,
"Income Before Tax",1277.2,123.6,-215,316,58.9,-572.9,-31.9,255,192.6,-4520.3,10.8,844.5,457.4,612.5,316,361.3,154,574.4,345.3,3337.7,
"Taxation",407.7,59.5,-50.6,60.5,48.8,84.1,-4.6,-7.7,-24,-753.3,118.6,245.7,135.1,164.7,87.3,85.6,34.9,163.6,96.6,171.7,
"Profit For The Period",869.5,64.1,-164.4,255.5,10.1,-657,-27.3,262.7,216.6,-3767,-107.8,598.8,322.3,447.8,228.7,275.7,119.1,410.8,248.7,3166,
