Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"31 Aug 2020","2 Mar 2020","2 Sep 2019","11 Mar 2019","28 Aug 2018","6 Mar 2018","23 Aug 2017",
"Turnover",1999648,3966452,1870122,2583341,1004288,2131054,1056961,
"Cost of Sales",1334012,2695637,1258635,1675097,636642,1414264,703446,
"Gross Profit",665636,1270815,611487,908244,367646,716790,353515,
"Operating Expenses",408644,744779,366947,591865,229522,457684,215972,
"Operating Income",256992,599580,281341,388619,165027,333813,167715,
"Profit Before Exceptional Items",256992,599580,281341,388619,165027,333813,167715,
"Exceptional Item 1",9466,35230,-291,48743,1254,47980,36882,
"Profit Before Interest And Tax",266458,634810,281050,437362,166281,381793,204597,
"Interest Received",13005,21413,8926,46125,13057,17206,5862,
"Interest Paid",61486,121919,59995,90130,20284,38848,30045,
"Net Interest Paid/(Received)",48481,100506,51069,44005,7227,21642,24183,
"Income From Associates Before Tax",41,-112,-306,647,,1000,1000,
"Income Before Tax",218018,534192,229675,394004,159054,361151,181414,
"Taxation",63240,138679,69011,100871,47832,94206,45526,
"Profit For The Period",154778,395513,160664,293133,111222,266945,135888,
"Income Attributable To Minority Interests",-14247,-16965,-8642,11924,-3188,7601,4933,
"Attributable Income Before Extraordinary Items",169025,412478,169306,281209,114410,259344,130955,
"Income Attributable To Equity Holders",169025,412478,169306,281209,114410,259344,130955,
"Total Comprehensive Income/Loss for the period",56085,483163,210065,287021,107274,236770,125353,
"Headline Earnings (Cont Ops)",169964,410417,169356,277899,111325,235317,110664,
"Enterprise Value (EV)",5530086,5683158,5429896,5212161,3522575,3274425,3317957,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"31 Aug 2020","2 Mar 2020","2 Sep 2019","11 Mar 2019","28 Aug 2018","6 Mar 2018","23 Aug 2017",
"Fixed Assets",1984632,1881734,1819404,1604800,866908,808192,531180,
"Right-of-use Asset",130358,136695,132061,,,,,
"Investments in Associates",5245,5204,5009,5316,,,,
"Investments and Loans",240491,185527,178353,,,,,
"Goodwill",868200,849615,850090,621549,88626,84220,87811,
"Intangible Assets",737720,639795,646669,616163,548820,489805,505730,
"Deferred Tax Asset",867,611,387,333,244,243,,
"Other Assets",106384,84666,153324,133558,52324,50089,39217,
"Long-Term Receivables",3886,3606,2500,169935,72489,74448,70501,
"Total Fixed Assets",4077783,3787453,3787797,3151654,1629411,1506997,1234439,
"Stock",651869,582162,616475,396471,384778,304001,324982,
"Debtors",746453,696020,608027,507500,423501,332578,359280,
"Cash",120752,237882,120269,781679,321155,383047,316222,
"Tax",8562,8289,10037,9986,46,,,
"Other Current Assets",82166,204447,69743,994,2991,41896,27687,
"Total Current Assets",1609802,1728800,1424551,1696630,1132471,1061522,1028171,
"Total Assets",5687585,5516253,5212348,4848284,2761882,2568519,2262610,
"Ordinary Share Capital & Premium",1809968,1810506,1810506,1538761,1291993,1294875,1295771,
"Distributable Reserves",686585,663721,420548,377910,210170,174267,43302,
"Translation Reserves",,,,,,,-24956,
"Other Capital",-120646,-36953,-79982,-102006,-76897,-71476,-37630,
"Ordinary Shareholders' Interest",2375907,2437274,2151072,1814665,1425266,1397666,1276487,
