Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Nov 2020","7 May 2020","28 Nov 2019","10 May 2019","29 Nov 2018","7 May 2018","29 Nov 2017",
"Turnover",8574.668,4889.956,8451.52,4389.785,6548.793,3410.763,6415.697,
"Cost of Sales",7263.775,4163.918,7142.281,3707.95,5446.48,2820.83,5323.055,
"Gross Profit",1310.893,736.038,1309.239,681.835,1102.313,589.933,1092.642,
"Operating Expenses",926.305,490.948,938.946,465.628,787.094,386.421,803.52,
"Operating Income",508.436,309.187,493.182,277.101,431.059,262.589,401.902,
"Profit Before Exceptional Items",508.436,309.187,493.182,277.101,431.059,262.589,401.902,
"Profit Before Interest And Tax",508.436,309.187,493.182,277.101,431.059,262.589,401.902,
"Interest Paid",124.563,67.686,111.014,52.248,82.739,44.843,69.481,
"Net Interest Paid/(Received)",124.563,67.686,111.014,52.248,82.739,44.843,69.481,
"Income From Associates Before Tax",-2.359,-0.455,-2.327,-1.703,-3.416,-1.114,0.201,
"Income Before Tax",381.514,241.046,379.841,223.15,344.904,216.632,332.622,
"Taxation",102.336,67.887,98.562,61.958,95.947,60.42,91.497,
"Profit For The Period",279.178,173.159,281.279,161.192,248.957,156.212,241.125,
"Income Attributable To Minority Interests",4.097,2.968,3.959,3.697,2.71,,,
"Attributable Income Before Extraordinary Items",275.081,170.191,277.32,157.495,246.247,156.212,241.125,
"Income Attributable To Equity Holders",275.081,170.191,277.32,157.495,246.247,156.212,241.125,
"Total Comprehensive Income/Loss for the period",277.838,173.159,282.741,161.192,248.563,156.212,241.801,
"Headline Earnings (Cont Ops)",277.109,172.893,283.274,161.148,248.379,155.723,243.199,
"Enterprise Value (EV)",2748.272,3472.778,3459.389,3734.552,3696.309,4585.8,4252.29,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Nov 2020","7 May 2020","28 Nov 2019","10 May 2019","29 Nov 2018","7 May 2018","29 Nov 2017",
"Fixed Assets",1525.678,1603.975,1375.392,1185.909,1097.159,1016.833,947.617,
"Right-of-use Asset",236.302,,,,,,,
"Investments and Loans",104.345,65.945,67.86,60.151,38.338,34.461,28.89,
"Intangible Assets",471.012,362.188,298.169,276.684,168.165,98.951,99.482,
"Deferred Tax Asset",2.772,,,0.788,1.234,0.726,0.823,
