Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"7 Oct 2020","20 May 2020","9 Oct 2019","22 May 2019","10 Oct 2018","23 May 2018","16 Oct 2017","25 May 2017","19 Oct 2016","31 May 2016",
"Turnover",56027,127129,61024,127901,66974,136450,71086,109663,54993,95185,
"Operating Expenses",11603,32530,10800,26612,10806,26571,12051,22699,10861,33206,
"EBITDA (ProfileData Calc)",,57353,,116986,,123437,,121839,,,
"Depreciation",,359,,372,,440,,453,,,
"Operating Income",13414,55495,40116,115379,62652,121113,46446,118070,39986,298603,
"Profit Before Exceptional Items",13414,55495,40116,115379,62652,121113,46446,118070,39986,298603,
"Profit Before Interest And Tax",13414,55495,40116,115379,62652,121113,46446,118070,39986,298603,
"Interest Received",49,1499,713,1235,790,1884,1438,3316,1568,1161,
"Interest Paid",23090,44838,22353,44592,22344,45639,23521,26190,12916,22191,
"Net Interest Paid/(Received)",23041,43339,21640,43357,21554,43755,22083,22874,11348,21030,
"Income Before Tax",-9627,12156,18476,72022,41098,77358,24363,95196,28638,277573,
"Taxation",,,,,,-2428,-155,,,-100122,
"Profit For The Period",-9627,12156,18476,72022,41098,79786,24518,95196,28638,377695,
"Attributable Income Before Extraordinary Items",-9627,12156,18476,72022,41098,79786,24518,95196,28638,377695,
"Income Attributable To Equity Holders",-9627,12156,18476,72022,41098,79786,24518,95196,28638,377695,
"Total Comprehensive Income/Loss for the period",-9627,12156,18476,72022,41098,79786,24518,95196,28638,377695,
"Headline Earnings (Cont Ops)",-9627,37928,18476,55119,41098,54403,24518,57216,28638,46092,
"Enterprise Value (EV)",845572,1019804,945243,1079359,946382,1101680,1105277,1100136,846656,887783,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"7 Oct 2020","20 May 2020","9 Oct 2019","22 May 2019","10 Oct 2018","23 May 2018","16 Oct 2017","25 May 2017","19 Oct 2016","31 May 2016",
"Fixed Assets",1253182,1253112,1279821,1278334,1261620,1261766,1235407,1234246,983329,982308,
"Other Assets",125708,127241,127057,126019,123710,117187,114106,107607,86775,80745,
"Total Fixed Assets",1378890,1380353,1406878,1404353,1385330,1378953,1349513,1341853,1070104,1063053,
"Debtors",8089,4128,5086,3960,8704,6182,7754,4834,5989,6157,
"Cash",8843,7196,6757,9141,7618,1720,49723,50746,47338,32217,
"Tax",,,,,,2273,,,,,
"Other Current Assets",2647,2647,2647,2647,2857,2647,3727,2647,2647,2647,
"Total Current Assets",19579,13971,14490,15748,19179,12822,61204,58227,55974,41021,
"Total Assets",1398469,1394324,1421368,1420101,1404509,1391775,1410717,1400080,1126078,1104074,
"Ordinary Share Capital & Premium",619918,619918,619918,619918,619918,619918,619918,619918,619918,620006,
"Distributable Reserves",68641,94012,124652,124526,118550,103598,74980,75024,33464,4826,
"Non-Distributable Reserves",180412,180412,180412,180412,180412,180412,180412,180412,180412,180412,
"Ordinary Shareholders' Interest",868971,894342,924982,924856,918880,903928,875310,875354,833794,805244,
"Total Shareholders' Interest",868971,894342,924982,924856,918880,903928,875310,875354,833794,805244,
"Interest Bearing Loans",454415,452000,,458500,454000,453400,500000,270000,268994,270000,
"Other Long-Term Liabilities",43736,16011,14945,8063,1634,11050,12723,3078,3078,,
"Total Long-Term Liabilities",498151,468011,14945,466563,455634,464450,512723,273078,272072,270000,
"Creditors and Provisions",31347,31971,29441,28682,29995,23397,22684,20611,20212,28830,
"Tax",,,,,,,,155,,,
"Bank Overdrafts/Short-Term Loans",,,452000,,,,,230882,,,
"Total Current Liabilities",31347,31971,481441,28682,29995,23397,22684,251648,20212,28830,
"Total Liabilities",529498,499982,496386,495245,485629,487847,535407,524726,292284,298830,
"Total Equity and Liabilities",1398469,1394324,1421368,1420101,1404509,1391775,1410717,1400080,1126078,1104074,

Share/unit data,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"7 Oct 2020","20 May 2020","9 Oct 2019","22 May 2019","10 Oct 2018","23 May 2018","16 Oct 2017","25 May 2017","19 Oct 2016","31 May 2016",
"Number of Shares in Issue (Actual)",100000000,100000001,100000000,100000001,100000000,100000001,100000000,100000001,100000001,100000001,
"Weighted Average Shares in Issue (Actual)",100000000,100000001,100000000,100000001,100000000,100000001,100000000,100000001,100000000,90739727,
"Market Capitalisation (R'000)",400000,575000,500000,630000,500000,650000,655000,650000,625000,650000,
"Number of Months",6,12,6,12,6,12,6,12,6,12,

Share statistics,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"7 Oct 2020","20 May 2020","9 Oct 2019","22 May 2019","10 Oct 2018","23 May 2018","16 Oct 2017","25 May 2017","19 Oct 2016","31 May 2016",
"Earnings Per Share (ZARc)",-9.63,12.16,18.48,72.02,41.1,79.79,24.52,95.2,28.64,416.24,
"Diluted Earnings Per Share (ZARc)",-9.63,12.16,18.48,72.02,41.1,79.79,24.52,95.2,28.64,416.24,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-9.63,37.93,18.48,55.12,41.1,54.4,24.52,57.22,28.64,50.8,
"Interim Dividend (ZARc)",19.63,24.32,24.32,24.95,24.95,26.65,26.65,25,25,,
"Final Dividend (ZARc)",,15.74,,18.35,,26.15,,24.56,,,
"Dividend Per Share (ZARc)",19.63,40.06,24.32,43.3,24.95,52.8,26.65,49.56,25,,
"Distributions Per Share (ZARc)",19.63,40.06,24.32,43.3,24.95,52.8,26.65,49.56,25,,
"Net Asset Value Per Share (ZARc)",869,894,925,925,919,904,875,875,834,805,
"3 Year Beta",-0.59,-0.48,-0.61,,,,,,,,
"Cash Generated Per Share",15.18,48.13,24.14,53.45,31.48,52.24,25.8,42.09,16.31,28.15,
"Net Asset Value Per Share (Base Currency)",869,894,925,925,919,904,875,875,834,805,
"Price at Period End (Base Currency)",400,575,500,630,500,650,655,650,625,650,
"JSE Market Price High (ZARc)",575,630,630,650,650,690,655,650,650,680,
"JSE Market Price Low (ZARc)",350,400,400,500,500,595,595,575,575,630,
"JSE Market Price at Period End (ZARc)",400,575,500,630,500,650,655,650,625,650,
"JSE Volume Traded (Actual)",217998,701668,134607,395436,127107,179495,56211,3101667,3050883,2406207,
"JSE Rand Value Traded (Actual)",896924,3840152,616953,2332316,785068,1139695,355002,18325780,17999197,16088782,
"12 Month HEPS",9.82,37.93,32.5,55.12,70.98,54.4,53.1,57.22,54.04,50.8,
"12 Month Dividend",35.37,40.06,42.67,43.29,51.09,52.79,51.21,49.56,25,,

Cash flow items,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"7 Oct 2020","20 May 2020","9 Oct 2019","22 May 2019","10 Oct 2018","23 May 2018","16 Oct 2017","25 May 2017","19 Oct 2016","31 May 2016",
"Cash generated by operations",,,46142,87030,46685,94562,48733,72980,36104,29009,
"Working capital changes",,,365,7505,4075,1438,-848,-7923,-8450,19214,
"Cash generated from operations after WC",38223,90515,45777,94535,50760,96000,47885,64967,27654,48223,
"Net Cash flow from operating activities",15182,48134,24137,53451,31480,52245,25802,42092,16306,28151,
"Net cash flow from investing activities",-206,-909,-1671,-36,-36,-2578,-1381,-229358,-1185,-1162,
"Net cash flow from financing activities",-13329,-49170,-24850,-45994,-25546,-98693,-25444,205795,,3997,
"Dividends paid",-15744,-42670,-18350,-51094,-26146,-51212,-24562,-24999,,-83813,
"Net increase(decrease) in cash & cash equivalents",1647,-1945,-2384,7421,5898,-49026,-1023,18529,15121,30986,
"Cash & Cash Equivalent beginning of period",7196,9141,9141,1720,1720,50746,50746,32217,32217,1231,
"Cash & Cash Equivalent end of period",8843,7196,6757,9141,7618,1720,49723,50746,47338,32217,

Ratios,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"7 Oct 2020","20 May 2020","9 Oct 2019","22 May 2019","10 Oct 2018","23 May 2018","16 Oct 2017","25 May 2017","19 Oct 2016","31 May 2016",
"Return on Capital Employed",-1.41,0.89,3.93,5.18,5.98,5.83,3.53,8.29,5.18,35.13,
"Return on Shareholder Funds",-2.22,1.36,3.99,7.79,8.95,8.83,5.6,10.88,6.87,46.9,
"Return on Total Assets",-1.38,0.87,2.6,5.07,5.85,5.56,3.45,6.8,5.09,25.14,
"Operating Profit Margin",23.94,43.65,65.74,90.21,93.55,88.76,65.34,107.67,72.71,313.71,
"Net Profit Margin",-17.18,9.56,30.28,56.31,61.36,58.47,34.49,86.81,52.08,396.8,
"Debt:Equity (excl non-int debt)",0.57,0.52,0.5,0.5,0.5,0.51,0.59,0.58,0.33,0.34,
"Interest Bearing Debt as % of Long-Term Finance",34.34,33.57,,33.14,33.07,33.4,36.36,23.57,24.39,25.11,
"Interest Cover",0.58,1.28,1.85,2.66,2.91,2.77,2.1,5.16,3.52,14.2,
"Quick Ratio",0.62,0.44,0.03,0.55,0.64,0.55,2.7,0.23,2.77,1.42,
"Current Ratio",0.62,0.44,0.03,0.55,0.64,0.55,2.7,0.23,2.77,1.42,
"Dividend Cover",-0.49,0.3,0.76,1.66,1.65,1.51,0.92,1.92,1.15,,
"Dividend Cover (HEPS)",-0.49,0.95,0.76,1.27,1.65,1.03,0.92,1.15,1.15,,
"Debtors Collection Period",26.35,11.85,15.21,11.3,23.72,16.54,19.91,16.09,19.88,23.61,
"Price : Earnings",40.73,15.16,15.38,11.43,7.04,11.95,12.34,11.36,11.57,12.8,
"Sales Per Share (Base Currency)",112.05,127.13,122.05,127.9,133.95,136.45,142.17,109.66,109.99,104.9,
"Price/Sales Per Share",3.57,4.52,4.1,4.93,3.73,4.76,4.61,5.93,5.68,6.2,
"Price/Net Asset Value",0.46,0.64,0.54,0.68,0.54,0.72,0.75,0.74,0.75,0.81,
"Price/Cash Flow",52.69,11.95,41.43,11.79,31.77,12.44,50.78,15.44,76.64,23.09,
"NAV%Price",217.25,155.48,185,146.83,183.8,139.08,133.59,134.62,133.44,123.85,
"Liquidity%",5.73,9.63,9.73,10.79,12.96,10.71,9.64,8.02,11.16,9.42,
"Cash Flow:Attributable Profit",-3.15,-0.04,2.61,-0.05,1.53,-0.05,2.1,0.44,1.14,0.07,
"Cash/Equity (%)",1.02,0.8,0.73,0.99,0.83,0.19,5.68,5.8,5.68,4,
"EV/Ebitda (Pd)",,17.78,23.15,9.23,14.92,8.93,,9.03,,,
"PEG Ratio",,-3.42,6.81,5.06,2.74,4.65,1.95,1.8,,,

