Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Dec 2014","Sep 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)",
,"1 Sep 2020","12 Feb 2020","3 Sep 2019","13 Feb 2019","5 Sep 2018","15 Feb 2018","5 Sep 2017","15 Feb 2017","30 Aug 2016","16 Feb 2016","1 Sep 2015","1 Sep 2015","23 Apr 2015","19 Feb 2015","19 Feb 2015","24 Oct 2014","2 Sep 2014","2 Sep 2014","14 May 2014","11 Feb 2014","11 Feb 2014","22 Oct 2013","23 Aug 2013","23 Aug 2013","25 Apr 2013","12 Feb 2013","12 Feb 2013","25 Oct 2012","28 Aug 2012","28 Aug 2012","26 Apr 2012","14 Feb 2012","14 Feb 2012","27 Oct 2011","29 Aug 2011","29 Aug 2011","19 Apr 2011","10 Feb 2011","10 Feb 2011","21 Oct 2010","26 Aug 2010","26 Aug 2010","23 Apr 2010",
"Working Revenue",4185,2111.4,2762.1,1252.5,2490.4,1254.8,2339.9,1188.8,2433.1,1130.6,2105.3,560.3,529.5,1015.5,487,528.5,1809.4,447.4,427.4,934.6,450.6,484,2076.5,438.1,531,580.6,1107.4,526.8,1764.2,393.5,458.3,912.4,462.8,449.6,1379.5,344.6,360,674.8,348.2,623.6,521.7,1990.5,524,
"Working Cost",2937.9,1544.2,2553.9,1248.7,2347.7,1139.6,2307.9,1153.9,,1066.6,1721,437.7,431.9,966.9,402.6,448.8,1549.4,394.8,376.1,778.5,366.5,412,1397.2,341.9,360.3,341.9,695,353.1,1142,278.7,296.1,567.2,274.1,279.7,972.5,233,240,486.7,238.8,520.7,468.4,1748.8,429.7,
"Depreciation",270.8,127.9,169.1,69.3,168,82.3,179.8,101.9,180.2,83.7,193.3,55.1,49.3,,48.9,40,160,38.9,47.9,73.2,36.8,36.4,143.8,41,34.7,33.9,68.1,34.2,119.2,29.7,31.7,57.8,30.6,,98.3,27.7,24,46.5,27,27.6,57.7,,45.2,
"Working Profit",1247.1,482.3,208.2,-40.4,142.7,83.5,32,2.3,196.2,34.7,159,71.4,37.2,18.8,24.8,25.6,122.2,94.7,51.3,156.1,28.8,15.3,437.1,96.2,116.9,166.1,317.5,96.3,443.5,48.5,120.7,274.3,152.1,122.2,260.9,53.8,87.7,119.4,111.1,69.4,91.5,271.6,36.8,
"Net Sundry Revenue",0.7,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Investment Income",,,,,,,,,,,,,,,,,,,,,,,,,16.1,,41.8,,24.5,7.8,5.9,10.8,5.4,5.4,23.2,5.9,4.8,12.5,7.8,8.8,7.4,27.4,5.5,
"Tribute Income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.1,-74.5,-54.5,,,,-31.3,-74.6,-58.5,,,,-41.4,
"Provision for Rehab",,,,,,,,,,,,,1.9,,-2,,,,2.6,-5.6,-1.6,,15.3,30,19.1,,-26.2,,-59.5,-36.6,-9.8,-13.1,-6,-7.1,-47,-30.1,-7.9,-9.4,-4.5,-4.8,110.9,88,14.6,
"Development / Exploration Costs",309.9,,90.9,,90.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,
"EBITDA (ProfileData Calc)",1318.5,644.6,352.6,57.1,258.8,184.5,195.3,124.1,336.5,134.5,339.3,,71.5,,60.8,,184.7,,,77.1,45.6,,,,112,,282.7,,461.9,174,103.9,210.2,99.8,,-147.3,-310.1,81.7,114,81.8,36.8,348.8,,60.9,
"Profit Before Exceptional Items",937.9,482.3,125.2,-40.4,52,83.5,32,2.3,196.2,34.7,159,71.4,35.3,18.8,26.8,25.6,122.2,94.7,48.7,161.7,30.4,15.3,664,66.2,113.9,166.1,385.5,96.3,527.5,92.9,106.3,223.7,109,134.7,331.1,89.8,68.7,66.7,64.9,83,-12,211,-13.7,
"Exceptional Income",,,,,,,-56.5,,-76.7,,-64.1,-18.4,-12.2,,-14,-19.6,-134.1,-70.8,-80.6,-166.4,-23.6,-26.8,-479.4,-192.6,-17.8,-28.1,-125.2,43.4,-134.8,56.7,-19.6,-23.8,,-36.1,-704.2,-567.5,,2.3,,-82.4,310.1,16.3,31.8,
"Profit Before Interest And Tax",937.9,482.3,125.2,-40.4,52,83.5,-24.5,2.3,119.5,34.7,94.9,53,23.1,18.8,12.8,6,-11.9,23.9,-31.9,-4.7,6.8,-11.5,184.6,-126.4,96.1,138,260.3,139.7,392.7,149.6,86.7,199.9,109,98.6,-373.1,-477.7,68.7,69,64.9,0.6,298.1,227.3,18.1,
"Interest Received",109.8,34.4,58.3,28.2,38.8,18.7,40,19.9,36.8,16.1,51.5,22.7,,11.9,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interest Paid",68.8,32.2,78.4,37.1,58.4,25,52.2,22.5,47.5,23.7,49.6,,7,25.7,6.2,,53,,,11.4,5.4,,,,2.8,,7.2,,8.7,-0.1,2.8,6,1.5,4.5,12.6,-2.9,5.8,9.6,6.4,3.6,7.2,15.7,0.5,
