Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Sep 2020","12 Mar 2020","26 Sep 2019","26 Mar 2019","28 Sep 2018","19 Mar 2018","28 Sep 2017","16 Mar 2017",
"Turnover",-780818,36318,56904,21287,102576,81971,124397,41656,
"Operating Expenses",11773,6077,11877,5972,12465,16242,21845,11434,
"Operating Income",-792591,30241,45027,15315,90111,65729,105235,30222,
"Profit Before Exceptional Items",-792591,30241,45027,15315,90111,65729,105235,30222,
"Profit Before Interest And Tax",-792591,30241,45027,15315,90111,65729,105235,30222,
"Interest Paid",12799,2916,8,4,,,,,
"Net Interest Paid/(Received)",12799,2916,8,4,,,,,
"Income Before Tax",-805390,27325,45019,15311,90111,65729,105235,30222,
"Taxation",3736,1221,4135,2346,3458,1455,3168,1351,
"Profit For The Period",-809126,26104,40884,12965,86653,64274,102067,28871,
"Attributable Income Before Extraordinary Items",-809126,26104,40884,12965,86653,64274,102067,28871,
"Income Attributable To Equity Holders",-809126,26104,40884,12965,86653,64274,102067,28871,
"Total Comprehensive Income/Loss for the period",-809126,26104,40884,12965,86653,64274,102067,28871,
"Headline Earnings (Cont Ops)",-809126,26104,40884,12965,86653,64274,102067,28871,
"Enterprise Value (EV)",1235281,1318524,1358017,1352700,1382157,1485477,1675770,1627244,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Sep 2020","12 Mar 2020","26 Sep 2019","26 Mar 2019","28 Sep 2018","19 Mar 2018","28 Sep 2017","16 Mar 2017",
"Investments and Loans",1891743,1679995,1427261,1301231,711925,729690,307939,340175,
"Total Fixed Assets",1891743,1679995,1427261,1301231,711925,729690,307939,340175,
"Debtors",4717,394,16741,461,993,,26760,24156,
"Cash",7993,5848,3576,3673,13414,26249,10504,10756,
"Tax",622,,,,,,,,
"Other Current Assets",,278296,481034,594307,1188435,1162859,1529281,1421383,
"Total Current Assets",13332,284538,501351,598441,1202842,1189108,1566545,1456295,
"Total Assets",1905075,1964533,1928612,1899672,1914767,1918798,1874484,1796470,
"Ordinary Share Capital & Premium",2291272,1552245,1555945,1555945,1584031,1612668,1630012,1765359,
"Distributable Reserves",-579522,255708,229604,201685,188720,166341,102067,28871,
"Ordinary Shareholders' Interest",1711750,1807953,1785549,1757630,1772751,1779009,1732079,1794230,
"Total Shareholders' Interest",1711750,1807953,1785549,1757630,1772751,1779009,1732079,1794230,
"Interest Bearing Loans",184949,138397,133093,127873,122881,122326,113424,,
"Other Long-Term Liabilities",,,2388,7604,12592,13143,22038,,
"Total Long-Term Liabilities",184949,138397,135481,135477,135473,135469,135462,,
"Creditors and Provisions",8376,18183,7582,5249,5504,3657,3775,889,
"Tax",,,,1316,1039,663,3168,1351,
"Total Current Liabilities",8376,18183,7582,6565,6543,4320,6943,2240,
"Total Liabilities",193325,156580,143063,142042,142016,139789,142405,2240,
"Total Equity and Liabilities",1905075,1964533,1928612,1899672,1914767,1918798,1874484,1796470,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"28 Sep 2020","12 Mar 2020","26 Sep 2019","26 Mar 2019","28 Sep 2018","19 Mar 2018","28 Sep 2017","16 Mar 2017",
"Number of Shares in Issue (Actual)",257500000,157500000,157500000,157500000,161100000,164426000,179960000,180000000,
"Weighted Average Shares in Issue (Actual)",195751000,157500000,158256000,159000000,163628000,165131000,166500000,180000000,
"Market Capitalisation (R'000)",1058325,1185975,1228500,1228500,1272690,1389400,1572850,1638000,
"Number of Months",12,6,12,6,12,6,12,6,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
