Income statement (GBP million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"11 Aug 2020","11 Mar 2020","5 Aug 2019","12 Mar 2019","8 Aug 2018",
"Total Premiums",,936,,954,0.857,
"Income From Investments",-1547,6866,5043,-2712,293,
"Interest Received",428,,450,,523,
"Other Income",11,22,21,35,10,
"Total Income",-1108,7824,5514,-1723,857,
"Commission Paid",203,294,190,398,230,
"Marketing & Administration Costs",355,740,344,750,392,
"Interest Paid",8,17,8,16,10,
"Policy Payouts",,1,,1,16,
"Other Outgoing",550,6727,4934,-2868,202,
"Total Outgoing",1116,7779,5476,-1703,850,
"Excess Income Over Outgoing",-2224,45,38,-20,7,
"Underwriting Surplus",-547,-1013,-513,-1114,-628,
"Income Before Exceptional Items",8,45,38,-20,17,
"Exceptional Item 1",38,-98,-78,61,18,
"Income Before Tax",46,-53,-40,41,35,
"Tax",2,-32,-8,-25,3,
"Profit For The Period",44,-21,-32,66,32,
"Income Before Extraordinary Items",44,-21,-32,66,32,
"Extraordinary Profit (Loss)",-1,167,15,422,310,
"Extraordinary Profit (Loss): Discontinued operations",-1,167,15,422,310,
"Income Attributable To Equity Holders",43,146,-17,488,342,
"Total Comprehensive Income/Loss for the period",43,139,-17,488,341,
"Headline Earnings (Cont Ops)",44,43,-17,194,52,

Balance sheet (GBP million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"11 Aug 2020","11 Mar 2020","5 Aug 2019","12 Mar 2019","8 Aug 2018",
"Ordinary Share Capital & Premium",188,191,191,191,191,
"Distributable Reserves",1582,1685,1115,1191,1255,
"Non-Distributable Reserves",195,195,628,623,614,
"Ordinary Shareholders' Interest",1965,2071,1934,2005,2060,
"Total Shareholders' Interest",1965,2071,1934,2005,2060,
"Insurance Funds",,,,602,60140,
"Other Long-Term Liabilities",58937,60194,57303,61660,8733,
"Long-Term Liabilities",58937,60194,57303,61660,8733,
"Deferred Tax Liability",50,88,91,59,164,
"Total Capital Employed",60952,62353,59328,64326,71097,
"Fixed Assets",135,143,89,17,17,
"Investments In Associates",1,1,2,2,1,
"Investments",57872,59345,56423,59219,64569,
"Goodwill",578,592,587,550,566,
"Deferred Tax Asset",45,43,32,38,19,
"Other Assets",722,672,742,2946,3517,
"Debtors and O/S Premiums",566,424,1353,530,1437,
"Cash and Short Term Funds",2467,2473,1944,2395,3375,
"Other Current Assets",,45,12357,93,36,
"Current Assets",3033,2942,15654,3018,4848,
"Total Assets",62386,63738,73529,65790,73537,
"Creditors (incl. Reinsurers)",843,836,1720,999,1937,
"Tax",4,6,4,5,12,
