Income statement (ZAR '000),"Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (10m)",
,"3 Oct 2019","2 May 2019","16 Oct 2018","20 Sep 2018","30 Aug 2017","18 Apr 2017",
"Turnover",55015,82314,44740,81106,28796,31777,
"Operating Expenses",48177,123308,46084,115389,31770,42025,
"EBITDA (ProfileData Calc)",2512,-42716,-809,,-2757,,
"Depreciation",1379,676,461,,308,,
"Operating Income",1127,-43455,-1305,-27132,-3203,-10173,
"Profit Before Exceptional Items",1127,-43455,-1305,-27132,-3203,-10173,
"Profit Before Interest And Tax",1127,-43455,-1305,-27132,-3203,-10173,
"Interest Received",6,63,35,636,138,4,
"Interest Paid",2204,4434,1665,3759,10,2556,
"Net Interest Paid/(Received)",2198,4371,1630,3123,-128,2552,
"Income Before Tax",-1071,-47826,-2935,-30255,-3075,-12725,
"Taxation",-732,-13533,-834,-3449,-861,-3482,
"Profit For The Period",-339,-34293,-2101,-26806,-2214,-9243,
"Attributable Income Before Extraordinary Items",-339,-34293,-2101,-26806,-2214,-9243,
"Extraordinary Profit",-21607,-6423,-4017,,,,
"Extraordinary Profit: Discontinued Operations",-21607,-6423,-4017,,,,
"Income Attributable To Equity Holders",-21946,-40716,-6118,-26806,-2214,-9243,
"Total Comprehensive Income/Loss for the period",-21946,-42695,-6118,4325,-2214,5417,
"Headline Earnings (Cont Ops)",-8690,-16310,-6118,-25567,-2214,-8869,
"Enterprise Value (EV)",53350,86158,153499,139640,218068,20021,

Balance sheet (ZAR '000),"Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (10m)",
,"3 Oct 2019","2 May 2019","16 Oct 2018","20 Sep 2018","30 Aug 2017","18 Apr 2017",
"Fixed Assets",197611,197449,144819,142891,64688,47690,
"Goodwill",2692,7042,7502,7502,3152,3152,
"Intangible Assets",,19727,25714,27399,,,
"Deferred Tax Asset",5704,8673,,31,2170,1292,
"Other Assets",5050,4900,2100,6691,89178,700,
"Total Fixed Assets",211057,237790,180135,184515,159188,52834,
"Debtors",4884,4077,81750,3387,4361,1551,
"Cash",1970,,1533,,4569,,
"Tax",,1617,,1883,,,
"Other Current Assets",31348,,298,72700,7775,3145,
"Other Current Assets: Assets held for sale",31348,,,,,,
"Total Current Assets",38202,5693,83581,77970,16705,4696,
"Total Assets",249259,243483,263716,262485,175893,57530,
"Ordinary Share Capital & Premium",182214,182214,184661,180609,138043,400,
"Distributable Reserves",-97944,-75997,-47411,-41552,-16961,-14747,
"Non-Distributable Reserves",37541,37541,46834,46834,14833,14683,
"Other Capital",,,,,,16529,
"Ordinary Shareholders' Interest",121811,143758,184084,185891,135915,16865,
"Total Shareholders' Interest",121811,143758,184084,185891,135915,16865,
"Interest Bearing Loans",26857,25213,24221,22237,16597,19965,
"Deferred Tax Liability",4923,7960,7896,13423,17,,
"Other Long-Term Liabilities",1608,3680,2132,2903,,,
"Total Long-Term Liabilities",33388,36853,34249,38564,16614,19965,
"Creditors and Provisions",46738,47173,32603,16234,19385,16911,
"Tax",525,525,525,525,,,
"Bank Overdrafts/Short-Term Loans",23,2,800,6,,56,
"Other Current Liabilities",46774,15172,11455,21265,3979,3733,
"Other Current Liabilities: Liabilities held for sale",36409,,,,,,
"Total Current Liabilities",94060,62872,45383,38030,23364,20700,
"Total Liabilities",127448,99725,79632,76594,39978,40665,
"Total Equity and Liabilities",249259,243483,263716,262485,175893,57530,

Share/unit data,"Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (10m)",
,"3 Oct 2019","2 May 2019","16 Oct 2018","20 Sep 2018","30 Aug 2017","18 Apr 2017",
"Number of Shares in Issue (Actual)",406284805,406284805,406284805,404817430,343400000,203000000,
"Weighted Average Shares in Issue (Actual)",406285050,405991394,405693119,336070555,274184530,200362637,
"Fully Diluted Weighted Average Shares in Issue",,405991394,405693119,336070555,274184530,200362637,
"Market Capitalisation (R'000)",28440,60943,130011,117397,206040,,
"Number of Months",6,12,6,12,6,10,
"Number of Employees",,621,,,,,

Share statistics,"Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (10m)",
,"3 Oct 2019","2 May 2019","16 Oct 2018","20 Sep 2018","30 Aug 2017","18 Apr 2017",
"Earnings Per Share (ZARc)",-5.4,-10.03,-1.51,-7.98,-0.81,-4.61,
"Diluted Earnings Per Share (ZARc)",-5.4,-10.03,-1.51,-7.98,-0.81,-4.61,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-0.08,-3.97,-0.52,-7.61,-0.81,-4.48,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-0.08,-3.97,-0.52,-7.61,-0.81,-4.48,
"Net Asset Value Per Share (ZARc)",30.4,35.38,44.14,45.92,39.58,8.52,
"Cash Generated Per Share",0.77,4.3,1.39,-4.2,6.12,-3.08,
"Net Asset Value Per Share (Base Currency)",30.4,35.38,44.14,45.92,39.58,8.52,
"Price at Period End (Base Currency)",7,15,32,29,60,,
"JSE Market Price High (ZARc)",15,50,50,101,101,,
"JSE Market Price Low (ZARc)",3,9,22,24,60,,
"JSE Market Price at Period End (ZARc)",7,15,32,29,60,,
"JSE Volume Traded (Actual)",14289163,21512939,11845434,32308663,11522310,,
"JSE Rand Value Traded (Actual)",1407614,6021250,4513227,18683596,9820210,,
