sens_title,Date,text
Notification of a Change to the Credit Rating of the Issuer,26 Nov 2020,"DSYI - Notification of a Change to the Credit Rating of the Issuer

Discovery Limited
(Incorporated in the Republic of South Africa)
(Registration No. 1999/007789/06)
Legal Entity Identifier: 378900245A26169C8132
Company code: DSYI
(“Discovery” or the “Issuer”)


NOTIFICATION OF A CHANGE TO THE CREDIT RATING OF THE ISSUER

Following the downgrade of the South African Government’s issuer rating to Ba2 from Ba1 on 20
November 2020, noteholders are advised that Moody’s Investors Service (“Moody’s”) has
downgraded the following rating assigned to the Issuer on 25 November 2020. Similar to the country’s
outlook, the credit outlook assigned by Moody’s remains negative.

 Type of Rating                          From                       To
 Global scale long term issuer rating    Ba2                        Ba3

The national scale long term issuer rating was affirmed at A1.za.


26 November 2020

Debt Sponsor
RAND MERCHANT BANK (A division of FirstRand Bank Limited)

Date: 26-11-2020 03:45:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
Dealings in securities by a director,23 Nov 2020,"Dealings in securities by a director

DISCOVERY LIMITED
(Incorporated in the Republic of South Africa)
(Registration number 1999/007789/06)
Legal Entity Identifier: 378900245A26169C8132
JSE share code: DSY, DSYBP
DSY ISIN: ZAE000022331
DSBP ISIN: ZAE000158564
JSE bond code: DSYI
(""Discovery"")

DEALINGS IN SECURITIES BY A DIRECTOR

In compliance with both the JSE Limited Listings and Debt Listings Requirements, the following information
is disclosed.

Shareholders and noteholders are referred to the announcement released on the Stock Exchange News
Service on 23 March 2020 which, in turn, referred to prior announcements, dated 2 December 2019, 21
October 2016 and 4 November 2013, with regards to Mr Gore’s hedging transactions entered into over a
portion of his shareholding in Discovery.

Shareholders and noteholders are now advised that Mr. Gore has further amended the hedging transactions
extended and amended on 23 March 2020 and originally entered into on 17 October 2016 by the purchase
of European call options in order to regain previously capped upside. Mr. Gore has simultaneously entered
into a new hedging transaction over a portion of his shareholding in Discovery by the purchase of European
put options.

Shareholders and noteholders are further advised that due to the non-declaration of an ordinary dividend
for the year ended 30 June 2020, Mr. Gore has sold Discovery shares in order to service funding arrangements
currently due and payable.

All transactions are related to funding arrangements entered into in order to follow various rights offers and
subscriptions for Discovery shares over time.


 Director                                     :   Adrian Gore
 Company                                      :   Discovery Limited
 Office held                                  :   Group Chief Executive
 Nature of interest                           :   Indirect beneficial
 Clearance obtained                           :   Yes

 Transaction 1
 Date of transaction                          :   17 November 2020
 Class of securities                          :   Options over Discovery ordinary shares
 On market / off market                       :   Off market
 Nature of transaction                        :   Purchase of European call options with a strike price of R
                                                  155.39
 Exercise Dates                               :   Every business day from 05 March 2024 to 04 April 2024
                                                  (20 equally weighted tranches)
 Number of options                            :   1,172,500
 Notional value of transaction in 2024        :   R 182,194,775

 Transaction 2
 Date of transaction                          :   17 November 2020
 Class of securities                          :   Options over Discovery ordinary shares
 On market / off market                       :   Off market
 Nature of transaction                        :   Purchase of European call options with a strike price of R
                                                  165.00
 Exercise Dates                               :   Every business day from 05 March 2024 to 04 April 2024
                                                  (20 equally weighted tranches)
 Number of options                            :   1,172,500
 Notional value of transaction in 2024        :   R 193,462,500

 Transaction 3
 Date of transaction                          :   17 November 2020
 Class of securities                          :   Options over Discovery ordinary shares
 On market / off market                       :   Off market
 Nature of transaction                        :   Purchase of European put options with a strike price of R
                                                  127.97
 Exercise Dates                               :   Every business day from 05 March 2024 to 04 April 2024
                                                  (20 equally weighted tranches)
 Number of options                            :   656,500
 Notional value of transaction in 2024        :   R 84,012,305

 Transaction 4
 Date of transaction                          :   19 November 2020
 Class of securities                          :   Ordinary shares
 On market / off market                       :   On-market
 Nature of transaction                        :   Sale of securities
 Number of shares                             :   394,000
 Selling price                                :   12,796 cents per share
 Total value of transaction                   :   R 50,419,077


Sandton
23 November 2020

Sponsor and Debt Sponsor
RAND MERCHANT BANK (A division of FirstRand Bank Limited)

Date: 23-11-2020 05:12:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
Dealings in securities by a director,19 Nov 2020,"Dealings in securities by a director

DISCOVERY LIMITED
(Incorporated in the Republic of South Africa)
(Registration number 1999/007789/06)
Legal Entity Identifier: 378900245A26169C8132
JSE share code: DSY, DSYBP
DSY ISIN: ZAE000022331
DSBP ISIN: ZAE000158564
JSE bond code: DSYI
(""Discovery"")

DEALINGS IN SECURITIES BY A DIRECTOR

In compliance with both the Listings Requirements and the Debt Listings Requirements of the JSE
Limited, the following information is disclosed.

Shareholders and noteholders are advised of the following dealings by a director of Discovery
Limited:

 Director                                        :      Ms Sindi Zilwa
 Company                                         :      Discovery Limited
 Office held                                     :      Non-executive director
 Nature of transaction                           :      On-market sale of securities
 Class of securities                             :      Discovery Limited ordinary shares
 Nature of interest                              :      In-direct beneficial
 Clearance obtained                              :      Yes
 Date of transaction                             :      18 November 2020
 Number of securities                            :      4,000
 Selling price                                   :      R128.42 per share
 Total value of transaction                      :      R513 680.00

Sandton
19 November 2020

Sponsor and Debt Sponsor
RAND MERCHANT BANK (A division of FirstRand Bank Limited)

Date: 19-11-2020 03:47:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
26 November 2020,18 Nov 2020,"Attendance and proceedings at annual general meeting of shareholders - 26 November 2020

Discovery Limited
(Registration number 1999/007789/06)
(Incorporated in the Republic of South Africa)
Legal Entity Identifier: 378900245A26169C8132
JSE share codes: DSY, DSBP
DSY ISIN: ZAE000022331
DSBP ISIN: ZAE000158564
JSE bond company code: DSYI
(""Discovery"" or ""Company"")

ATTENDANCE AND PROCEEDINGS AT ANNUAL GENERAL MEETING OF SHAREHOLDERS - 26 NOVEMBER
2020

In the announcement released on the Stock Exchange News Service on 28 October 2020, shareholders
were advised that the Annual General Meeting (""AGM"" or ""Meeting"") of the Company will take place on
Thursday, 26 November 2020. The Meeting will be held at 1 Discovery Place, Sandhurst, Sandton 2196
on Thursday, 26 November 2020 at 09:00. Shareholders were also advised that they may participate in
the AGM by way of an interactive electronic platform, Zoom.

As the continued restrictions placed on public gatherings and the social distancing requirements relating
to the COVID 19 pandemic remain in place, shareholders are encouraged to not attend the AGM in
person but rather to attend through electronic communication as permitted by the JSE Limited and in
terms of the provisions of the Companies Act 71 of 2008 and the Company’s Memorandum of
Incorporation.

Certificated shareholders and dematerialised shareholders with ""own name"" registration wishing to
participate and vote in the electronic AGM should contact the Company’s transfer secretaries,
Computershare Investor Services Proprietary Limited (""Computershare"") at proxy@computershare.co.za
as soon as possible, but not later than 24 hours before the meeting commences, for administrative
purposes, in order to obtain log in credentials and details of how to participate in the AGM and vote their
shares. Proof of identification will be required before such shareholders are provided with usernames and
passwords.

Dematerialised shareholders, other than those with ""own name"" registration, wishing to participate and
vote in the electronic AGM should request the necessary letter of representation from their broker/CSDP
and submit a copy thereof to Computershare at proxy@computershare.co.za as soon as possible, but not
later than 24 hours before the meeting commences, for administrative purposes, in order to obtain log in
credentials and details of how to participate in the AGM and vote their shares.

Shareholders are, however, encouraged to submit votes by proxy before the meeting.

Shareholders who submit a proxy before the meeting but wish to observe proceedings may contact
Computershare at proxy@computershare.co.za in order to obtain access details.

Shareholders will be liable for their own network charges which will not be for the expense of Discovery
or Computershare. Neither Discovery or Computershare can be held accountable in the case of loss of
network connectivity or network failure due to insufficient airtime/internet connectivity/power outages
which would prevent you from voting or participating in the electronic meeting.
Johannesburg
18 November 2020

Sponsor
RAND MERCHANT BANK (A division of FirstRand Bank Limited)

Date: 18-11-2020 09:56:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
Interest Payment Notifications in Respect of Listed Notes under the DMTN Programme,16 Nov 2020,"DSYI - Interest Payment Notifications in Respect of Listed Notes under the DMTN Programme

Discovery Limited
(Incorporated in the Republic of South Africa)
(Registration No. 1999/007789/06)
Legal Entity Identifier: 378900245A26169C8132
Company code: DSYI
Bond code: DSY01 ISIN: ZAG000148362
Bond code: DSY02 ISIN: ZAG000148347
Bond code: DSY03 ISIN: ZAG000148354
Bond code: DSY04 ISIN: ZAG000153271
Bond code: DSY05 ISIN: ZAG000164641
(“Discovery” or the “Company”)

INTEREST PAYMENT NOTIFICATIONS IN RESPECT OF LISTED NOTES UNDER THE DMTN PROGRAMME

Senior Unsecured Fixed and Floating Rate Noteholders, in terms of the Company’s Domestic Medium
Term Note Programme (“DMTN Programme”) dated 21 November 2017, are advised of the following
interest payments due on 23 November 2020:

Coupon code:                  DSY01
ISIN:                         ZAG000148362
Nominal Amount:               ZAR 500 000 000.00
Coupon rate:                  5.052% pa
Interest amount due:          ZAR 6 505 315.07
Interest period:              21 August 2020 to 22 November 2020
Date Convention:              Modified Following Business Day

Coupon code:                  DSY02
ISIN:                         ZAG000148347
Nominal Amount:               ZAR 2 000 000 000.00
Coupon rate:                  5.352% pa
Interest amount due:          ZAR 27 566 465.75
Interest period:              21 August 2020 to 22 November 2020
Date Convention:              Following Business Day

Coupon code:                  DSY03
ISIN:                         ZAG000148354
Nominal Amount:               ZAR 200 000 000.00
Coupon rate:                  10.460% pa
Interest amount due:          ZAR 10 660 602.74
Interest period:              21 May 2020 to 22 November 2020
Date Convention:              Modified Following Business Day

Coupon code:                  DSY04
ISIN:                         ZAG000153271
Nominal Amount:               ZAR 1 000 000 000.00
Coupon rate:                  5.242% pa
Interest amount due:          ZAR 13 499 945.21
Interest period:              21 August 2020 to 22 November 2020
Date Convention:              Modified Following Business Day

Coupon code:                 DSY05
ISIN:                        ZAG000164641
Nominal Amount:              ZAR 500 000 000.00
Coupon rate:                 5.842% pa
Interest amount due:         ZAR 9 443 232.88
Interest period:             28 July 2020 to 22 November 2020
Date Convention:             Modified Following Business Day


Payment date:                23 November 2020



16 November 2020

Debt Sponsor
RAND MERCHANT BANK (A division of FirstRand Bank Limited)

Date: 16-11-2020 11:47:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
Dealings in securities by a director of a major subsidiary,13 Nov 2020,"Dealings in securities by a director of a major subsidiary

DISCOVERY LIMITED
(Incorporated in the Republic of South Africa)
(Registration number 1999/007789/06)
Legal Entity Identifier: 378900245A26169C8132
JSE share code: DSY, DSYBP
DSY ISIN: ZAE000022331
DSBP ISIN: ZAE000158564
JSE bond code: DSYI
(""Discovery"")

DEALINGS IN SECURITIES BY A DIRECTOR OF A MAJOR SUBSIDIARY

In compliance with the JSE Limited Listings Requirements and Debt Listings Requirements, the following
information is disclosed.

Shareholders are advised of the following dealings by a director of Discovery Health Proprietary Limited, a
major subsidiary of Discovery.

 Director                                        :   Dr Jonathan Broomberg
 Company                                         :   Discovery Health Proprietary Limited
 Office held                                     :   Executive Director
 Nature of transaction                           :   On-market sale of securities
 Class of securities                             :   Ordinary shares
 Nature of interest                              :   Direct beneficial
 Clearance obtained                              :   Yes

 Date of transaction                             :   11 November 2020
 Number of shares                                :   36,000
 Volume weighted average selling price           :   R130,9555 per share
 Highest traded price                            :   R131,97 per share
 Lowest traded price                             :   R128,33 per share
 Total value of transaction                      :   R 4,714,739.40


Sandton
13 November 2020

Sponsor and Debt Sponsor
RAND MERCHANT BANK (A division of FirstRand Bank Limited)

Date: 13-11-2020 03:52:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
Dealings in securities by directors,11 Nov 2020,"Dealings in securities by directors

DISCOVERY LIMITED
(Incorporated in the Republic of South Africa)
(Registration number 1999/007789/06)
Legal Entity Identifier: 378900245A26169C8132
JSE share code: DSY, DSYBP
DSY ISIN: ZAE000022331
DSBP ISIN: ZAE000158564
JSE bond code: DSYI
(""Discovery"")

DEALINGS IN SECURITIES BY DIRECTORS

In compliance with the JSE Limited Listings Requirements and Debt Listings Requirements, the following
information is disclosed.

Shareholders are advised that, due to the non-declaration of an ordinary dividend for the year ended 30 June
2020, the following directors have sold Discovery shares in order to, inter alia, service individual funding
arrangements currently due and payable. The funding arrangements were entered into in order to follow
various rights offers and subscriptions for Discovery shares over time.

 Director                                        :   Adrian Gore
 Company                                         :   Discovery Limited
 Office held                                     :   Group Chief Executive
 Nature of transaction                           :   On-market sale of securities
 Class of securities                             :   Ordinary shares
 Nature of interest                              :   Indirect beneficial
 Clearance obtained                              :   Yes

 Date of transaction                             :   9 November 2020
 Number of shares                                :   106,216
 Volume weighted average selling price           :   12,570 cents per share
 Highest traded price                            :   12,701 cents per share
 Lowest traded price                             :   12,559 cents per share
 Total value of transaction                      :   R 13,351,776.06


 Director                                        :   Barry Swartzberg
 Company                                         :   Discovery Limited
 Office held                                     :   Chief Executive Officer: Vitality Group
 Nature of transaction                           :   On-market sale of securities
 Class of securities                             :   Ordinary shares
 Nature of interest                              :   Direct and Indirect beneficial
 Clearance obtained                              :   Yes

 Date of transaction                             :   10 November 2020
 Number of shares                                :   100,000
 Volume weighted average selling price           :   12,614 cents per share
 Highest traded price                            :   12,724 cents per share
 Lowest traded price                             :   12,500 cents per share
 Total value of transaction                      :   R 12,614,170.00


Sandton
11 November 2020

Sponsor and Debt Sponsor
RAND MERCHANT BANK (A division of FirstRand Bank Limited)

Date: 11-11-2020 05:09:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
Notification of the Appointment of the Debt Officer,2 Nov 2020,"DSYI - Notification of the Appointment of the Debt Officer

Discovery Limited
(Incorporated in the Republic of South Africa)
(Registration No. 1999/007789/06)
Legal Entity Identifier: 378900245A26169C8132
Company code: DSYI
(“Discovery” or the “Issuer”)

NOTIFICATION OF THE APPOINTMENT OF THE DEBT OFFICER

Pursuant to paragraphs 6.39(a) and 7.3(g) of the JSE Limited Debt Listings Requirements, noteholders
are hereby advised that Deon Marius Viljoen, in his capacity as Group Chief Financial Officer, has been
appointed as the Debt Officer of the Issuer with immediate effect.

The board of the Issuer has considered and is satisfied with the competence, qualifications and experience of
the Debt Officer.

The contact details of the Debt Officer are as follows:
E-mail: deonviljoen@discovery.co.za
Telephone: +27 (11) 529-1585

2 November 2020


Debt Sponsor
RAND MERCHANT BANK (A division of FirstRand Bank Limited)

Date: 02-11-2020 04:40:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
Acceptance of awards in terms of long-term incentive plans,29 Oct 2020,"Acceptance of awards in terms of long-term incentive plans

DISCOVERY LIMITED
(Incorporated in the Republic of South Africa)
(Registration number 1999/007789/06)
Legal Entity Identifier: 378900245A26169C8132
JSE share code: DSY, DSYBP
DSY ISIN: ZAE000022331
DSBP ISIN: ZAE000158564
JSE bond code: DSYI
(""Company"" or ""Group"" or ""Discovery"")

ACCEPTANCE OF ANNUAL SHARES AWARDED IN TERMS OF THE DISCOVERY LONG-TERM
INCENTIVE PLAN AND ONCE-OFF AWARDS IN TERMS OF THE DISCOVERY RETENTION LONG-
TERM INCENTIVE PLAN (“LTIPs”)


In compliance with the JSE Limited Listings Requirements, notification is hereby given that
certain executive directors of the Company and directors of major subsidiaries have accepted
annual awards of ordinary shares allocated in terms of the Discovery long-term incentive plan
(“LTIP”), an equity-settled LTIP. These share awards are subject to vesting conditions that include
performance criteria that are aligned to the organic growth methodology of the Group as
outlined in the Company’s remuneration report and vest equally from the 3rd to the 5th
anniversaries of these awards (between 30 September 2023 and 30 September 2025), provided
the necessary vesting criteria have been achieved.

As outlined in the Company’s remuneration report, the Remuneration Committee of Discovery is
also reviewing the Company’s long-term incentive structures at all levels of management to
mitigate the emerging retention risks as a result of the impact of the recent economic slowdown
and the impact of COVID-19 on the compound performance outcomes for vesting of LTIPs.

Following the above review, the Remuneration Committee recently approved a retention
scheme which includes the allocation of once-off equity settled ordinary share awards. The
vesting of these shares is over three years on 30 September 2023 and is similarly subject to
compound performance conditions currently aligned to the organic growth methodology of the
Group and also subject to certain maximum vesting limitations depending on the outcome of
existing LTIP allocations in issue.

The nature of the interest in respect of each of these awards is direct beneficial, subject to
meeting the vesting performance criteria. The transactions have occurred off-market and the
necessary clearances have been obtained.
The combined allocations accepted, which reflect the maximum that can vest depending on
performance conditions, are set out below:
 
 Executive        Acceptance date   Number of   Reference           Deemed
 director                              shares      price*       transaction
                                     accepted                         value
 
 A Gore           29 October 2020     100,141      125.58       R12,575,707

 D M Viljoen      29 October 2020      68,902      125.58        R8,652,713

 H D Kallner      23 October 2020     145,737      125.58       R18,301,652

 A Ntsaluba       23 October 2020      59,135      125.58        R7,426,173

 A Pollard        23 October 2020      25,507      125.58        R3,203,169

 B Swartzberg     23 October 2020      34,877      125.58        R4,379,854



 Director of    Subsidiary       Acceptance       Number of   Reference          Deemed
 major                           date                shares      price*     transaction
 subsidiary                                        accepted                       value
 
 J Broomberg    Discovery        29 October          22,557      125.58      R2,832,708
                Health           2020

 K S Rabson     Discovery Life   29 October          41,168      125.58      R5,169,877
                                 2020
 R J van        Discovery Life   29 October          37,145      125.58      R4,664,669
 Reenen                          2020


*The reference price has been used in determining the share allocations and represents the
volume weighted average traded price of the Company's shares for the 5 days ended 30
September 2020.


Sandton
29 October 2020


Sponsor
RAND MERCHANT BANK (A division of FirstRand Bank Limited)

Date: 29-10-2020 05:40:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
Availability of the Guarantors’ Annual Financial Statements for the year ended 30 June 2020,28 Oct 2020,"DSYI - Availability of the Guarantors’ Annual Financial Statements for the year ended 30 June 2020

Discovery Limited
(Incorporated in the Republic of South Africa)
(Registration No. 1999/007789/06)
Legal Entity Identifier: 378900245A26169C8132
Company code: DSYI
(“Discovery” or “Issuer”)

AVAILABILITY OF THE GUARANTORS’ ANNUAL FINANCIAL STATEMENTS FOR THE YEAR ENDED 30 JUNE 2020

In accordance with paragraph 6.17 of the JSE Limited Debt Listings Requirements, noteholders are advised that
the audited annual financial statements of Discovery Vitality Proprietary Limited and Discovery Health
Proprietary Limited (the “Guarantors”) for the year ended 30 June 2020 (the “financial statements”) are
available for inspection at the Issuer’s registered office.

Noteholders are further advised that the audit reports on the Guarantors’ financial statements were
unqualified, with no modifications applicable.

Discovery Vitality Proprietary Limited restated their Statement of financial position for the period
30 June 2019. The restatement is a result of a reclassification from ‘Trade and other payables’ to ‘Contract
liabilities’. There was no impact on the current or comparative Profit for the year, Cash flows for the year or the
net asset value.

28 October 2020

Debt Sponsor
RAND MERCHANT BANK (A division of FirstRand Bank Limited)

Date: 28-10-2020 05:11:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
